pop_size,seed,error,ngen,cxpb,tournsize,tree_len_max,init_depth_max,alpha_complexity,,,,,,
3000,300,0.6,5,25,4,0.0005,4866002,25,15856.18,989339.0667,0.109328217,1870884.113,0.206744514,(((((Q)**2 - (log(1+exp(C2)))**2) - log(1+exp((log(1+exp(C2)) - ((C1 * log(1+exp((-1.8290235471019578 + C3)))) * C2))))))**2 + (Q - log(1+exp(C2))))
3000,300,0.6,5,25,4,0.0005,6695774,17,194.04,1764721.344,0.195012857,3094946.249,0.342011113,(((Q / (C3 - Q)) - (C3 - Q)) - (((C1 * C2) + (Q)**2))**2)
3000,300,0.6,5,25,4,0.0005,359928,24,2010.62,1049923.105,0.116023136,2071390.46,0.228901732,((((C1)**2 - (Q - C3)) + (((C2 - (C3 - C3)) + (log(1+exp(((Q - C3))**2)))**2) + (C1)**2)) + C2)
1500,300,0.6,5,25,4,0.0005,1098051,20,3049.43,979269.1551,0.108215428,1871038.039,0.206761524,log(1+exp((Q - (((Q - (Q)**2))**2 + (log(1+exp((log(1+exp(((C1 * C3) * C2))) - Q))) - Q)))))
1500,300,0.6,5,25,4,0.0005,6514572,18,1754.92,993507.6825,0.109788876,1871433.187,0.20680519,(((log(1+exp(((Q - (C2 * C3)))**2)))**2 + C1) + (C1 - (Q - (C2 * C3))))
1500,300,0.6,5,25,4,0.0005,8007160,24,94.98,3409720.319,0.376795637,3094929.197,0.342009229,((((Q / 0.7407096757028335) * C1) - (C1 - Q)) - ((((((C3 - Q) + log(1+exp(C1))))**2)**2 - Q) - (C2 * Q)))
3000,300,0.6,5,25,4,0.0005,4799973,17,5684.77,1170593.878,0.129358019,2169576.018,0.239751857,log(1+exp(((80.30574090023656 / (((Q)**2)**2)**2) + (Q - (80.30574090023656 / ((C2 - C1) - C3))))))
3000,300,0.6,5,25,4,0.0005,6521866,17,186.11,3835217.272,0.423815738,5846845.545,0.646113371,(C3 + (C1 - (((Q - C1) + C2) + ((((Q + Q))**2)**2 + C1))))
3000,300,0.6,5,25,4,0.0005,1844430,24,3010.4,934068.2549,0.103220443,1596074.378,0.176376302,log(1+exp((log(1+exp(Q)) - (log(1+exp((log(1+exp((Q + log(1+exp((log(1+exp((C2 * (C3 * C1)))) - C1)))))) - C1))) - ((Q * Q))**2))))
4500,300,0.6,5,25,4,0.0005,6049633,24,9204.24,1628538.159,0.179963755,3069458.488,0.339194555,((log(1+exp((C3 - 2.916862716208352))) * (C2 - Q)) - (((((((C3 - 2.916862716208352))**2 - C3) - (C3 + C3)) - C3) + C1))**2)
4500,300,0.6,5,25,4,0.0005,872855,24,3788.45,1169648.325,0.129253529,1981722.665,0.218992874,((Q - (log(1+exp((C2)**2)) + C3)) + ((((log(1+exp(C1)) + C3) / (C2 * (Q - C3))) + ((Q - C3))**2))**2)
4500,300,0.6,5,25,4,0.0005,5768549,18,5954.24,59944.90745,0.006624291,256731.8719,0.028370494,log(1+exp((log(1+exp((Q + Q))) / (log(1+exp((C1 - log(1+exp(C3))))) + (((C2)**2 - (Q)**2))**2))))
3000,200,0.6,5,25,4,0.0005,8934767,16,3598.26,62656.80104,0.006923972,280710.0882,0.031020238,log(1+exp((log(1+exp((Q + (Q + (C3 - C1))))) / log(1+exp(((C2 + (Q)**2))**2)))))
3000,200,0.6,5,25,4,0.0005,8922324,25,6145.14,1061198.944,0.117269188,1676722.585,0.185288439,((Q - ((Q)**2)**2) + log(1+exp((Q - log(1+exp((Q - (log(1+exp((log(1+exp(C1)) - (log(1+exp((C3 + C2))) - (Q - -0.01154981767798513))))))**2)))))))
3000,200,0.6,5,25,4,0.0005,1189008,25,2909.7,1057926.872,0.116907603,2336188.876,0.25816363,((C1)**2 - (log(1+exp(((Q - C3) + log(1+exp(log(1+exp(((((Q - C3) + log(1+exp(C2))))**2)**2))))))) + ((C1)**2 * (C2 / C2))))
3000,300,0.6,5,25,4,0.0005,4959747,25,507.11,1504668.866,0.166275416,2243858.538,0.247960544,((Q - C3) + (log(1+exp(((C3 - C2) + (((log(1+exp(Q)))**2)**2 - (C1 - C2))))) + (((log(1+exp(Q)))**2 - log(1+exp(Q))))**2))
3000,300,0.6,5,25,4,0.0005,776656,19,1844.45,983810.6426,0.108717291,1871576.572,0.206821035,(C2 + (((22.88976311261617 + (C1 * C3)) / log(1+exp(C2))) + (Q - log(1+exp((((Q - C2))**2)**2)))))
3000,300,0.6,5,25,4,0.0005,8609483,4,219.6,1652297.829,0.182589349,3094946.249,0.342011113,((0.19144907332996697)**2 - Q)
3000,400,0.6,5,25,4,0.0005,6611373,22,313.01,1997223.374,0.220705801,3094116.593,0.341919431,((C1 + ((log(1+exp(-0.9554289555002531)) * (((Q - (C3 * C2)) + (C1 - C2)) + -1.4888104841235803)) + 0.6102312001065837)) + ((Q)**2)**2)
