iter,best_raw,best_pen
1,2424.9454200561418,2424.9454200561418
2,2425.7185590265885,2425.7185590265885
3,2425.740877014658,2425.740877014658
4,2425.75181273903,2425.75181273903
5,2425.75181273903,2425.75181273903
6,2425.75181273903,2425.75181273903
7,2425.75181273903,2425.75181273903
8,2425.7518638019124,2425.7518638019124
9,2425.7518638019124,2425.7518638019124
10,2425.7518638019124,2425.7518638019124
11,2425.7518638019124,2425.7518638019124
12,2425.7518638019124,2425.7518638019124
13,2425.7518638019124,2425.7518638019124
14,2425.7518638019124,2425.7518638019124
15,2425.7519951537683,2425.7519951537683
16,2425.7519951537683,2425.7519951537683
17,2425.7519951537683,2425.7519951537683
18,2425.7519951537683,2425.7519951537683
19,2425.7519951537683,2425.7519951537683
20,2425.7520601227134,2425.7520601227134
21,2425.7520601227134,2425.7520601227134
22,2425.7520601227134,2425.7520601227134
23,2425.7520601227134,2425.7520601227134
24,2425.7520601227134,2425.7520601227134
25,2425.7520601227134,2425.7520601227134
26,2425.7520601227134,2425.7520601227134
27,2425.7520601227134,2425.7520601227134
28,2425.7520601227134,2425.7520601227134
29,2425.7520601227134,2425.7520601227134
30,2425.7520601227134,2425.7520601227134
31,2425.7520601227134,2425.7520601227134
32,2425.7520601227134,2425.7520601227134
33,2425.7520601227134,2425.7520601227134
34,2425.7520601227134,2425.7520601227134
35,2425.7520601227134,2425.7520601227134
36,2425.7520601227134,2425.7520601227134
37,2425.7520601227134,2425.7520601227134
38,2425.7520601227134,2425.7520601227134
39,2425.7520601227134,2425.7520601227134
40,2425.7520601227134,2425.7520601227134
41,2425.7520605426475,2425.7520605426475
42,2425.7520605426475,2425.7520605426475
43,2425.7520605426475,2425.7520605426475
44,2425.7520605426475,2425.7520605426475
45,2425.7520605426475,2425.7520605426475
46,2425.7520605426475,2425.7520605426475
47,2425.7520634913244,2425.7520634913244
48,2425.7520634913244,2425.7520634913244
49,2425.7520634913244,2425.7520634913244
50,2425.7520634913244,2425.7520634913244
