relative_path,source_path,file_type,category,status,notes
manuscript/Manuscript.docx,,docx,manuscript,missing,Expected file not found: Manuscript.docx
manuscript/Response to Reviewers.docx,,docx,manuscript,missing,Expected file not found: Response to Reviewers.docx
manuscript/Supplementary Material.docx,,docx,manuscript,missing,Expected file not found: Supplementary Material.docx
reports/static_baselines_24train6test/00_dataset_24train6test_report.md,revision_validation_24train6test/reports/00_dataset_24train6test_report.md,md,static_baseline,copied,Static baseline report for canonical 24-train/6-test split.
reports/static_baselines_24train6test/01_static_endpoint_baselines_24train6test_report.md,revision_validation_24train6test/reports/01_static_endpoint_baselines_24train6test_report.md,md,static_baseline,copied,Static baseline report for canonical 24-train/6-test split.
reports/static_baselines_24train6test/summary_24train6test_baseline_report.md,revision_validation_24train6test/reports/summary_24train6test_baseline_report.md,md,static_baseline,copied,Static baseline report for canonical 24-train/6-test split.
reports/dkcsr_baseline_comparison/00_dkcsr_24train6test_provenance_report.md,revision_validation_24train6test_dkcsr/reports/00_dkcsr_24train6test_provenance_report.md,md,dkcsr_comparison,copied,DKC-SR versus same-split static baseline comparison report.
reports/dkcsr_baseline_comparison/01_unified_endpoint_with_dkcsr_report.md,revision_validation_24train6test_dkcsr/reports/01_unified_endpoint_with_dkcsr_report.md,md,dkcsr_comparison,copied,DKC-SR versus same-split static baseline comparison report.
reports/dkcsr_baseline_comparison/02_unified_curve_with_dkcsr_report.md,revision_validation_24train6test_dkcsr/reports/02_unified_curve_with_dkcsr_report.md,md,dkcsr_comparison,copied,DKC-SR versus same-split static baseline comparison report.
reports/dkcsr_baseline_comparison/summary_dkcsr_static_baseline_24train6test_report.md,revision_validation_24train6test_dkcsr/reports/summary_dkcsr_static_baseline_24train6test_report.md,md,dkcsr_comparison,copied,DKC-SR versus same-split static baseline comparison report.
reports/vanilla_odesr_baseline/00_vanilla_odesr_config_report.md,revision_validation_vanilla_odesr_24train6test/reports/00_vanilla_odesr_config_report.md,md,vanilla_odesr,copied,Vanilla ODE-SR same-split baseline evidence.
reports/vanilla_odesr_baseline/01_vanilla_odesr_multiseed_run_report.md,revision_validation_vanilla_odesr_24train6test/reports/01_vanilla_odesr_multiseed_run_report.md,md,vanilla_odesr,copied,Vanilla ODE-SR same-split baseline evidence.
reports/vanilla_odesr_baseline/02_vanilla_odesr_evaluation_report.md,revision_validation_vanilla_odesr_24train6test/reports/02_vanilla_odesr_evaluation_report.md,md,vanilla_odesr,copied,Vanilla ODE-SR same-split baseline evidence.
reports/vanilla_odesr_baseline/03_vanilla_odesr_structural_validity_report.md,revision_validation_vanilla_odesr_24train6test/reports/03_vanilla_odesr_structural_validity_report.md,md,vanilla_odesr,copied,Vanilla ODE-SR same-split baseline evidence.
reports/vanilla_odesr_baseline/04_vanilla_vs_dkcsr_physical_optimisation_audit_report.md,revision_validation_vanilla_odesr_24train6test/reports/04_vanilla_vs_dkcsr_physical_optimisation_audit_report.md,md,vanilla_odesr,copied,Vanilla ODE-SR same-split baseline evidence.
reports/vanilla_odesr_baseline/summary_vanilla_odesr_baseline_24train6test.md,revision_validation_vanilla_odesr_24train6test/reports/summary_vanilla_odesr_baseline_24train6test.md,md,vanilla_odesr,copied,Vanilla ODE-SR same-split baseline evidence.
reports/bootstrap_b2_only/00_final_equation_reconstruction_report.md,revision_validation_bootstrap_correction_24train6test/reports/00_final_equation_reconstruction_report.md,md,bootstrap_b2_only,copied,Corrected final-equation and fixed-parameter uncertainty evidence; skipped bootstrap reports are excluded.
reports/bootstrap_b2_only/03_fixed_parameter_uncertainty_report.md,revision_validation_bootstrap_correction_24train6test/reports/03_fixed_parameter_uncertainty_report.md,md,bootstrap_b2_only,copied,Corrected final-equation and fixed-parameter uncertainty evidence; skipped bootstrap reports are excluded.
reports/bootstrap_b2_only/summary_bootstrap_correction_for_R1_2.md,revision_validation_bootstrap_correction_24train6test/reports/summary_bootstrap_correction_for_R1_2.md,md,bootstrap_b2_only,copied,Corrected final-equation and fixed-parameter uncertainty evidence; skipped bootstrap reports are excluded.
tables/static_endpoint_baseline_metrics_24train6test.csv,revision_validation_24train6test/results/static_endpoint_baseline_metrics_24train6test.csv,csv,table,copied,Requested table/CSV evidence.
tables/static_endpoint_baseline_predictions_24train6test.csv,revision_validation_24train6test/results/static_endpoint_baseline_predictions_24train6test.csv,csv,table,copied,Requested table/CSV evidence.
tables/table_vanilla_odesr_predictive_structural_comparison.csv,revision_validation_vanilla_odesr_24train6test/results/table_vanilla_odesr_predictive_structural_comparison.csv,csv,table,copied,Requested table/CSV evidence.
tables/table_vanilla_odesr_physical_optimisation_comparison.csv,revision_validation_vanilla_odesr_24train6test/results/table_vanilla_odesr_physical_optimisation_comparison.csv,csv,table,copied,Requested table/CSV evidence.
figures/unified_auc_parity_with_dkcsr_24train6test.png,revision_validation_24train6test_dkcsr/figures/unified_auc_parity_with_dkcsr_24train6test.png,png,figure,copied,Requested manuscript-revision figures.
figures/unified_curve_parity_with_dkcsr_24train6test.png,revision_validation_24train6test_dkcsr/figures/unified_curve_parity_with_dkcsr_24train6test.png,png,figure,copied,Requested manuscript-revision figures.
