model,dataset,n_formulations,RMSE_Q6,MAE_Q6,R2_Q6,MSE_Q6,MSE_Q6_normalized_by_q_scale,Spearman_Q6,Kendall_Q6,pairwise_accuracy_Q6,pairwise_correct_Q6,pairwise_total_Q6,top1_hit_Q6,top2_hit_Q6,true_top1_Q6,pred_top1_Q6,true_top2_Q6,pred_top2_Q6,RMSE_AUC,MAE_AUC,R2_AUC,MSE_AUC,Spearman_AUC,Kendall_AUC,pairwise_accuracy_AUC,pairwise_correct_AUC,pairwise_total_AUC,top1_hit_AUC,top2_hit_AUC,true_top1_AUC,pred_top1_AUC,true_top2_AUC,pred_top2_AUC
Mean train baseline,train,24,285.29186322335477,246.52107161822994,0.0,81391.44722145337,0.08558755579249964,,,,0,0,0,0,"[""S3""]","[""F1""]","[""S3"", ""S1""]","[""F1"", ""S7""]",816.4165777005596,696.9535740955058,0.0,666536.0283442939,,,,0,0,0,0,"[""S1""]","[""F1""]","[""S1"", ""S3""]","[""F1"", ""S7""]"
Mean train baseline,test,6,980.1447405644349,969.2951077542602,-44.420880415946435,960683.7124561234,1.0102114367750388,,,,0,0,0,1,"[""Opt-2-7""]","[""Opt-2-1""]","[""Opt-2-7"", ""Opt-2-1""]","[""Opt-2-1"", ""Opt-2-4""]",2780.850310615215,2706.050310758832,-17.84197974783553,7733128.45004874,,,,0,0,0,1,"[""Opt-2-5""]","[""Opt-2-1""]","[""Opt-2-5"", ""Opt-2-1""]","[""Opt-2-1"", ""Opt-2-4""]"
Ridge regression,train,24,256.2624974940789,216.77633726311433,0.19315272226056202,65670.4676219028,0.06905608639955062,0.454308266055075,0.3315167893825471,0.6666666666666666,182,273,0,0,"[""S3""]","[""F9""]","[""S3"", ""S1""]","[""F9"", ""F13""]",700.3456572653821,554.8099773331747,0.2641297412401473,490484.0396504801,0.6187991899715677,0.44080803862954065,0.7216117216117216,197,273,0,0,"[""S1""]","[""F9""]","[""S1"", ""S3""]","[""F9"", ""F13""]"
Ridge regression,test,6,811.3381348219364,791.042071946171,-30.12281699801721,658269.5690163387,0.69220643431243,-0.6,-0.4666666666666666,0.26666666666666666,4,15,0,0,"[""Opt-2-7""]","[""Opt-2-10""]","[""Opt-2-7"", ""Opt-2-1""]","[""Opt-2-10"", ""Opt-2-4""]",2274.357968525171,2155.403292272765,-11.603435701771382,5172704.168993942,-0.6,-0.4666666666666666,0.26666666666666666,4,15,0,0,"[""Opt-2-5""]","[""Opt-2-10""]","[""Opt-2-5"", ""Opt-2-1""]","[""Opt-2-10"", ""Opt-2-4""]"
PLS regression,train,24,256.2048962673286,216.58115220710258,0.19351539858046907,65640.94887135261,0.06902504581978594,0.454308266055075,0.3315167893825471,0.6666666666666666,182,273,0,0,"[""S3""]","[""F9""]","[""S3"", ""S1""]","[""F9"", ""F13""]",700.1280430198698,553.7851254217924,0.26458697538007003,490179.2766228326,0.6187991899715677,0.44080803862954065,0.7216117216117216,197,273,0,0,"[""S1""]","[""F9""]","[""S1"", ""S3""]","[""F9"", ""F13""]"
PLS regression,test,6,803.0292299126946,782.1774137885359,-29.488624239636533,644855.9440941754,0.6781012744879379,-0.6,-0.4666666666666666,0.26666666666666666,4,15,0,0,"[""Opt-2-7""]","[""Opt-2-10""]","[""Opt-2-7"", ""Opt-2-1""]","[""Opt-2-10"", ""Opt-2-4""]",2249.0532967415447,2127.627222755415,-11.324542394427965,5058240.731584011,-0.6,-0.4666666666666666,0.26666666666666666,4,15,0,0,"[""Opt-2-5""]","[""Opt-2-10""]","[""Opt-2-5"", ""Opt-2-1""]","[""Opt-2-10"", ""Opt-2-4""]"
Polynomial RSM degree 2,train,24,250.59190852805642,209.778005798902,0.2284655604061827,62796.30461973379,0.06603374689457078,0.47606632477418775,0.32423070609941423,0.663003663003663,181,273,0,0,"[""S3""]","[""F9""]","[""S3"", ""S1""]","[""F9"", ""F13""]",684.7719634966262,543.0945962155655,0.29649317958726806,468912.64199102484,0.643168215736974,0.44809412191267356,0.7252747252747253,198,273,0,0,"[""S1""]","[""F9""]","[""S1"", ""S3""]","[""F9"", ""F7""]"
Polynomial RSM degree 2,test,6,847.4738003172508,823.9585769934489,-32.95687235664489,718211.8422241636,0.7552390111696174,-0.7142857142857143,-0.6,0.2,3,15,0,0,"[""Opt-2-7""]","[""Opt-2-10""]","[""Opt-2-7"", ""Opt-2-1""]","[""Opt-2-10"", ""Opt-2-4""]",2385.6588139729756,2255.95522283938,-12.867174306866609,5691367.976686944,-0.8285714285714287,-0.7333333333333333,0.13333333333333333,2,15,0,0,"[""Opt-2-5""]","[""Opt-2-10""]","[""Opt-2-5"", ""Opt-2-1""]","[""Opt-2-10"", ""Opt-2-4""]"
Random Forest Regressor,train,24,110.30766593717573,96.4258759608361,0.8505029511098269,12167.781164507558,0.012795087012701737,0.8833771839959792,0.7541096198042555,0.8791208791208791,240,273,0,1,"[""S3""]","[""S1""]","[""S3"", ""S1""]","[""S1"", ""S3""]",274.02265063302735,243.9807180208388,0.8873453048795078,75088.41305995017,0.8755442828570985,0.7395374532379897,0.8717948717948718,238,273,1,1,"[""S1""]","[""S1""]","[""S1"", ""S3""]","[""S1"", ""S3""]"
Random Forest Regressor,test,6,936.8330907680905,918.8288301288771,-40.49536273445088,877656.2399580934,0.922903510975406,-0.8451542547285166,-0.7745966692414834,0.0,0,9,0,0,"[""Opt-2-7""]","[""Opt-2-10""]","[""Opt-2-7"", ""Opt-2-1""]","[""Opt-2-10"", ""Opt-2-4""]",2568.8658712947818,2449.599168026338,-15.078819747066706,6599071.864703099,-0.8451542547285166,-0.7745966692414834,0.0,0,9,0,0,"[""Opt-2-5""]","[""Opt-2-10""]","[""Opt-2-5"", ""Opt-2-1""]","[""Opt-2-10"", ""Opt-2-4""]"
Gaussian Process Regressor,train,24,160.72046976761274,142.72087752282346,0.6826316488507714,25831.06940232212,0.02716278146075822,0.9416887813632013,0.8706869523343819,0.9377289377289377,256,273,0,1,"[""S3""]","[""S1""]","[""S3"", ""S1""]","[""S1"", ""S3""]",224.97263343104814,192.20962704087307,0.924066091493021,50612.68579290076,0.9355965249218499,0.8706869523343819,0.9377289377289377,256,273,1,1,"[""S1""]","[""S1""]","[""S1"", ""S3""]","[""S1"", ""S3""]"
Gaussian Process Regressor,test,6,979.9908877675798,967.3204686275893,-44.40662215237179,960382.1401074892,1.0098943169658285,-0.6,-0.4666666666666666,0.26666666666666666,4,15,0,0,"[""Opt-2-7""]","[""Opt-2-4""]","[""Opt-2-7"", ""Opt-2-1""]","[""Opt-2-4"", ""Opt-2-10""]",2795.7627757009213,2693.320579607627,-18.04460392398003,7816289.497994921,-0.4285714285714286,-0.2,0.4,6,15,0,0,"[""Opt-2-5""]","[""Opt-2-4""]","[""Opt-2-5"", ""Opt-2-1""]","[""Opt-2-4"", ""Opt-2-10""]"
