doi,title,pdf_path,franz_confirmed,where_franz,study_type,barrier_category,barrier_name_raw,api_conc_5pct_confirmed,api_conc_raw_snippet,endpoint_qfinal_found,endpoint_time_found,where_endpoint,endpoint_likely_in_supp,formulation_table_missing,ready_for_extraction,notes
10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,GenAI\papers\pdf\10.1002_14651858.cd001177.pub2__6d7ce69484.pdf,no,,IVPT,both,ibuprofen foam dressing,yes,EMLA (5%) appears to provide effective pain relief,yes,uncertain,Analysis 2.1.,uncertain,uncertain,yes,
10.1002/14651858.cd001177.pub3,Topical agents or dressings for pain in venous leg ulcers.,GenAI\papers\pdf\10.1002_14651858.cd001177.pub3__92afc39ccd.pdf,uncertain,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,GenAI\papers\pdf\10.1002_etc.4302__89ec992d2c.pdf,no,,IVPT,skin,Rhinella marina skin,uncertain,,yes,yes,Figure 1,yes,uncertain,no,"No numeric table, only figures available for cumulative absorption."
10.1002/open.202500038,Ibuprofen-Functionalized Alkyl α-hydroxy Methacrylate-Based Polymers.,GenAI\papers\pdf\10.1002_open.202500038__18833a3913.pdf,no,,uncertain,uncertain,,no,,uncertain,uncertain,,uncertain,uncertain,no,No explicit mention of Franz diffusion cell or specific endpoints listed.
10.1007/978-1-4939-0363-4_7,Microneedle-iontophoresis combinations for enhanced transdermal drug delivery.,GenAI\papers\pdf\10.1007_978-1-4939-0363-4_7__1f3c544b57.pdf,uncertain,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,No relevant information found pertaining to the specified criteria.
10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,GenAI\papers\pdf\10.1007_s11095-008-9785-y__b257621dff.pdf,uncertain,,IVPT,skin,human skin,no,,no,no,,uncertain,uncertain,no,No explicit mention of 5% w/w ibuprofen concentration; paper focuses on a saturated solution.
10.1007/s11095-012-0939-6,Investigation of follicular and non-follicular pathways for polyarginine and oleic acid-modified nanoparticles.,GenAI\papers\pdf\10.1007_s11095-012-0939-6__6f8de36d1e.pdf,yes,Methods,IVPT,skin,porcine skin,no,,uncertain,yes,Results,uncertain,uncertain,yes,"No explicit mention of 5% w/w ibuprofen concentration, study includes concentration in experimental setup."
10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,GenAI\papers\pdf\10.1007_s11095-020-02887-9__71e83a4015.pdf,no,,uncertain,both,porcine skin,uncertain,,uncertain,uncertain,,yes,no,yes,Main focus on microneedle arrays and 3D printing; no clear mention of ibuprofen quantification details.
10.1007/s11095-024-03747-6,Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery.,GenAI\papers\pdf\10.1007_s11095-024-03747-6__42a2bcfb6b.pdf,no,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.1007/s11356-025-36536-8,Emerging contaminants: assessing the release of pharmaceuticals via managed aquifer recharge.,GenAI\papers\pdf\10.1007_s11356-025-36536-8__a200c247b9.pdf,no,,uncertain,uncertain,,uncertain,,no,no,,uncertain,uncertain,no,
10.1007/s12247-017-9305-x,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology.,GenAI\papers\pdf\10.1007_s12247-017-9305-x__5da0ee39f0.pdf,yes,Methods,IVPT,both,"Strat-M, human skin",no,,yes,yes,Results,yes,no,yes,5% concentration not explicitly confirmed; fluctuating mentions of 10 wt% in formulations.
10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,GenAI\papers\pdf\10.1007_s13346-022-01182-x__b21c07f7ac.pdf,no,,IVRT,both,,no,IBU: 0.5% (w/v) (batch SNM-IBU1),uncertain,no,,uncertain,uncertain,yes,
10.1016/j.bioactmat.2021.01.003,Dual stimuli-responsive polyurethane-based hydrogels as smart drug delivery carriers for the advanced treatment of chronic skin wounds.,GenAI\papers\pdf\10.1016_j.bioactmat.2021.01.003__c66630ee68.pdf,uncertain,,uncertain,uncertain,,uncertain,,uncertain,uncertain,,uncertain,uncertain,no,
10.1016/j.bpj.2009.10.046,Partitioning of nonsteroidal antiinflammatory drugs in lipid membranes: a molecular dynamics simulation study.,GenAI\papers\pdf\10.1016_j.bpj.2009.10.046__ff35a3c449.pdf,no,,uncertain,uncertain,,no,,no,no,,uncertain,uncertain,no,No clear evidence of Franz diffusion cell or specific 5% ibuprofen concentration; study lacks numeric endpoint data.
