doi,title,pdf_path,route,ready_for_step6_text,paper_type,mentions_ibuprofen,mentions_diffusion_cell,franz_confirmed,where_diffusion_cell,where_franz,study_type,barrier_category,barrier_name_raw,endpoint_qfinal_found,endpoint_time_found,where_endpoint,figure_only,endpoint_carrier,endpoint_carrier_where,endpoint_carrier_snippet,formulation_carrier,formulation_carrier_where,formulation_carrier_snippet,endpoint_likely_in_supp,formulation_table_missing,notes
10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,GenAI\papers\pdf\10.1002_14651858.cd001177.pub2__6d7ce69484.pdf,text,no,primary_experiment,yes,no,no,,,uncertain,uncertain,,yes,yes,Page 10,yes,narrative,"Page 10, Results section","""Two RCTs that described the use of ibuprofen as a topical agent in the form of a foam dressing that releases low-dose ibuprofen...""",unknown,,,no,no,The study references the use of ibuprofen foam dressing but lacks specific diffusion cell data.
10.1002/14651858.cd001177.pub3,Topical agents or dressings for pain in venous leg ulcers.,GenAI\papers\pdf\10.1002_14651858.cd001177.pub3__92afc39ccd.pdf,text,no,review,yes,no,no,unknown,unknown,IVPT,uncertain,unknown,yes,yes,Discussion,no,narrative,Discussion section of the review,Both trials reported that the between-group diﬀerence in pain relief assessment scores was statistically significant.,unknown,unknown,unknown,no,yes,"Ibuprofen is mentioned as part of foam dressings; however, no explicit mention of diffusion cell studies."
10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,GenAI\papers\pdf\10.1002_etc.4302__89ec992d2c.pdf,text,yes,primary_experiment,yes,yes,yes,PAGE 7,PAGE 7,IVPT,skin,Rhinella marina skin,yes,yes,PAGE 11,no,table_text,"PAGE 11, Table 3","Table 3 shows mean flux values for ibuprofen across skin types, along with statistical analyses.",table_text,"PAGE 7, Table 2",Table 2 details the validated HPLC methodologies and concentrations used for ibuprofen experiments in the study.,no,no,"This study investigates the permeation of ibuprofen through different skin regions of the terrestrial toad, utilizing Franz-type diffusion cells."
10.1002/open.202500038,Ibuprofen-Functionalized Alkyl α-hydroxy Methacrylate-Based Polymers.,GenAI\papers\pdf\10.1002_open.202500038__18833a3913.pdf,figure,no,primary_experiment,yes,yes,uncertain,Page 6,uncertain,IVPT,uncertain,uncertain,yes,yes,Page 6,no,figure,Figure 7 shows the cumulative IBU release from the prodrugs as a function of time.,Figure 7 shows cumulative release profiles of IBU from various prodrugs at different time intervals.,table_text,"Table 1 summarizes the solubility of TBMA-IBU and IBU as reference, in various solvents.","Table 1 summarizes solubility of TBMA-IBU and IBU in various solvents, indicating their physical properties.",no,no,
10.1007/978-1-4939-0363-4_7,Microneedle-iontophoresis combinations for enhanced transdermal drug delivery.,GenAI\papers\pdf\10.1007_978-1-4939-0363-4_7__1f3c544b57.pdf,unknown,no,uncertain,no,no,no,,,uncertain,uncertain,,no,no,,no,unknown,,,unknown,,,no,uncertain,
10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,GenAI\papers\pdf\10.1007_s11095-008-9785-y__b257621dff.pdf,text,no,primary_experiment,yes,no,no,,,IVPT,skin,stratum corneum,yes,yes,Table II,no,table_text,Table II,"Table II: Quantity of ibuprofen (mean ± SD, n=5) in the SC... noted here.",unknown,,,no,no,
10.1007/s11095-012-0939-6,Investigation of follicular and non-follicular pathways for polyarginine and oleic acid-modified nanoparticles.,GenAI\papers\pdf\10.1007_s11095-012-0939-6__6f8de36d1e.pdf,figure,no,primary_experiment,yes,yes,yes,In vitro skin permeation studies on pig ear skin for 24 h under unocclusive conditions were performed as described previously.,The full thickness pig ear skin was mounted on Franz diffusion cells.,IVPT,skin,pig ear skin,yes,yes,Figure 3,no,figure,The amount of Ibu permeated into the receiver compartment after 24 h from NLC formulations is summarized in Figure 3A and from NPS formulations in Figure 3B.,"The amount of Ibu from Ibu-NLC-R11 permeated into the receiver compartment was 13.85 ± 0.82 μg/cm2. This amount was 4.3; 2.2 and 1.7 times higher than Ibu-Sol; Ibu-NLC and Ibu-NLC-YKA, respectively (Figure 3A).",unknown,The methodology does not specify a table or narrative detailing the formulations used.,"Various nanoparticle formulations including Ibu-NLC, Ibu-NLC-R11, Ibu-NLC-YKA, Ibu-NPS, Ibu-NPS-OA and Ibu-NPS+OA (PM) were applied on the diffusional surface of the skin.",no,uncertain,
10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,GenAI\papers\pdf\10.1007_s11095-020-02887-9__71e83a4015.pdf,text,yes,primary_experiment,yes,yes,yes,"Page 4, in vitro drug permeation using HFMN arrays","Page 4, modified Franz diffusion cells used in permeation assay",IVPT,skin,dermatomed neonatal porcine skin,yes,yes,"Page 5, the sample was subsequently centrifuged at 13,400 rpm for 15 min before quantification",no,narrative,Page 5,The amount of drug deposited on the skin surface was washed by applying 1 mL of PBS (pH 7.4)...,supplement,"Page 3, Materials section",Ibuprofen sodium (IBU Na) were obtained from Sigma-Aldrich...,no,no,
10.1007/s11095-024-03747-6,Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery.,GenAI\papers\pdf\10.1007_s11095-024-03747-6__42a2bcfb6b.pdf,text,yes,primary_experiment,yes,yes,no,Page 4 - 'dialyzed against PBS for 130 h',unknown,IVPT,both,"dialysis membrane (SpectraPor® RC, MWCO = 1 kDa)",yes,yes,Page 6 - 'collecting aliquots of 200 µl' and 'quantify the released ibuprofen',no,narrative,Page 6 - 'the release profile was investigated...',The release profile was investigated collecting aliquots of 200 µl from the dialysis bag at fixed time points...,table_text,Page 3 - 'the drug loading efficiencies at three different drug/polymer ratios (D/P) were evaluated at physiological condition',"...showing the pivotal role of the functional groups, i.e. the hydrophobic tfm group and the guanidino moiety, in stimulating drug encapsulation.",no,no,
10.1007/s11356-025-36536-8,Emerging contaminants: assessing the release of pharmaceuticals via managed aquifer recharge.,GenAI\papers\pdf\10.1007_s11356-025-36536-8__a200c247b9.pdf,text,yes,primary_experiment,yes,yes,no,PAGE 2; Description of experimental setup for column transport,unknown,both,both,Porous media (both unsaturated and saturated),yes,yes,TABLE 3; Details of recovery rates and transport parameters for pharmaceuticals including ibuprofen,no,table_text,TABLE 3,Mass recovery (%) determined by fitting the BTC of nitrate tracer for the saturated column and chloride tracer for the unsaturated column,table_text,TABLE 1,Physical and chemical properties of trace compounds including ibuprofen,no,no,
10.1007/s12247-017-9305-x,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology.,GenAI\papers\pdf\10.1007_s12247-017-9305-x__5da0ee39f0.pdf,text,yes,primary_experiment,yes,yes,no,PAGE 4: Patches were placed into jacketed diffusion cells (A = 1 cm2).,uncertain,IVPT,both,"Strat-M®, human skin",yes,yes,"PAGE 4: Cumulative amounts and flux values represent the mean of six measurements (n = 6), Table 3, Fig. 4 shows cumulative permeation profiles...",no,table_text,PAGE 4: Table 3 shows cumulative permeated amounts...,"""The cumulative permeated amount for Strat-M after 24 h was found to be 109.47 μg cm−2, whereas for human skin was 85.73 μg cm−2 for the same period (Table 3)...""",table_text,PAGE 4: The list of components used for the synthesis of the optimized formulation is in Table 1.,"""Table 1 List of components used for the synthesis of the optimized formulation for the ibuprofen patch Ingredients Function Mass fraction, wt%...""",no,no,
10.1007/s13346-022-01182-x,Soluplus<sup>®</sup> polymeric nanomicelles improve solubility of BCS-class II drugs.,GenAI\papers\pdf\10.1007_s13346-022-01182-x__b21c07f7ac.pdf,text,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,Results section,no,narrative,Results section,"The cumulative release of ibuprofen from the micelles was significant, with values reported at each time point.",table_text,Table 5,Table 5 presents the size analysis metrics of drug-loaded nanomicelles including ibuprofen.,no,no,"Evidence of endpoint metrics available; however, diffusion cell details are not mentioned."
10.1016/j.bioactmat.2021.01.003,Dual stimuli-responsive polyurethane-based hydrogels as smart drug delivery carriers for the advanced treatment of chronic skin wounds.,GenAI\papers\pdf\10.1016_j.bioactmat.2021.01.003__c66630ee68.pdf,text,no,primary_experiment,yes,no,no,unknown,unknown,IVPT,skin,hydrogel,yes,yes,section 2.10,no,narrative,section 2.10,"""Ibuprofen (IBU - Sigma Aldrich, Italy), selected as anti-inflammatory and analgesic model drug... released IBU quantification was carried out using a High Performance Liquid Chromatography (HPLC)...""",unknown,unknown,unknown,no,yes,Study focuses on hydrogel-based delivery of Ibuprofen without explicit mention of a diffusion cell.
10.1016/j.bpj.2009.10.046,Partitioning of nonsteroidal antiinflammatory drugs in lipid membranes: a molecular dynamics simulation study.,GenAI\papers\pdf\10.1016_j.bpj.2009.10.046__ff35a3c449.pdf,text,no,primary_experiment,yes,no,no,,,uncertain,uncertain,Dipalmitoylphosphatidylcholine (DPPC),no,no,,no,narrative,Results section,...the excess free energy for both the neutral and charged forms of aspirin and ibuprofen...,unknown,,,no,uncertain,
10.1016/j.bpj.2022.10.014,Polystyrene-modified carbon nanotubes: Promising carriers in targeted drug delivery.,GenAI\papers\pdf\10.1016_j.bpj.2022.10.014__41160d2d34.pdf,text,no,primary_experiment,yes,no,no,,,uncertain,uncertain,,yes,yes,Table 1,no,table_text,Table 1,Area per lipid (nm2) and bilayer thickness (nm) values of POPC and with pristine/functionalized CNT models...,table_text,Table 2,Radius of gyration (ROG) and carbon end-to-end (EtE) distances of PS functional groups attached to CNTs...,no,no,
10.1016/j.bpj.2023.02.021,Path sampling with memory reduction and replica exchange to reach long permeation timescales.,GenAI\papers\pdf\10.1016_j.bpj.2023.02.021__bd816ab8eb.pdf,text,no,primary_experiment,yes,no,no,,,IVPT,synthetic_membrane,,yes,yes,"Methodology section, specifically on the permeability derivation from RETIS",no,narrative,"Page 4, paragraph discussing ibuprofen's permeation pathway.","The polar group creates metastable states in ibuprofen’s permeation pathway, which can cause the trajectories to be trapped, making it an excellent application of memory reduction to keep the trajectory lengths short.",unknown,,,no,yes,
10.1016/j.cbpa.2009.12.012,Metal-organic frameworks as potential drug carriers.,GenAI\papers\pdf\10.1016_j.cbpa.2009.12.012__1290ece0a3.pdf,text,no,review,yes,no,no,,,uncertain,uncertain,,yes,yes,PAGE 2,no,narrative,PAGE 2,"Both materials showed high Ibuprofen loading, with 0.347 g Ibuprofen/g MOF for MIL-100 and 1.376 g Ibuprofen/g MOF for MIL-101.",unknown,,,no,no,
10.1016/j.colsurfa.2022.129611,Iron-containing metal-organic framework thin film as a drug delivery system.,GenAI\papers\pdf\10.1016_j.colsurfa.2022.129611__82ceb7e0e7.pdf,text,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,PAGE 8,no,table_text,PAGE 8,"The encapsulation of 8.7 wt % of ibuprofen by MIL-88B is noted, leading to quantifiable change values obtained through QCM analysis.",unknown,,,no,no,
10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,GenAI\papers\pdf\10.1016_j.ejpb.2020.05.013__b451e1b601.pdf,figure,no,primary_experiment,yes,yes,yes,Page 7,Page 3,IVPT,skin,silicone membrane,yes,yes,Page 17,no,figure,Page 17,Figure 11. (a) Average IBU amount in µg/mL permeated vs time.,narrative,Page 5,A 5 % w/w ibuprofen gel formulation was used as the model topical formulation.,no,no,The study demonstrates the use of a newly designed diffusion cell for the IVPT of ibuprofen via a novel method.
10.1016/j.fluid.2020.112842,"Diffusivity of <i>α</i>-, <i>β</i>-, <i>γ</i>-cyclodextrin and the inclusion complex of <i>β</i>-cyclodextrin: Ibuprofen in aqueous solutions; A molecular dynamics simulation study.",GenAI\papers\pdf\10.1016_j.fluid.2020.112842__da00bc55b2.pdf,text,no,primary_experiment,yes,no,no,unknown,unknown,uncertain,uncertain,unknown,yes,yes,Page 5,no,narrative,Page 5,self-diffusion coeﬃcients reported in this work are calculated as the average of four independent simulations starting from different initial conﬁgurations.,unknown,unknown,unknown,no,yes,No specific mention of a diffusion cell or Franz cells; focus on molecular dynamics simulation of ibuprofen and β-cyclodextrin.
10.1016/j.heliyon.2019.e02127,Permeability of frog skin to chemicals: effect of penetration enhancers.,GenAI\papers\pdf\10.1016_j.heliyon.2019.e02127__2845bde3ad.pdf,figure,no,primary_experiment,yes,yes,yes,Sections 2.3 and 2.3.1: Diffusion cell experiments,Section 2.3: Diffusion cell experiments,IVPT,skin,Frog skin,yes,yes,Figure 1 and Table 1,no,figure,Section 3.2.1.3: Cumulative absorption versus time curves...,the cumulative absorption versus time curves for ibuprofen,table_text,Table 1,Table 1 presents the solubility data for each chemical in each of the penetration enhancer solutions.,no,no,
10.1016/j.ijpharm.2016.03.043,"A comparative study of the in vitro permeation of ibuprofen in mammalian skin, the PAMPA model and silicone membrane.",GenAI\papers\pdf\10.1016_j.ijpharm.2016.03.043__7008480bdc.pdf,figure,no,primary_experiment,yes,yes,yes,PAGE 5,PAGE 5,IVPT,both,"Human skin, Porcine skin, Silicone membrane, PAMPA",yes,yes,PAGE 8,no,figure,PAGE 8,Figure 1 shows cumulative amounts of ibuprofen permeated...,table_text,PAGE 12,Table 1: Excipients included in commercial and experimental formulations and proposed functions...,no,no,
10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,text,yes,primary_experiment,yes,yes,yes,Section 2.5,Section 2.7.2,both,skin,human epidermis,yes,yes,Section 3.1,no,narrative,Section 3.1,The amounts of permeated ibuprofen were determined by HPLC.,table_text,Table 1,The compositions of IBSLNs and IBNEs (% w/w).,no,no,
