doi,title,pdf_path,route,ready_for_step6_text,paper_type,mentions_ibuprofen,mentions_diffusion_cell,franz_confirmed,where_diffusion_cell,where_franz,study_type,barrier_category,barrier_name_raw,endpoint_qfinal_found,endpoint_time_found,where_endpoint,figure_only,endpoint_carrier,endpoint_carrier_where,endpoint_carrier_snippet,formulation_carrier,formulation_carrier_where,formulation_carrier_snippet,endpoint_likely_in_supp,formulation_table_missing,notes
10.1002/open.202500038,Ibuprofen-Functionalized Alkyl α-hydroxy Methacrylate-Based Polymers.,GenAI\papers\pdf\10.1002_open.202500038__18833a3913.pdf,figure,no,primary_experiment,yes,yes,uncertain,Page 6,uncertain,IVPT,uncertain,uncertain,yes,yes,Page 6,no,figure,Figure 7 shows the cumulative IBU release from the prodrugs as a function of time.,Figure 7 shows cumulative release profiles of IBU from various prodrugs at different time intervals.,table_text,"Table 1 summarizes the solubility of TBMA-IBU and IBU as reference, in various solvents.","Table 1 summarizes solubility of TBMA-IBU and IBU in various solvents, indicating their physical properties.",no,no,
10.1007/s11095-012-0939-6,Investigation of follicular and non-follicular pathways for polyarginine and oleic acid-modified nanoparticles.,GenAI\papers\pdf\10.1007_s11095-012-0939-6__6f8de36d1e.pdf,figure,no,primary_experiment,yes,yes,yes,In vitro skin permeation studies on pig ear skin for 24 h under unocclusive conditions were performed as described previously.,The full thickness pig ear skin was mounted on Franz diffusion cells.,IVPT,skin,pig ear skin,yes,yes,Figure 3,no,figure,The amount of Ibu permeated into the receiver compartment after 24 h from NLC formulations is summarized in Figure 3A and from NPS formulations in Figure 3B.,"The amount of Ibu from Ibu-NLC-R11 permeated into the receiver compartment was 13.85 ± 0.82 μg/cm2. This amount was 4.3; 2.2 and 1.7 times higher than Ibu-Sol; Ibu-NLC and Ibu-NLC-YKA, respectively (Figure 3A).",unknown,The methodology does not specify a table or narrative detailing the formulations used.,"Various nanoparticle formulations including Ibu-NLC, Ibu-NLC-R11, Ibu-NLC-YKA, Ibu-NPS, Ibu-NPS-OA and Ibu-NPS+OA (PM) were applied on the diffusional surface of the skin.",no,uncertain,
10.1016/j.ejpb.2020.05.013,Design and development of a novel fused filament fabrication (FFF) 3D printed diffusion cell with UV imaging capabilities to characterise permeation in pharmaceutical formulations.,GenAI\papers\pdf\10.1016_j.ejpb.2020.05.013__b451e1b601.pdf,figure,no,primary_experiment,yes,yes,yes,Page 7,Page 3,IVPT,skin,silicone membrane,yes,yes,Page 17,no,figure,Page 17,Figure 11. (a) Average IBU amount in µg/mL permeated vs time.,narrative,Page 5,A 5 % w/w ibuprofen gel formulation was used as the model topical formulation.,no,no,The study demonstrates the use of a newly designed diffusion cell for the IVPT of ibuprofen via a novel method.
10.1016/j.heliyon.2019.e02127,Permeability of frog skin to chemicals: effect of penetration enhancers.,GenAI\papers\pdf\10.1016_j.heliyon.2019.e02127__2845bde3ad.pdf,figure,no,primary_experiment,yes,yes,yes,Sections 2.3 and 2.3.1: Diffusion cell experiments,Section 2.3: Diffusion cell experiments,IVPT,skin,Frog skin,yes,yes,Figure 1 and Table 1,no,figure,Section 3.2.1.3: Cumulative absorption versus time curves...,the cumulative absorption versus time curves for ibuprofen,table_text,Table 1,Table 1 presents the solubility data for each chemical in each of the penetration enhancer solutions.,no,no,
10.1016/j.ijpharm.2016.03.043,"A comparative study of the in vitro permeation of ibuprofen in mammalian skin, the PAMPA model and silicone membrane.",GenAI\papers\pdf\10.1016_j.ijpharm.2016.03.043__7008480bdc.pdf,figure,no,primary_experiment,yes,yes,yes,PAGE 5,PAGE 5,IVPT,both,"Human skin, Porcine skin, Silicone membrane, PAMPA",yes,yes,PAGE 8,no,figure,PAGE 8,Figure 1 shows cumulative amounts of ibuprofen permeated...,table_text,PAGE 12,Table 1: Excipients included in commercial and experimental formulations and proposed functions...,no,no,
10.1016/j.mtcomm.2022.103205,Physicomechanical properties and in vitro release behaviors of electrospun ibuprofen-loaded blend PEO/EC fibers.,GenAI\papers\pdf\10.1016_j.mtcomm.2022.103205__6696b83bce.pdf,figure,no,primary_experiment,yes,no,no,,,IVRT,both,PEO/EC fibers,yes,yes,PAGE 12,no,figure,Fig. 8 shows the in vitro release curves of IBP from the PEO/EC fibers at various compositions...,"...the cumulative releases of IBP continued to increase to reach a plateau for all fiber formulations containing PEO, suggesting the role of PEO matrix dissolution in the release media that promoted the drug release rates.",narrative,main text,Results suggested that average fiber diameters and average fiber yields approached to a maximum at 50PEO/50EC fiber composition.,no,no,
10.1021/acsomega.9b03696,Tuning Crystal Structures of Iron-Based Metal-Organic Frameworks for Drug Delivery Applications.,GenAI\papers\pdf\10.1021_acsomega.9b03696__93213756c4.pdf,figure,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,Figure 5,no,figure,Figure 5 displays the cumulative ibuprofen released from treated MIL-53 and MIL-88B as a function of an immersing time.,"Figure 5 shows the cumulative drug release percentages for ibuprofen over time, indicating elution at multiple time points.",unknown,,,no,no,
10.1021/mp500264e,Crystallographic textures and morphologies of solution cast Ibuprofen composite films at solid surfaces.,GenAI\papers\pdf\10.1021_mp500264e__0344a1a460.pdf,figure,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,PAGE 6,no,figure,"Figure 6 shows the ibuprofen dissolution from various matrix materials as a function of time, incorporating IVPT metrics.",The released Ibu amount is very similar to the MC sample after and is about 30 mg.,narrative,Text in the Results section describes the formulation details and dissolution results.,Dissolution experiments demonstrated the impact of the matrix material on the API release.,no,no,
10.1038/s41598-020-74885-1,Fabrication of tri-layered electrospun polycaprolactone mats with improved sustained drug release profile.,GenAI\papers\pdf\10.1038_s41598-020-74885-1__7b671a04bd.pdf,figure,no,primary_experiment,yes,no,no,,,IVPT,uncertain,,yes,yes,PAGE 7,no,figure,Figure 7,Cumulative (%) IBU release for 62 days. Cumulative (%) release comparison for all groups.,table_text,Table 1,Composition of sandwich and non-sandwich mats.,no,no,
10.1038/s41598-024-82564-8,Design and optimization of hollow microneedle spacing for three materials using finite element methods.,GenAI\papers\pdf\10.1038_s41598-024-82564-8__1f27a4aa14.pdf,figure,no,primary_experiment,yes,yes,no,PAGE 11,unknown,IVPT,skin,skin model,yes,no,PAGE 12,no,figure,PAGE 11,The velocity variations were shown in Fig. 19. We found that the initial velocity of fluid increased with increasing pressure at the inlet.,narrative,PAGE 12,The fluid in the lumen is water and lidocaine ibuprofen ([Lid][Ibp]).,no,no,"Study focuses on microneedle design, including ibuprofen properties and flow dynamics."
