doi,title,pdf_path,route,ready_for_step6_text,paper_type,mentions_ibuprofen,mentions_diffusion_cell,franz_confirmed,where_diffusion_cell,where_franz,study_type,barrier_category,barrier_name_raw,endpoint_qfinal_found,endpoint_time_found,where_endpoint,figure_only,endpoint_carrier,endpoint_carrier_where,endpoint_carrier_snippet,formulation_carrier,formulation_carrier_where,formulation_carrier_snippet,endpoint_likely_in_supp,formulation_table_missing,notes
10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,GenAI\papers\pdf\10.1002_etc.4302__89ec992d2c.pdf,text,yes,primary_experiment,yes,yes,yes,PAGE 7,PAGE 7,IVPT,skin,Rhinella marina skin,yes,yes,PAGE 11,no,table_text,"PAGE 11, Table 3","Table 3 shows mean flux values for ibuprofen across skin types, along with statistical analyses.",table_text,"PAGE 7, Table 2",Table 2 details the validated HPLC methodologies and concentrations used for ibuprofen experiments in the study.,no,no,"This study investigates the permeation of ibuprofen through different skin regions of the terrestrial toad, utilizing Franz-type diffusion cells."
10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems.,GenAI\papers\pdf\10.1007_s11095-020-02887-9__71e83a4015.pdf,text,yes,primary_experiment,yes,yes,yes,"Page 4, in vitro drug permeation using HFMN arrays","Page 4, modified Franz diffusion cells used in permeation assay",IVPT,skin,dermatomed neonatal porcine skin,yes,yes,"Page 5, the sample was subsequently centrifuged at 13,400 rpm for 15 min before quantification",no,narrative,Page 5,The amount of drug deposited on the skin surface was washed by applying 1 mL of PBS (pH 7.4)...,supplement,"Page 3, Materials section",Ibuprofen sodium (IBU Na) were obtained from Sigma-Aldrich...,no,no,
10.1007/s11095-024-03747-6,Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery.,GenAI\papers\pdf\10.1007_s11095-024-03747-6__42a2bcfb6b.pdf,text,yes,primary_experiment,yes,yes,no,Page 4 - 'dialyzed against PBS for 130 h',unknown,IVPT,both,"dialysis membrane (SpectraPor® RC, MWCO = 1 kDa)",yes,yes,Page 6 - 'collecting aliquots of 200 µl' and 'quantify the released ibuprofen',no,narrative,Page 6 - 'the release profile was investigated...',The release profile was investigated collecting aliquots of 200 µl from the dialysis bag at fixed time points...,table_text,Page 3 - 'the drug loading efficiencies at three different drug/polymer ratios (D/P) were evaluated at physiological condition',"...showing the pivotal role of the functional groups, i.e. the hydrophobic tfm group and the guanidino moiety, in stimulating drug encapsulation.",no,no,
10.1007/s11356-025-36536-8,Emerging contaminants: assessing the release of pharmaceuticals via managed aquifer recharge.,GenAI\papers\pdf\10.1007_s11356-025-36536-8__a200c247b9.pdf,text,yes,primary_experiment,yes,yes,no,PAGE 2; Description of experimental setup for column transport,unknown,both,both,Porous media (both unsaturated and saturated),yes,yes,TABLE 3; Details of recovery rates and transport parameters for pharmaceuticals including ibuprofen,no,table_text,TABLE 3,Mass recovery (%) determined by fitting the BTC of nitrate tracer for the saturated column and chloride tracer for the unsaturated column,table_text,TABLE 1,Physical and chemical properties of trace compounds including ibuprofen,no,no,
10.1007/s12247-017-9305-x,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology.,GenAI\papers\pdf\10.1007_s12247-017-9305-x__5da0ee39f0.pdf,text,yes,primary_experiment,yes,yes,no,PAGE 4: Patches were placed into jacketed diffusion cells (A = 1 cm2).,uncertain,IVPT,both,"Strat-M®, human skin",yes,yes,"PAGE 4: Cumulative amounts and flux values represent the mean of six measurements (n = 6), Table 3, Fig. 4 shows cumulative permeation profiles...",no,table_text,PAGE 4: Table 3 shows cumulative permeated amounts...,"""The cumulative permeated amount for Strat-M after 24 h was found to be 109.47 μg cm−2, whereas for human skin was 85.73 μg cm−2 for the same period (Table 3)...""",table_text,PAGE 4: The list of components used for the synthesis of the optimized formulation is in Table 1.,"""Table 1 List of components used for the synthesis of the optimized formulation for the ibuprofen patch Ingredients Function Mass fraction, wt%...""",no,no,
10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,text,yes,primary_experiment,yes,yes,yes,Section 2.5,Section 2.7.2,both,skin,human epidermis,yes,yes,Section 3.1,no,narrative,Section 3.1,The amounts of permeated ibuprofen were determined by HPLC.,table_text,Table 1,The compositions of IBSLNs and IBNEs (% w/w).,no,no,
10.1016/j.jsps.2017.03.004,Vapour-phase method in the synthesis of polymer-ibuprofen sodium-silica gel composites.,GenAI\papers\pdf\10.1016_j.jsps.2017.03.004__e3d1f0291a.pdf,text,yes,primary_experiment,yes,yes,no,Section 2.2 - Release of ibuprofen salt,unknown,IVPT,uncertain,Not explicitly stated,yes,yes,Section 3.2 - Results and discussion,no,narrative,The values of parameters characterizing the porosity... predictably correlate with the content of silica gel.,"The drug contents in ternary composites, taking into account the mass of the total carrier system, were estimated to be 39 mg/g for HP-DA...",supplement,This describes the methodology and conditions used during the preparation.,Poly(TRIM) was prepared only with trimethylolpropane trimethacrylate monomer... used as matrices for the preparation of the solid dispersion of ibuprofen sodium.,no,no,"The endpoint data is discussed in terms of release characteristics, framed within the methodology section, supporting the overall outcomes in drug release."
10.1021/acs.molpharmaceut.0c00515,Poly(caprolactone)-Based Coatings on 3D-Printed Biodegradable Implants: A Novel Strategy to Prolong Delivery of Hydrophilic Drugs.,GenAI\papers\pdf\10.1021_acs.molpharmaceut.0c00515__ab30082c93.pdf,text,yes,primary_experiment,yes,yes,uncertain,Section 2.2.5 - In Vitro Release,unknown,IVPT,both,PCL-based coatings on implants,yes,yes,Section 3.2 - PCL Film Characterization,no,narrative,Section 3.2 - PCL Film Characterization,Total drug release at each time point was calculated...,table_text,Table 1,Composition of Polymeric Films Prepared by Solution Casting,no,no,
10.1021/acs.molpharmaceut.1c00988,Elucidating the Impact of Surfactants on the Performance of Dissolving Microneedle Array Patches.,GenAI\papers\pdf\10.1021_acs.molpharmaceut.1c00988__320ca28dae.pdf,text,yes,primary_experiment,yes,yes,yes,"Page 4, Section 2.10","Page 3, Figure 3",IVPT,skin,full-thickness neonatal porcine skin,yes,yes,"Page 5, Results Section 3.1",no,narrative,"Page 5, Results Section 3.1","""The incorporation of surfactant enhanced the amount of ibuprofen sodium delivered from 60.61% up to ≈75%""",table_text,Page 3,"""Table 1 outlines the formulation for Dissolving MAP Preparation""",no,no,Study focuses on surfactant impacts on ibuprofen sodium-loaded dissolving MAPs.
10.1021/acsomega.7b01800,Drug-Loaded Supramolecular Gels Prepared in a Microfluidic Platform: Distinctive Rheology and Delivery through Controlled Far-from-Equilibrium Mixing.,GenAI\papers\pdf\10.1021_acsomega.7b01800__9d283ba697.pdf,text,yes,primary_experiment,yes,yes,no,Microfluidic chips section,N/A,IVPT,both,"Gel formed with ibuprofen sodium salt, Gel formation using microfluidic mixing",yes,yes,"Results section, Table 2",no,table_text,Table 2 shows microfluidic mixing gelation experiments and outcomes.,"Table 2 details the flow rates, gel formation status, and gelation times for various conditions.",table_text,Table 1 presents experimental conditions for bulk mixing gelation.,Table 1 includes gelator/ibuprofen ratios and gel formation outcomes.,no,no,
