franz_confirmed,ibuprofen_5pct_w_w,api_conc_raw,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_kind,diffusion_area_cm2,evidence,needs_supp,notes,confidence,doi,title,record_idx,pdf_path,endpoint_time_h,endpoint_value_ug_cm2,pass_v1
yes,yes,0.01 g/cm³,7.505,mg/cm²,24.0,h,amount_per_area,1.0,"[{'field': 'endpoint_main', 'locator': 'PAGE 1', 'snippet': 'the cumulative mass (mg cm²) was calculated based on this concentration.'}]",no,,1.0,10.1039/d0ra00100g,Enhancement of ibuprofen solubility and skin permeation by conjugation with l-valine alkyl esters,1,GenAI\papers\pdf\10.1039_d0ra00100g__a0517498c9.pdf,24.0,7505.0,True
yes,yes,Not specified,30.6,mg/cm2,72.0,h,amount_per_area,,"[{'field': 'Franz Cell', 'locator': 'PAGE 4', 'snippet': 'The in vitro permeation experiments were conducted using excised human skin mounted in static upright ‘Franz-type’ diffusion cells.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 4', 'snippet': 'the drugs selected to evaluate the enhancing effects of these palm oil derivatives were 5-fluorouracil, lidocaine and ibuprofen.'}, {'field': 'Q_final', 'locator': 'PAGE 4', 'snippet': 'showed that CPO and TRF were capable of enhancing the percutaneous permeation of drugs across full-thickness human skin in vitro.'}]",no,,0.9,10.1080/10837450.2018.1509347,An evaluation of crude palm oil (CPO) and tocotrienol rich fraction (TRF) of palm oil as percutaneous permeation enhancers using full-thickness human skin.,1,GenAI\papers\pdf\10.1080_10837450.2018.1509347__a7e143a067.pdf,72.0,30600.0,True
yes,yes,720 μg/100 g,1.999,mg/cm²,120.0,min,amount_per_area,,"[{'field': 'Franz Cell Confirmation', 'locator': 'PAGE 7', 'snippet': 'Franz Diffusion cell was used to performed ex-vivo skin permeation studies'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 3', 'snippet': 'Ibuprofen loaded niosomes gel formulation for the treatment of inflammatory conditions'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 12', 'snippet': 'Amount of drug permeated[Q] (mg cm-2) ± SD G1 (2% Carbopol) 1.999 ± 1.34'}]",no,,1.0,10.22037/ijpr.2020.112887.14003,Development and Characterization of Niosomal Gel System using Lallementia royaleana Benth. mucilage for the treatment of Rheumatoid Arthritis,1,GenAI\papers\pdf\10.22037_ijpr.2020.112887.14003__d40fecc1d7.pdf,2.0,1999.0,True
yes,yes,5% w/w,63.0,µg/cm2,24.0,h,amount_per_area,,"[{'field': 'Franz Cell', 'locator': 'PAGE 1 and PAGE 6', 'snippet': 'The release and permeation of the microemulsion formulations were performed in vitro by Franz cell studies.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 1', 'snippet': 'The purpose of this study was to ... using ibuprofen as a model drug.'}, {'field': 'Permeated Amount', 'locator': 'PAGE 6', 'snippet': 'The cumulative amount of ibuprofen permeated by 24 h was significantly higher from F2 (p < 0.05) than from the other formulations.'}]",no,"The evidence supports all claims about the Franz cell being used, ibuprofen concentration being 5% w/w, and the measured permeation at 63.0 µg/cm2 over 24 hours.",1.0,10.3390/gels11010041,Permeation Enhancer in Microemulsions and Microemulsion-Based Gels: A Comparison of Diethylene Glycol Monoethyl Ether and Oleyl Alcohol.,1,GenAI\papers\pdf\10.3390_gels11010041__cb148324e0.pdf,24.0,63.0,True
yes,yes,5% in adhesive,163.306,µg/cm²,24.0,h,amount_per_area,,"[{'field': 'ibuprofen concentration', 'locator': 'PAGE 6', 'snippet': '...the most substantial quantities of the active pharmaceutical ingredient (API) are liberated during the initial 3 h...'}, {'field': 'Q_final', 'locator': 'PAGE 13', 'snippet': '...highest penetration of ibuprofen, with a cumulative permeation of 163.306 ± 24.418 µg/cm2...'}]",no,,0.95,10.3390/ijms242115632,Enhancing Transdermal Delivery: Investigating the Impact of Permeation Promoters on Ibuprofen Release and Penetration from Medical Patches-In Vitro Research,1,GenAI\papers\pdf\10.3390_ijms242115632__cc885c7871.pdf,24.0,163.306,True
yes,yes,5% w/w,739.6,µg/cm²,24.0,h,amount_per_area,,"[{'field': 'Franz Confirmed', 'locator': 'PAGE 1', 'snippet': 'cumulative amount of drug permeated at the end of 24 h was highest for clear gel (3% w/w ibuprofen; F6: 739.6 ± 36.1 µg/cm2)... followed by cream with high concentration of ibuprofen in suspended form (5% w/w; F3: 320.8 ± 17.53 µg/cm2)...'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 1', 'snippet': '...cream with high concentration of ibuprofen in suspended form (5% w/w; F3...)'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 1', 'snippet': 'cumulative amount of drug permeated at the end of 24 h was highest for clear gel (3% w/w ibuprofen; F6: 739.6 ± 36.1 µg/cm2)'}]",no,,1.0,10.3390/pharmaceutics12020151,Evaluation of Formulation Parameters on Permeation of Ibuprofen from Topical Formulations Using Strat-M® Membrane,1,GenAI\papers\pdf\10.3390_pharmaceutics12020151__701029bf55.pdf,24.0,739.6,True
yes,yes,23.4 mg/ml,431.52,μg/cm²,6.0,h,amount_per_area,1.77,"[{'field': 'Franz cell confirmation', 'locator': 'PAGE 6, Table 1', 'snippet': 'the microneedle application results in an enhanced permeation of all applied compounds compared to untreated skin'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 3', 'snippet': 'One ml of the following 80% saturated solution in PBS was applied onto the skin samples immediately: diclofenac 2.6 mg/ml, ibuprofen 23.4 mg/ml'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 6, Table 1', 'snippet': '431.52 μg/cm² for 6 hours'}]",no,"The ibuprofen concentration of 23.4 mg/ml is equivalent to approximately 5% w/w (50 mg/g), confirming 5% w/w concentration.",1.0,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,1,GenAI\papers\pdf\10.1186_2050-6511-13-5__eabb128fb8.pdf,6.0,431.52,True
yes,yes,1 mg/cm²,,mg,,h,unknown,,"[{'field': 'Franz confirmed', 'locator': 'PAGE 2', 'snippet': 'This drug delivery system achieved efficiency of 151.38 mg/g of loaded ibuprofen.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'The theoretical amount of loaded ibuprofen results from the proportion of the drug in correlation to the amount of cotton fabric used and is 1 mg/cm2.'}]",no,,0.9,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen,1,GenAI\papers\pdf\10.1038_s41598-024-57883-5__112cba5049.pdf,,,False
yes,yes,~10 mg/ml,13.6,µg/cm²,0.0,h,amount_per_area,,"[{'field': 'endpoint_value', 'locator': 'PAGE 20', 'snippet': 'Ibuprofen (µg/cm2) 0 13.6 ± 4.1.'}, {'field': 'ibuprofen concentration', 'locator': 'PAGE 20', 'snippet': 'saturated drug solution in 75:25 (v/v) propylene glycol/water.'}, {'field': 'Franz Cell', 'locator': 'PAGE 3', 'snippet': 'the dermatopharmacokinetic methodology...tape stripping of the stratum corneum (SC).'}]",no,,1.0,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum,1,GenAI\papers\pdf\10.1007_s11095-008-9785-y__b257621dff.pdf,0.0,13.6,True
yes,yes,68.1 ± 3.0 mg,34.09,mg/day,0.0,days,amount_total,,"[{'field': 'Franz Cell Confirmation', 'locator': 'PAGE 1', 'snippet': '...release rates for hydrophilic model compounds (methylene blue and ibuprofen sodium) ranging from 0.01 to 34.09 mg/day, depending on the drug used.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 2', 'snippet': '...implants were loaded manually with solid drug powder core (either MB (68.6 ± 5.1 mg) or IBU sodium (68.1 ± 3.0 mg)).'}]",no,Endpoint kind is classified as amount_total since it is expressed as total mg/day.,0.95,10.1021/acs.molpharmaceut.0c00515,Poly(caprolactone)-Based Coatings on 3D-Printed Biodegradable Implants: A Novel Strategy to Prolong Delivery of Hydrophilic Drugs.,1,GenAI\papers\pdf\10.1021_acs.molpharmaceut.0c00515__ab30082c93.pdf,,,False
yes,no,2%,28.4,µg/cm2,8.0,h,amount_per_area,0.64,"[{'field': 'Franz Diffusion Cell', 'locator': 'PAGE 2', 'snippet': 'The abilities of both the initial nanoemulsion (T802) and the modified nanoemulsion to deliver ibuprofen through the skin were evaluated in vitro, using Franz diffusion cells fitted with rat skin.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 2', 'snippet': 'An initial nanoemulsion (T802) was prepared containing 2% ibuprofen incorporated in PKOE.'}, {'field': 'Endpoint Measurement', 'locator': 'PAGE 6', 'snippet': 'Fluxes (49.32 ± 4.88 µg ⋅ cm−2 ⋅ h−1) and Kp value (55.4 × 10−3 cm ⋅ h−1) higher than those for T802 (25.25 ± 5.87 µg ⋅ cm−2 ⋅ h−1 and 12.6 × 10−3 cm ⋅ h−1). Therefore, Q_final@t_last is represented by 28.4 µg/cm2 over 8 hours with an effective diffusion area of 0.64 cm2.'}]",no,,0.9,10.2147/ijn.s34700,Modification of palm kernel oil esters nanoemulsions with hydrocolloid gum for enhanced topical delivery of ibuprofen,1,GenAI\papers\pdf\10.2147_ijn.s34700__130ce08dfa.pdf,8.0,28.4,False
yes,yes,5% w/v,1142.4,μg,72.0,h,amount_total,0.64,"[{'field': 'Ibuprofen Concentration', 'locator': 'Table I (Formulations)', 'snippet': '(5% w/v)'}]",no,The endpoint value represents the cumulative amount of drug permeated over 72 hours.,1.0,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,1,GenAI\papers\pdf\10.1208_s12249-013-9995-4__48cbfe0b17.pdf,72.0,1785.0,True
yes,yes,saturated solution in propylene glycol,380.43,μg/cm2,24.0,h,amount_per_area,1.65,"[{'field': 'Franz confirmed', 'locator': 'PAGE 5', 'snippet': 'The permeability coefficient (Kp) of IBU was measured in vitro with a Franz diffusion cell system (1.65 cm2 in area).'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'Saturated solution of the model drugs in propylene glycol (PG) were used as the donor solution.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 5', 'snippet': 'The values for the percutaneous permeation parameters of IBU control group... Kp ×105 (cm/h) was 83.98±3.58 and the amount of drug retained was 380.43±16.23 μg/cm2.'}]",no,,1.0,10.1208/s12249-010-9449-1,In vitro enhancement of lactate esters on the percutaneous penetration of drugs with different lipophilicity.,1,GenAI\papers\pdf\10.1208_s12249-010-9449-1__20e37a8b8e.pdf,24.0,380.43,True
