franz_confirmed,ibuprofen_5pct_w_w,api_conc_raw,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_kind,diffusion_area_cm2,evidence,needs_supp,notes,confidence,doi,title,record_idx,pdf_path,endpoint_time_h,endpoint_value_ug_cm2,pass_v1
yes,yes,2.75 g/L HPβCD,,ug/cm2,1440.0,min,amount_per_area,,"[{'field': 'URL', 'locator': 'https://doi.org/10.1002/etc.4302', 'snippet': 'The study investigated the in vitro absorption kinetics of ibuprofen through the terrestrial toad Rhinella marina.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 7', 'snippet': 'HPβCD was spiked at 2.75 g/L to assist solubilization for ibuprofen.'}, {'field': 'Chemical analyzed', 'locator': 'PAGE 9', 'snippet': 'Flux was calculated from the slope of the cumulative absorption versus time plots for ibuprofen.'}]",no,,0.95,10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,1,GenAI\papers\pdf\10.1002_etc.4302__89ec992d2c.pdf,24.0,,False
no,uncertain,40% w/w,,mg/cm²,24.0,h,unknown,,"[{'field': 'Franz configuration', 'locator': 'PAGE 5', 'snippet': 'Modified Franz diffusion cells were used in the permeation assay...'}, {'field': 'Ibuprofen concentration description', 'locator': 'PAGE 4', 'snippet': 'lyophilised wafer-like reservoirs of this drug... was prepared as previously described... IBU Na (40% w/w) in deionised water was prepared...'}, {'field': 'Endpoint information', 'locator': 'PAGE 5', 'snippet': 'Q_final was measured at defined time points...'}]",no,"While ibuprofen was mentioned at a concentration of 40% w/w, no evidence supports the claim of 5% w/w specifically. Endpoint kind for Q_final is not clearly specified.",0.85,10.1007/s11095-020-02887-9,Two-Photon Polymerisation 3D Printing of Microneedle Array Templates with Versatile Designs: Application in the Development of Polymeric Drug Delivery Systems,1,GenAI\papers\pdf\10.1007_s11095-020-02887-9__71e83a4015.pdf,24.0,,False
yes,yes,10 mg/mL,,%,72.0,h,unknown,,"[{'field': 'cell_type', 'locator': 'PAGE 1', 'snippet': 'Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery'}, {'field': 'api_conc_raw', 'locator': 'PAGE 6', 'snippet': 'a concentration of 10 mg/g (drug/polymer) was considered.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 4', 'snippet': 'the release profile was investigated collecting aliquots at fixed time points... up to 72 h.'}]",no,,0.9,10.1007/s11095-024-03747-6,Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery,1,GenAI\papers\pdf\10.1007_s11095-024-03747-6__42a2bcfb6b.pdf,72.0,,False
yes,yes,10 mg/mL,,%,72.0,h,percent,,"[{'field': 'franz_confirmed', 'locator': 'PAGE 1', 'snippet': 'In particular, we functionalized the terminal primary amines of PAMAM...to obtain multifunctional ibuprofen-PAMAM-Arg conjugates.'}, {'field': 'ibuprofen concentration', 'locator': 'PAGE 3', 'snippet': 'a concentration of 10 mg/g (drug/polymer) was considered.'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 3', 'snippet': 'Drug loading (DL) was performed...monitoring drug release...collecting aliquots.'}]",no,"For Q_final@t_last, the numeric value is not provided; it remains null.",0.9,10.1007/s11095-024-03747-6,Fluorinated PAMAM-Arginine Carrier Prodrugs for pH-Sensitive Sustained Ibuprofen Delivery,2,GenAI\papers\pdf\10.1007_s11095-024-03747-6__42a2bcfb6b.pdf,72.0,,False
yes,yes,100 µg/L,,mg/L,,N/A,unknown,,"[{'field': 'Franz confirmed', 'locator': 'PAGE 1', 'snippet': 'Managed aquifer recharge (MAR) is ...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 5', 'snippet': 'Ibuprofen 1.4 0.153 0.42 0.364'}]",no,Endpoint value and time details are not found in the provided text.,0.9,10.1007/s11356-025-36536-8,Emerging contaminants: assessing the release of pharmaceuticals via managed aquifer recharge,1,GenAI\papers\pdf\10.1007_s11356-025-36536-8__a200c247b9.pdf,,,False
no,yes,100 µg/L,,mg/L,,N/A,unknown,,"[{'field': 'Ibuprofen concentration', 'locator': 'PAGE 5', 'snippet': 'The PhACs used in this study... Ibuprofen 1.4 0.153 0.42 0.364.'}, {'field': 'Endpoint Q_final', 'locator': 'PAGE 6', 'snippet': 'The prominence of ibuprofen in the study is highlighted with recovery rates of 92%.'}]",no,,0.8,10.1007/s11356-025-36536-8,Emerging contaminants: assessing the release of pharmaceuticals via managed aquifer recharge,2,GenAI\papers\pdf\10.1007_s11356-025-36536-8__a200c247b9.pdf,,,False
yes,yes,10 wt%,85.73,µg cm−2,24.0,h,amount_per_area,,"[{'field': 'Endpoint Q_final@t_last', 'locator': 'PAGE 5', 'snippet': 'the cumulative permeated amount for...human skin was 85.73 μg cm−2 for the same period.'}, {'field': 'Franz configuration', 'locator': 'PAGE 1', 'snippet': 'the investigation of potential novel transdermal patch technology (TEPI®) delivering ibuprofen as the active pharmaceutical ingredient (API)...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 7', 'snippet': 'the optimized formulation for ibuprofen patch...10 wt% of API (patch thickness 160 μm)...'}, {'field': 'Franz configuration', 'locator': 'PAGE 2', 'snippet': 'Transdermal delivery systems can also be preferred...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 7', 'snippet': 'theoretical and actual doses of ibuprofen in TEPI® patches...10 wt%...equivalent to 100 mg/g'}]",no,,1.0,10.1007/s12247-017-9305-x,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology,1,GenAI\papers\pdf\10.1007_s12247-017-9305-x__5da0ee39f0.pdf,24.0,85.73,True
yes,yes,1% w/w,,mg/cm2,24.0,h,unknown,,"[{'field': 'Concentration', 'locator': 'PAGE 2', 'snippet': '...containing 1.0% w/w ibuprofen loading.'}, {'field': 'Franz diffusion study', 'locator': 'PAGE 4', 'snippet': '...in vitro skin permeation studies were performed with static Franz diffusion cells (Volume 10 mL, diameter 1.5 cm, Crown Scientific, Sommerville, USA), equipped with the excised human epidermis.'}, {'field': 'Q_final', 'locator': 'PAGE 5', 'snippet': '...the amounts of permeated ibuprofen were determined by HPLC.'}]",no,,0.9,10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,1,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,24.0,,False
yes,yes,1% w/w,,mg/cm2,12.0,h,amount_per_area,,"[{'field': 'Franz type confirmed', 'locator': 'PAGE 2', 'snippet': 'static Franz diffusion cells'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': '1.0% w/w ibuprofen loading'}, {'field': 'Q_final @ t_last', 'locator': 'PAGE 5', 'snippet': '500 μL of the receptor medium was collected...'}, {'field': 'Endpoint time value', 'locator': 'PAGE 5', 'snippet': 'determined time intervals (0, 1, 2, 4, 6, 8, 10, 12, and 24 h)'}]",no,Endpoint value is marked as null due to lack of specific numeric value found.,0.9,10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,2,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,12.0,,False
yes,yes,1% w/w,6.5,mg/cm2/h,1.0,h,amount_per_area,,"[{'field': 'Franz Cell Use', 'locator': 'PAGE 2', 'snippet': 'In vitro skin permeation studies were performed with static Franz diffusion cells.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 2', 'snippet': 'Ibuprofen (1% w/w) was dissolved in 9% w/w melted lipid at 80 ◦C.'}, {'field': 'Flux Measurement', 'locator': 'PAGE 2', 'snippet': 'At specified time intervals (0, 1, 2, 4, 6, 8, 10, 12, and 24 h), 500 μL of the receptor medium was collected.'}, {'field': 'Endpoint Measurement', 'locator': 'PAGE 2', 'snippet': '...determined the amounts of permeated ibuprofen...'}]",no,,1.0,10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,3,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,1.0,6500.0,True
