,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,101.31029288528798
sqrt(t),1.6404997306521667,0.0
log(t),1.6278660075706335,0.0
1/t,1.6189466085502924,0.0
exp(-t),1.2786230496340714,0.0
1-exp(-t),1.2790040821287894,0.0
C_pg * C_eth,0.0,0.0
C_pg * C_pol,0.0,4.718840229230422
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,3.5509062743633693
C_pg / C_eth,0.0,0.0
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,1.9644961920335997
C_pol^2,0.0,2.8857741401455725
C_pg * log(t),1.1759226482379965,5.339053733373922
C_pg * log(t),1.163693693567669,4.1772362303486785
C_eth * log(t),1.3388442773324236,0.0
C_pg * log(t),1.2997413776564573,15.685052926412352
C_eth * t,1.3850657555767145,0.0
C_pg * t,1.4087942260868638,0.0
exp(log(t)),1.6425390815643448,22.94137432857479
C_pg / C_eth - 0.28392357,0.0,0.0
11.411565 - C_pg,0.0,0.0
C_eth - 13.86362,0.0,0.0
C_eth - 13.869623,0.0,0.0
11.407039 - C_pg,0.0,0.0
14.275915 - C_eth,0.0,0.0
C_eth - 15.084822,0.0,0.0
inv(C_eth - 15.084822),0.0,0.0
sqrt(C_pg * C_eth),0.0,0.0
sqrt(C_pg * log(t)),1.135911839285681,0.0
inv(C_eth - 15.084822) - C_eth,0.0,0.0
inv(C_pg * C_eth),0.0,0.0
inv(C_eth - 15.084822) / C_pol,0.0,4.294828249550775
inv(1/t),1.6425390815643448,0.0
inv(C_eth - 15.084822) / C_pol - -10.28436,0.0,4.2208971360825984e-12
exp(log(t)) - C_pg / C_eth,1.4547027816430336,1.3211580965531327
inv(C_eth - 15.084822) / C_pol - -2.4267037,0.0,0.0013733406714518876
C_pg * C_eth * -5.6564804e-5,0.0,0.0
inv(C_eth - 15.084822) / C_pol - -2.3647997,0.0,8.5502886822024e-13
3.761387e-5 / inv(C_pg * C_eth),0.0,0.0
t - sqrt(t),1.6425390815643448,3.2807062683080317
sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997),0.0,6.8195274200012035
C_pg * C_eth * -5.6564804e-5 * C_eth,0.0,12.224435239754907
C_eth * C_pg * C_eth * -5.6564804e-5,0.0,0.0
0.11214635 - C_pg * C_eth * -5.6564804e-5,0.0,0.0
inv(C_pg * C_eth) * 50.729774,0.0,0.0
inv(C_pg * C_eth) * 25.895191,0.0,0.0
inv(C_pg * C_eth) * 25.895184,0.0,0.0
log(inv(1/t)),1.6272694848747955,0.0
log(C_pol),0.0,0.0
log(C_pg * t),1.2873513088113255,0.0
log(C_pg),0.0,0.0
inv(C_pg * C_eth * -5.6564804e-5 * C_eth),0.0,16.767694695389
exp(C_pg * C_eth * -5.6564804e-5 * C_eth),0.0,3.301634087343518
