complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,10888.009,x11,0.0,x11,PySRFunction(X=>x11),(C_eth * log(t))
2,3948.237,exp(x2),1.0143929417822932,exp(x2),PySRFunction(X=>exp(x2)),exp((sqrt(t)))
3,495.62003,x4 * 11.944037,2.075214864550672,x4*11.944037,PySRFunction(X=>x4*11.944037),(t - sqrt(t)) * 11.944037
5,394.59677,x4 * (x18 / 0.12494291),0.1139725782726899,x18*x4/0.12494291,PySRFunction(X=>x18*x4/0.12494291),(t - sqrt(t)) * ((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) / 0.12494291)
6,389.3285,x4 * (exp(x18) * 2.6737077),0.0134409477912634,x4*exp(x18)*2.6737077,PySRFunction(X=>x4*exp(x18)*2.6737077),(t - sqrt(t)) * (exp((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 2.6737077)
7,255.98999,x4 * ((x0 + x18) / 0.10808959),0.4192851181068655,x4*(x0 + x18)/0.10808959,PySRFunction(X=>x4*(x0 + x18)/0.10808959),(t - sqrt(t)) * (((C_pg * C_eth * -5.6564804e-5 * C_eth) + (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) / 0.10808959)
9,240.39493,x4 * ((-17.545975 / (x18 + x0)) - -25.629858),0.0314276147820838,x4*(-1*(-25.629858) - 17.545975/(x0 + x18)),PySRFunction(X=>x4*(-1*(-25.629858) - 17.545975/(x0 + x18))),(t - sqrt(t)) * ((-17.545975 / ((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth))) - -25.629858)
10,222.69296,x4 * (((x18 + x0) - square(x1)) * 9.790782),0.0764891508588844,x4*(x0 - x1**2 + x18)*9.790782,PySRFunction(X=>x4*(x0 - x1**2 + x18)*9.790782),(t - sqrt(t)) * ((((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth)) - square((inv(C_pg * C_eth) * 50.729774))) * 9.790782)
11,204.80801,(((x0 + x18) * 12.071913) - exp(exp(x1))) * x4,0.0837209580008748,x4*((x0 + x18)*12.071913 - exp(exp(x1))),PySRFunction(X=>x4*((x0 + x18)*12.071913 - exp(exp(x1)))),((((C_pg * C_eth * -5.6564804e-5 * C_eth) + (sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997))) * 12.071913) - exp(exp((inv(C_pg * C_eth) * 50.729774)))) * (t - sqrt(t))
12,184.7229,((((x18 + x0) - square(x1)) * 15.028032) + -6.443476) * x4,0.1032161393686588,x4*((x0 - x1**2 + x18)*15.028032 - 6.443476),PySRFunction(X=>x4*((x0 - x1**2 + x18)*15.028032 - 6.443476)),(((((sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997)) + (C_pg * C_eth * -5.6564804e-5 * C_eth)) - square((inv(C_pg * C_eth) * 50.729774))) * 15.028032) + -6.443476) * (t - sqrt(t))
14,175.9613,((((x0 - square(x1)) + -4.2800665) * (16.901102 - x15)) + 89.42621) * x4,0.0242963899320131,x4*((16.901102 - x15)*(x0 - x1**2 - 4.2800665) + 89.42621),PySRFunction(X=>x4*((16.901102 - x15)*(x0 - x1**2 - 4.2800665) + 89.42621)),(((((C_pg * C_eth * -5.6564804e-5 * C_eth) - square((inv(C_pg * C_eth) * 50.729774))) + -4.2800665) * (16.901102 - (inv(C_eth - 15.084822) / C_pol))) + 89.42621) * (t - sqrt(t))
15,154.85287,x19 * ((((x15 + x1) - 0.3098502) * ((x14 - 13.639996) * 3.3956978)) + 11.363855),0.1277886441832819,x19*((x1 + x15 - 1*0.3098502)*(x14 - 1*13.639996)*3.3956978 + 11.363855),PySRFunction(X=>x19*((x1 + x15 - 1*0.3098502)*(x14 - 1*13.639996)*3.3956978 + 11.363855)),(exp(log(t)) - C_pg / C_eth) * (((((inv(C_eth - 15.084822) / C_pol) + (inv(C_pg * C_eth) * 50.729774)) - 0.3098502) * (((C_eth) - 13.639996) * 3.3956978)) + 11.363855)
16,153.33765,(((x1 + (x15 - 0.31303874)) * (log(x23) * (x14 - 13.572672))) + 11.330655) * x19,0.0098330877200035,x19*((x14 - 13.572672)*(x1 + x15 - 0.31303874)*log(x23) + 11.330655),PySRFunction(X=>x19*((x14 - 13.572672)*(x1 + x15 - 0.31303874)*log(x23) + 11.330655)),((((inv(C_pg * C_eth) * 50.729774) + ((inv(C_eth - 15.084822) / C_pol) - 0.31303874)) * (log((C_pol)) * ((C_eth) - 13.572672))) + 11.330655) * (exp(log(t)) - C_pg / C_eth)
17,145.43547,x19 * (((((x14 - 13.58481) * ((x1 + x15) - 0.31189442)) - -1.2811633) * x5) + 7.240273),0.0529098695132703,x19*(x5*((x14 - 1*13.58481)*(x1 + x15 - 1*0.31189442) - 1*(-1.2811633)) + 7.240273),PySRFunction(X=>x19*(x5*((x14 - 1*13.58481)*(x1 + x15 - 1*0.31189442) - 1*(-1.2811633)) + 7.240273)),(exp(log(t)) - C_pg / C_eth) * ((((((C_eth) - 13.58481) * (((inv(C_pg * C_eth) * 50.729774) + (inv(C_eth - 15.084822) / C_pol)) - 0.31189442)) - -1.2811633) * (log(t))) + 7.240273)
18,143.41028,log(x21) * (((((x14 - 13.582261) * (x15 + (x1 - 0.30991256))) + 3.048875) * x19) + 11.383115),0.0140228698961521,(x19*((x14 - 13.582261)*(x1 + x15 - 0.30991256) + 3.048875) + 11.383115)*log(x21),PySRFunction(X=>(x19*((x14 - 13.582261)*(x1 + x15 - 0.30991256) + 3.048875) + 11.383115)*log(x21)),log((inv(1/t))) * ((((((C_eth) - 13.582261) * ((inv(C_eth - 15.084822) / C_pol) + ((inv(C_pg * C_eth) * 50.729774) - 0.30991256))) + 3.048875) * (exp(log(t)) - C_pg / C_eth)) + 11.383115)
19,141.49854,(x19 + x16) * ((x5 * (((x14 - 13.621406) * ((x1 + x15) - 0.30943865)) - -2.0322876)) + 4.381822),0.0134202141743967,(x16 + x19)*(x5*((x14 - 1*13.621406)*(x1 + x15 - 1*0.30943865) - 1*(-2.0322876)) + 4.381822),PySRFunction(X=>(x16 + x19)*(x5*((x14 - 1*13.621406)*(x1 + x15 - 1*0.30943865) - 1*(-2.0322876)) + 4.381822)),((exp(log(t)) - C_pg / C_eth) + (1-exp(-t))) * (((log(t)) * ((((C_eth) - 13.621406) * (((inv(C_pg * C_eth) * 50.729774) + (inv(C_eth - 15.084822) / C_pol)) - 0.30943865)) - -2.0322876)) + 4.381822)
20,141.24594,((x19 / 1.1243716) + 3.8644843) * (log(x21) * ((((x15 + x1) - 0.3073839) * (x14 - 13.631932)) + 3.3610854)),0.0017867727582396,(0.889385679965591*x19 + 3.8644843)*((x14 - 13.631932)*(x1 + x15 - 0.3073839) + 3.3610854)*log(x21),PySRFunction(X=>(0.889385679965591*x19 + 3.8644843)*((x14 - 13.631932)*(x1 + x15 - 0.3073839) + 3.3610854)*log(x21)),(((exp(log(t)) - C_pg / C_eth) / 1.1243716) + 3.8644843) * (log((inv(1/t))) * (((((inv(C_eth - 15.084822) / C_pol) + (inv(C_pg * C_eth) * 50.729774)) - 0.3073839) * ((C_eth) - 13.631932)) + 3.3610854))
21,136.35214,((x5 * ((((x1 + (x15 - 0.3025138)) * (x14 - 13.665941)) - -2.2814116) - (x6 * 0.00060216605))) + 4.2112427) * x21,0.0352618221793625,x21*(x5*(-0.00060216605*x6 + (x14 - 1*13.665941)*(x1 + x15 - 1*0.3025138) - 1*(-2.2814116)) + 4.2112427),PySRFunction(X=>x21*(x5*(-0.00060216605*x6 + (x14 - 1*13.665941)*(x1 + x15 - 1*0.3025138) - 1*(-2.2814116)) + 4.2112427)),(((log(t)) * (((((inv(C_pg * C_eth) * 50.729774) + ((inv(C_eth - 15.084822) / C_pol) - 0.3025138)) * ((C_eth) - 13.665941)) - -2.2814116) - ((C_pg * C_pol) * 0.00060216605))) + 4.2112427) * (inv(1/t))
22,136.02583,x21 * ((x5 * ((((x14 - 13.643218) * (x1 + (x15 - 0.34304544))) - -2.4551423) + (x6 * -0.00060308946))) + sqrt(x14)),0.0023960098983657,x21*(sqrt(x14) + x5*(-0.00060308946*x6 + (x14 - 13.643218)*(x1 + x15 - 0.34304544) + 2.4551423)),PySRFunction(X=>x21*(sqrt(x14) + x5*(-0.00060308946*x6 + (x14 - 13.643218)*(x1 + x15 - 0.34304544) + 2.4551423))),(inv(1/t)) * (((log(t)) * (((((C_eth) - 13.643218) * ((inv(C_pg * C_eth) * 50.729774) + ((inv(C_eth - 15.084822) / C_pol) - 0.34304544))) - -2.4551423) + ((C_pg * C_pol) * -0.00060308946))) + sqrt((C_eth)))
