complexity,loss,equation,score,sympy_format,lambda_format
1,10888.009,x13,0.0,x13,PySRFunction(X=>x13)
2,3948.237,exp(x2),1.0143929417822932,exp(x2),PySRFunction(X=>exp(x2))
3,495.62,x4 * 11.944034,2.075214925080915,x4*11.944034,PySRFunction(X=>x4*11.944034)
5,394.59677,(x20 * 8.003722) * x4,0.11397254800756836,x20*8.003722*x4,PySRFunction(X=>x20*8.003722*x4)
6,387.29272,square(x0 + 3.656711) * x4,0.01868361850500854,x4*(x0 + 3.656711)**2,PySRFunction(X=>x4*(x0 + 3.656711)**2)
7,255.98999,x4 * ((x20 + x0) * 9.251582),0.41404244739312035,x4*(x0 + x20)*9.251582,PySRFunction(X=>x4*(x0 + x20)*9.251582)
9,245.97238,x4 * ((x0 + x20) * (9.511392 - x1)),0.019959544473223675,x4*(9.511392 - x1)*(x0 + x20),PySRFunction(X=>x4*(9.511392 - x1)*(x0 + x20))
10,222.69298,x4 * ((x20 + (x0 - square(x1))) * 9.790797),0.0994252016668545,x4*(x0 - x1**2 + x20)*9.790797,PySRFunction(X=>x4*(x0 - x1**2 + x20)*9.790797)
11,209.01535,x4 * (square((x20 - square(x1)) + x0) * 7.897401),0.06338635729533716,x4*(x0 - x1**2 + x20)**2*7.897401,PySRFunction(X=>x4*(x0 - x1**2 + x20)**2*7.897401)
12,184.7229,x4 * ((((x20 + x0) - square(x1)) * 15.028287) - 6.443784),0.12355082988394667,x4*((x0 - x1**2 + x20)*15.028287 - 1*6.443784),PySRFunction(X=>x4*((x0 - x1**2 + x20)*15.028287 - 1*6.443784))
14,160.48373,(x20 + ((x0 * 1.8290529) + (inv(x0) * 0.03281574))) * (x4 * 13.043896),0.07033214882239475,(x0*1.8290529 + x20 + 0.03281574/x0)*x4*13.043896,PySRFunction(X=>(x0*1.8290529 + x20 + 0.03281574/x0)*x4*13.043896)
16,153.4214,14.101605 * (((x20 - (inv(x0) * -0.035666216)) + (x0 * (2.3263063 + x0))) * x4),0.022502091474334428,14.101605*x4*(x0*(x0 + 2.3263063) + x20 - (-0.035666216)/x0),PySRFunction(X=>14.101605*x4*(x0*(x0 + 2.3263063) + x20 - (-0.035666216)/x0))
