,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.652151877316294,46.60754418680561
sqrt(t),1.6401503385192058,0.0
log(t),1.630616739848132,0.0
1/t,1.6046308354349885,0.0
exp(-t),1.2653605607551135,0.0
1-exp(-t),1.2659549689747063,0.0
C_pg * C_eth,0.0,0.0
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.6623900630704604
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1688882982400117,0.0
C_pg * log(t),1.1307180724981958,0.0
C_eth * log(t),1.347939711034018,0.0
C_pg * log(t),1.2764676358010645,0.0
C_eth * t,1.391346470838703,0.0
C_pg * t,1.399373682441139,5.028842686497162
t - sqrt(t),1.652151877316294,52.65271448417401
sqrt(C_pg / C_eth),0.0,0.0
log(C_pg / C_eth),0.0,0.0
inv(C_pg / C_eth),0.0,0.0
sqrt(C_pg * C_eth),0.0,0.0
log(C_pg * C_eth),0.0,0.0
C_pol / C_pg,0.0,0.0
14.748968 - C_eth,0.0,0.0
C_pg * C_eth / 238.5248,0.0,0.0
exp(C_pg * C_eth / 238.5248),0.0,6.33113071671026
C_pg * C_eth / 78.53994,0.0,0.0
C_pg - 10.370496,0.0,0.0
exp(C_pg * C_eth / 238.5248) / C_pg / C_eth,0.0,2.5370465084232596
