complexity,loss,equation,score,sympy_format,lambda_format
1,11697.47,111.365555,0.0,111.365555000000,PySRFunction(X=>111.365555000000)
2,3919.7725,exp(x13),1.093338962700431,exp(x13),PySRFunction(X=>exp(x13))
3,510.42654,x14 * 11.911472,2.038542166274775,x14*11.911472,PySRFunction(X=>x14*11.911472)
5,476.09122,x14 * (x4 + 10.849511),0.034818627292384816,x14*(x4 + 10.849511),PySRFunction(X=>x14*(x4 + 10.849511))
6,439.7412,x14 * (15.762917 - sqrt(x2)),0.07942310247919997,x14*(15.762917 - sqrt(x2)),PySRFunction(X=>x14*(15.762917 - sqrt(x2)))
7,409.0079,x14 * (14.450289 - (x12 / 88.60792)),0.07245190078765604,x14*(14.450289 - x12/88.60792),PySRFunction(X=>x14*(14.450289 - x12/88.60792))
8,389.66174,x14 * (13.30465 - square(x12 / 199.40425)),0.04845544182051184,x14*(13.30465 - 2.51496056242741e-5*x12**2),PySRFunction(X=>x14*(13.30465 - 2.51496056242741e-5*x12**2))
9,381.056,x14 * (x4 + (13.306593 - (x12 / 91.54758))),0.022332683485916445,x14*(-x12/91.54758 + x4 + 13.306593),PySRFunction(X=>x14*(-x12/91.54758 + x4 + 13.306593))
10,363.85233,x14 * (13.53247 - (exp(x12 / 238.5273) - x4)),0.04619824744286086,x14*(13.53247 - (-x4 + exp(x12/238.5273))),PySRFunction(X=>x14*(13.53247 - (-x4 + exp(x12/238.5273))))
12,332.53793,x14 * (16.455288 - ((x12 / 56.747864) - inv(9.599174 - x3))),0.04499708486629816,x14*(16.455288 - (x12/56.747864 - 1/(9.599174 - x3))),PySRFunction(X=>x14*(16.455288 - (x12/56.747864 - 1/(9.599174 - x3))))
13,300.46402,x14 * (14.742537 - ((x12 / 93.48648) - (0.41198704 / (14.748968 - x2)))),0.10142591574823626,x14*(14.742537 - (x12/93.48648 - 0.41198704/(14.748968 - x2))),PySRFunction(X=>x14*(14.742537 - (x12/93.48648 - 0.41198704/(14.748968 - x2))))
14,278.46436,x14 * ((15.033468 - exp(x12 / 238.5248)) - (-0.43531123 / (14.747495 - x2))),0.0760379331259324,x14*(-exp(x12/238.5248) + 15.033468 - (-1)*0.43531123/(14.747495 - x2)),PySRFunction(X=>x14*(-exp(x12/238.5248) + 15.033468 - (-1)*0.43531123/(14.747495 - x2)))
15,278.42053,((15.033455 - exp(x12 / 238.5248)) - (inv(-2.311608) / (14.748968 - x2))) * x14,0.00015741134614202792,x14*(-exp(x12/238.5248) + 15.033455 - (-1)*0.432599298843056/(14.748968 - x2)),PySRFunction(X=>x14*(-exp(x12/238.5248) + 15.033455 - (-1)*0.432599298843056/(14.748968 - x2)))
16,276.00473,(((15.033455 - exp(x12 / 238.5248)) - (-0.43556783 / (14.748968 - x2))) * x14) + x4,0.008714665306027672,x14*(-exp(x12/238.5248) + 15.033455 - (-1)*0.43556783/(14.748968 - x2)) + x4,PySRFunction(X=>x14*(-exp(x12/238.5248) + 15.033455 - (-1)*0.43556783/(14.748968 - x2)) + x4)
17,274.43756,(((14.930494 - exp(x12 / 238.52362)) - (-0.44166374 / (14.729065 - x2))) * x14) + square(x4),0.00569423630053479,x14*(-exp(x12/238.52362) + 14.930494 - (-1)*0.44166374/(14.729065 - x2)) + x4**2,PySRFunction(X=>x14*(-exp(x12/238.52362) + 14.930494 - (-1)*0.44166374/(14.729065 - x2)) + x4**2)
18,263.9179,x14 * (((x4 - (x12 / 82.26841)) + 13.963676) - inv(((x2 + 0.035748824) - x3) * x3)),0.039085697018910646,x14*(-x12/82.26841 + x4 + 13.963676 - 1/(x3*(x2 - x3 + 0.035748824))),PySRFunction(X=>x14*(-x12/82.26841 + x4 + 13.963676 - 1/(x3*(x2 - x3 + 0.035748824))))
19,261.6989,(((x4 - (x12 / 78.86751)) - inv((sqrt(x12) + (0.03551207 - x3)) * x3)) + 14.057933) * x14,0.008443463690954923,x14*(-0.0126794924804904*x12 + x4 + 14.057933 - 1/(x3*(sqrt(x12) - x3 + 0.03551207))),PySRFunction(X=>x14*(-0.0126794924804904*x12 + x4 + 14.057933 - 1/(x3*(sqrt(x12) - x3 + 0.03551207))))
20,261.5973,(x14 * ((x4 - (x12 / 82.271736)) + (13.852403 - inv(x3 * ((0.035241522 - x3) + x2))))) + 2.160289,0.0003883078121973414,x14*(-x12/82.271736 + x4 + 13.852403 - 1/(x3*(x2 - x3 + 0.035241522))) + 2.160289,PySRFunction(X=>x14*(-x12/82.271736 + x4 + 13.852403 - 1/(x3*(x2 - x3 + 0.035241522))) + 2.160289)
21,259.40262,(x14 * (((x4 - (x12 / 78.53994)) + 13.951853) - inv(x3 * (sqrt(x12) + (0.03549513 - x3))))) + 2.1959083,0.0084249263662238,x14*(-0.0127323754003377*x12 + x4 + 13.951853 - 1/(x3*(sqrt(x12) - x3 + 0.03549513))) + 2.1959083,PySRFunction(X=>x14*(-0.0127323754003377*x12 + x4 + 13.951853 - 1/(x3*(sqrt(x12) - x3 + 0.03549513))) + 2.1959083)
22,259.1962,(((x4 - (x12 / 78.53994)) + (13.951853 - inv(((sqrt(x12) + 0.03549513) - x3) * x3))) * x14) + log(x2),0.0007960681858133241,x14*(-0.0127323754003377*x12 + x4 + 13.951853 - 1/(x3*(sqrt(x12) - x3 + 0.03549513))) + log(x2),PySRFunction(X=>x14*(-0.0127323754003377*x12 + x4 + 13.951853 - 1/(x3*(sqrt(x12) - x3 + 0.03549513))) + log(x2))
23,258.47513,((((x4 - (x12 / 76.8739)) - inv(((sqrt(x12) + 0.045946557) - x3) * (x3 - 2.8606057))) + 13.996006) * x14) - -2.180769,0.0027858234542008694,x14*(-0.0130083162165572*x12 + x4 + 13.996006 - 1/((x3 - 2.8606057)*(sqrt(x12) - x3 + 0.045946557))) + 2.180769,PySRFunction(X=>x14*(-0.0130083162165572*x12 + x4 + 13.996006 - 1/((x3 - 2.8606057)*(sqrt(x12) - x3 + 0.045946557))) + 2.180769)
25,258.1502,(x14 * ((x4 - (x12 / 77.5423)) + (13.970782 - inv(x3 * ((0.057421256 - ((0.25962442 / x2) + x3)) + sqrt(x12)))))) + 2.0278406,0.0006289471769506258,x14*(-0.0128961869843943*x12 + x4 + 13.970782 - 1/(x3*(sqrt(x12) - x3 + 0.057421256 - 0.25962442/x2))) + 2.0278406,PySRFunction(X=>x14*(-0.0128961869843943*x12 + x4 + 13.970782 - 1/(x3*(sqrt(x12) - x3 + 0.057421256 - 0.25962442/x2))) + 2.0278406)
