,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.652151877316294,69.5004884087676
sqrt(t),1.6493560675849666,0.0
log(t),1.6354570546578922,0.0
1/t,1.6073974367045065,0.0
exp(-t),1.2657023669581002,0.0
1-exp(-t),1.2654825927417332,0.0
t^2,1.6493388886739904,13.609360411502237
C_pg * C_eth,0.0,5.269061179050604
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.7033154503916292
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1641607103233245,0.0
C_pg * log(t),1.1374996289610797,0.0
C_eth * log(t),1.3533187051528164,0.0
C_pg * log(t),1.273166862684071,0.0
C_eth * t,1.397705022111991,0.0
C_pg * t,1.3975439919569026,5.458081161206028
log(C_pg / C_eth),0.0,0.0
t - sqrt(t),1.652151877316294,15.857525583414986
C_pg / C_eth * 1.3315489,0.0,7.169778929005602e-05
log(t) * 2.233255,1.629350972602762,0.0
log(C_pg / C_eth * 1.3315489),0.0,0.0
C_pg * C_eth * -0.0067678355,0.0,2.4079039804973944e-05
log(t) * 2.233255 + 1-exp(-t),1.6316849862689946,0.0
C_pol + -24.86965,0.0,0.0
C_pg / C_eth * -9.208159,0.0,0.0
C_pg * log(t) * -0.24116583,1.1657798719168793,0.0
C_pg / C_eth + 1.4210596,0.0,0.0
sqrt(C_pol),0.0,0.0
C_eth * -0.2447311,0.0,0.0
1.3073072 - C_pg / C_eth,0.0,0.0
1.2988392 - C_pg / C_eth,0.0,0.0
C_eth * -0.23049879,0.0,0.0
1.3048352 - C_pg / C_eth,0.0,0.0
C_eth * -0.23973683,0.0,0.0
