complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,10724.615,x0,0.0,x0,PySRFunction(X=>x0),(C_eth * log(t))
2,3919.7722,exp(x6),1.0065080268649635,exp(x6),PySRFunction(X=>exp(x6)),exp((sqrt(t)))
3,587.4778,x15 * 9.418948,1.8979503607807124,x15*9.418948,PySRFunction(X=>x15*9.418948),(t) * 9.418948
5,494.68475,(x15 * 10.123688) - x13,0.0859588835377512,-x13 + x15*10.123688,PySRFunction(X=>-x13 + x15*10.123688),((t) * 10.123688) - (C_eth)
6,494.68472,(exp(x12) * 10.123688) - x13,6.064468511404615e-08,-x13 + exp(x12)*10.123688,PySRFunction(X=>-x13 + exp(x12)*10.123688),(exp((log(t))) * 10.123688) - (C_eth)
7,449.27173,(x15 * 11.460353) - (x13 * x12),0.0962927363514964,-x12*x13 + x15*11.460353,PySRFunction(X=>-x12*x13 + x15*11.460353),((t) * 11.460353) - ((C_eth) * (log(t)))
9,409.00793,(x15 - x6) * ((x7 * -0.011287336) + 14.450709),0.0469466746953666,(14.450709 + x7*(-0.011287336))*(x15 - x6),PySRFunction(X=>(14.450709 + x7*(-0.011287336))*(x15 - x6)),((t) - (sqrt(t))) * (((C_pg * C_eth) * -0.011287336) + 14.450709)
10,409.00787,((x7 * -0.011287456) + 14.450743) * (x15 - sqrt(x15)),1.4669643288076117e-07,(14.450743 - 0.011287456*x7)*(-sqrt(x15) + x15),PySRFunction(X=>(14.450743 - 0.011287456*x7)*(-sqrt(x15) + x15)),(((C_pg * C_eth) * -0.011287456) + 14.450743) * ((t) - sqrt((t)))
11,381.05618,(x9 + ((x7 * -0.010926537) + 13.307329)) * (x15 - x6),0.0707875795868057,(x15 - x6)*(x7*(-0.010926537) + x9 + 13.307329),PySRFunction(X=>(x15 - x6)*(x7*(-0.010926537) + x9 + 13.307329)),((C_pg / C_eth) + (((C_pg * C_eth) * -0.010926537) + 13.307329)) * ((t) - (sqrt(t)))
12,381.05615,(x9 + ((x7 * -0.010925874) + 13.307311)) * (x15 - sqrt(x15)),7.872855166836581e-08,(-sqrt(x15) + x15)*(-0.010925874*x7 + x9 + 13.307311),PySRFunction(X=>(-sqrt(x15) + x15)*(-0.010925874*x7 + x9 + 13.307311)),((C_pg / C_eth) + (((C_pg * C_eth) * -0.010925874) + 13.307311)) * ((t) - sqrt((t)))
13,348.84625,(x15 - x6) * ((-955.38007 / x7) + ((x7 * -0.03223829) + 23.856709)),0.0883154588744878,(x15 - x6)*(x7*(-0.03223829) + 23.856709 - 955.38007/x7),PySRFunction(X=>(x15 - x6)*(x7*(-0.03223829) + 23.856709 - 955.38007/x7)),((t) - (sqrt(t))) * ((-955.38007 / (C_pg * C_eth)) + (((C_pg * C_eth) * -0.03223829) + 23.856709))
15,303.28867,((9.836255 - (28.097036 / (inv(log(x9) * x13) - x13))) * x15) - x8,0.0699731112391039,x15*(9.836255 - 28.097036/(-x13 + 1/(x13*log(x9)))) - x8,PySRFunction(X=>x15*(9.836255 - 28.097036/(-x13 + 1/(x13*log(x9)))) - x8),((9.836255 - (28.097036 / (inv(log((C_pg / C_eth)) * (C_eth)) - (C_eth)))) * (t)) - (C_pg * log(t))
