complexity,loss,equation,score,sympy_format,lambda_format
1,10724.615,x0,0.0,x0,PySRFunction(X=>x0)
2,3919.7722,exp(x6),1.0065080268649635,exp(x6),PySRFunction(X=>exp(x6))
3,510.42664,x7 * 11.911751,2.038541893825159,x7*11.911751,PySRFunction(X=>x7*11.911751)
5,476.09128,x7 * (x10 + 10.849664),0.03481866223653375,x7*(x10 + 10.849664),PySRFunction(X=>x7*(x10 + 10.849664))
6,439.7412,x7 * (15.7626705 - sqrt(x14)),0.0794232285054607,x7*(15.7626705 - sqrt(x14)),PySRFunction(X=>x7*(15.7626705 - sqrt(x14)))
7,409.0079,x7 * ((x9 * -0.011287438) - -14.450738),0.07245190078765604,x7*(x9*(-0.011287438) - 1*(-14.450738)),PySRFunction(X=>x7*(x9*(-0.011287438) - 1*(-14.450738)))
8,381.15665,(12.3358755 - (-1.4111124e-7 / log(x10))) * x7,0.07052402577833718,x7*(12.3358755 + 1.4111124e-7/log(x10)),PySRFunction(X=>x7*(12.3358755 + 1.4111124e-7/log(x10)))
9,381.0561,x7 * ((x10 + (x9 * -0.010926479)) + 13.307315),0.0002638370995060792,x7*(x10 + x9*(-0.010926479) + 13.307315),PySRFunction(X=>x7*(x10 + x9*(-0.010926479) + 13.307315))
10,355.52347,(x10 + (11.257826 - (-1.3641962e-7 / log(x10)))) * x7,0.06935534162717319,x7*(x10 + 11.257826 + 1.3641962e-7/log(x10)),PySRFunction(X=>x7*(x10 + 11.257826 + 1.3641962e-7/log(x10)))
11,348.84595,x7 * ((x9 * -0.0322196) + (23.848228 - (954.5091 / x9))),0.018960846011129944,x7*(x9*(-0.0322196) + 23.848228 - 954.5091/x9),PySRFunction(X=>x7*(x9*(-0.0322196) + 23.848228 - 954.5091/x9))
12,348.10242,x7 * ((((x9 * -1.7536256) - 301.6797) / sqrt(x9)) + 58.772324),0.0021336739250302733,x7*(58.772324 + (-1.7536256*x9 - 301.6797)/sqrt(x9)),PySRFunction(X=>x7*(58.772324 + (-1.7536256*x9 - 301.6797)/sqrt(x9)))
13,322.48477,x7 * ((x10 + ((x9 * -0.03158856) + 22.583578)) - (942.1989 / x9)),0.07644083650400861,x7*(x10 + x9*(-0.03158856) + 22.583578 - 942.1989/x9),PySRFunction(X=>x7*(x10 + x9*(-0.03158856) + 22.583578 - 942.1989/x9))
14,313.94522,x7 * (((x9 * -0.00950924) - ((-9.6449425e-5 / log(x10)) / 792.37115)) + 14.419299),0.02683739822464369,x7*(-0.00950924*x9 + 14.419299 + 1.21722534950951e-7/log(x10)),PySRFunction(X=>x7*(-0.00950924*x9 + 14.419299 + 1.21722534950951e-7/log(x10)))
15,296.3558,(((x9 * -0.009952809) + 14.58004) - ((-8.543294e-5 / log(sqrt(x10))) / 712.14185)) * x7,0.05765775259485281,x7*(-0.009952809*x9 + 14.58004 + 1.19966183703429e-7/log(sqrt(x10))),PySRFunction(X=>x7*(-0.009952809*x9 + 14.58004 + 1.19966183703429e-7/log(sqrt(x10))))
16,291.19144,(((x9 * -0.01126364) + 14.807709) - (-4.0375543 / ((log(x10) * 612.72876) + -2.0061731))) * x7,0.01757983920892689,x7*(-0.01126364*x9 + 14.807709 + 4.0375543/(612.72876*log(x10) - 2.0061731)),PySRFunction(X=>x7*(-0.01126364*x9 + 14.807709 + 4.0375543/(612.72876*log(x10) - 2.0061731)))
17,275.43137,((-0.5151956 / (10.31587 - x15)) + ((x9 * -0.028478071) + (21.416838 - (609.9635 / x9)))) * x7,0.055642433434137085,x7*(x9*(-0.028478071) + 21.416838 - 0.5151956/(10.31587 - x15) - 609.9635/x9),PySRFunction(X=>x7*(x9*(-0.028478071) + 21.416838 - 0.5151956/(10.31587 - x15) - 609.9635/x9))
18,272.37048,((x10 + ((x9 * -0.010860327) + 13.643713)) - (-3.7356448 / ((log(x10) * 612.67926) + -1.9260465))) * x7,0.011175288493092055,x7*(x10 - 0.010860327*x9 + 13.643713 + 3.7356448/(612.67926*log(x10) - 1.9260465)),PySRFunction(X=>x7*(x10 - 0.010860327*x9 + 13.643713 + 3.7356448/(612.67926*log(x10) - 1.9260465)))
19,219.42863,x7 * (((2.3395197 / ((x10 * x15) - 16.068756)) + ((x9 * -0.038988173) + 26.500042)) - (1154.1392 / x9)),0.216136166779495,x7*(x9*(-0.038988173) + 26.500042 + 2.3395197/(x10*x15 - 1*16.068756) - 1154.1392/x9),PySRFunction(X=>x7*(x9*(-0.038988173) + 26.500042 + 2.3395197/(x10*x15 - 1*16.068756) - 1154.1392/x9))
20,215.82416,x7 * ((((3.3313155 / ((x15 * square(x10)) - 16.51071)) + (x9 * -0.04075458)) + 26.901236) - (1154.0992 / x9)),0.016563029507503324,x7*(x9*(-0.04075458) + 26.901236 + 3.3313155/(x10**2*x15 - 1*16.51071) - 1154.0992/x9),PySRFunction(X=>x7*(x9*(-0.04075458) + 26.901236 + 3.3313155/(x10**2*x15 - 1*16.51071) - 1154.0992/x9))
22,212.41621,(x7 + 0.19331455) * ((((x9 * -0.041590407) + (3.3232028 / ((x15 * square(x10)) - 16.508343))) + 27.180439) - (1198.4216 / x9)),0.007958198674367822,(x7 + 0.19331455)*(x9*(-0.041590407) + 27.180439 + 3.3232028/(x10**2*x15 - 1*16.508343) - 1198.4216/x9),PySRFunction(X=>(x7 + 0.19331455)*(x9*(-0.041590407) + 27.180439 + 3.3232028/(x10**2*x15 - 1*16.508343) - 1198.4216/x9))
23,211.49695,x7 * (((((3.4041185 / ((square(square(x10)) * x15) - 16.85818)) + 22.847479) + (x9 * -0.036703967)) - (1088.985 / x9)) * 1.3104464),0.004337027144543601,x7*(x9*(-0.036703967) + 22.847479 + 3.4041185/(x10**4*x15 - 1*16.85818) - 1088.985/x9)*1.3104464,PySRFunction(X=>x7*(x9*(-0.036703967) + 22.847479 + 3.4041185/(x10**4*x15 - 1*16.85818) - 1088.985/x9)*1.3104464)
24,208.38211,x7 * ((((28.08415 - (18.271275 / x15)) + (x9 * -0.041581992)) - (1090.168 / x9)) + (2.9822793 / ((x15 * square(x10)) - 16.340683))),0.014837115913960449,x7*(x9*(-0.041581992) + 28.08415 + 2.9822793/(x10**2*x15 - 1*16.340683) - 1090.168/x9 - 18.271275/x15),PySRFunction(X=>x7*(x9*(-0.041581992) + 28.08415 + 2.9822793/(x10**2*x15 - 1*16.340683) - 1090.168/x9 - 18.271275/x15))
25,154.95055,x7 * ((((2.20337 / ((x10 * x15) - 16.027878)) - (0.5444185 / (10.31729 - x15))) + ((x9 * -0.030923275) + 22.134192)) - (612.4895 / x9)),0.2962674279050441,x7*(x9*(-0.030923275) + 22.134192 + 2.20337/(x10*x15 - 1*16.027878) - 0.5444185/(10.31729 - x15) - 612.4895/x9),PySRFunction(X=>x7*(x9*(-0.030923275) + 22.134192 + 2.20337/(x10*x15 - 1*16.027878) - 0.5444185/(10.31729 - x15) - 612.4895/x9))
26,148.01186,((x9 * -0.033054657) + ((((3.1778965 / ((square(x10) * x15) - 16.466818)) + 22.632217) - (0.5619093 / (10.306715 - x15))) - (612.4915 / x9))) * x7,0.045813628070962835,x7*(x9*(-0.033054657) + 22.632217 + 3.1778965/(x10**2*x15 - 1*16.466818) - 0.5619093/(10.306715 - x15) - 612.4915/x9),PySRFunction(X=>x7*(x9*(-0.033054657) + 22.632217 + 3.1778965/(x10**2*x15 - 1*16.466818) - 0.5619093/(10.306715 - x15) - 612.4915/x9))
27,146.60295,x7 * ((((4.010933 / ((x15 * square(square(x10))) - 16.762466)) + 22.968292) - (0.5665504 / (10.288872 - x15))) + ((x9 * -0.034231972) - (612.4663 / x9))),0.009564493655428026,x7*(x9*(-0.034231972) + 22.968292 + 4.010933/(x10**4*x15 - 1*16.762466) - 0.5665504/(10.288872 - x15) - 612.4663/x9),PySRFunction(X=>x7*(x9*(-0.034231972) + 22.968292 + 4.010933/(x10**4*x15 - 1*16.762466) - 0.5665504/(10.288872 - x15) - 612.4663/x9))
28,145.57207,(x7 - -0.1822644) * (((3.1164463 / ((square(x10) * x15) - 16.45226)) - (0.5545095 / (10.306397 - x15))) + (((x9 * -0.032707296) + 22.426853) - (612.4359 / x9))),0.00705662159480261,(x7 - 1*(-0.1822644))*(x9*(-0.032707296) + 22.426853 + 3.1164463/(x10**2*x15 - 1*16.45226) - 0.5545095/(10.306397 - x15) - 612.4359/x9),PySRFunction(X=>(x7 - 1*(-0.1822644))*(x9*(-0.032707296) + 22.426853 + 3.1164463/(x10**2*x15 - 1*16.45226) - 0.5545095/(10.306397 - x15) - 612.4359/x9))
29,144.14511,((((3.9808533 / ((square(square(x10)) * x15) - 16.756952)) - (0.5620604 / (10.293789 - x15))) + (x9 * -0.03395266)) + (22.766315 - (612.40186 / x9))) * (x7 - -0.19455682),0.009850789926236156,(x7 - 1*(-0.19455682))*(x9*(-0.03395266) + 22.766315 + 3.9808533/(x10**4*x15 - 1*16.756952) - 0.5620604/(10.293789 - x15) - 612.40186/x9),PySRFunction(X=>(x7 - 1*(-0.19455682))*(x9*(-0.03395266) + 22.766315 + 3.9808533/(x10**4*x15 - 1*16.756952) - 0.5620604/(10.293789 - x15) - 612.40186/x9))
30,143.94072,(((sqrt(x15) / ((square(square(x10)) * x15) - 16.70871)) + (((x9 * -0.03408382) + 22.78735) - (0.5599062 / (10.281962 - x15)))) - (612.4225 / x9)) * (x7 + 0.18594906),0.001418952360785429,(x7 + 0.18594906)*(sqrt(x15)/(x10**4*x15 - 16.70871) - 0.03408382*x9 + 22.78735 - 0.5599062/(10.281962 - x15) - 612.4225/x9),PySRFunction(X=>(x7 + 0.18594906)*(sqrt(x15)/(x10**4*x15 - 16.70871) - 0.03408382*x9 + 22.78735 - 0.5599062/(10.281962 - x15) - 612.4225/x9))
