Variable,Index
C_pol,x0
C_eth,x1
C_pg,x2
t,x3
sqrt(t),x4
log(t),x5
1/t,x6
exp(-t),x7
1-exp(-t),x8
t^2,x9
C_pg * C_eth,x10
C_pg * C_pol,x11
C_eth * C_pol,x12
C_pg / C_pol,x13
C_pg / C_eth,x14
C_eth / C_pol,x15
C_pg^2,x16
C_eth^2,x17
C_pol^2,x18
C_pg * log(t),x19
C_pg * log(t),x20
C_eth * log(t),x21
C_pg * log(t),x22
C_eth * t,x23
C_pg * t,x24
log(C_pg / C_eth),x25
t - sqrt(t),x26
C_pg / C_eth * 1.3315489,x27
log(t) * 2.233255,x28
log(C_pg / C_eth * 1.3315489),x29
C_pg * C_eth * -0.0067678355,x30
log(t) * 2.233255 + 1-exp(-t),x31
C_pol + -24.86965,x32
C_pg / C_eth * -9.208159,x33
C_pg * log(t) * -0.24116583,x34
C_pg / C_eth + 1.4210596,x35
sqrt(C_pol),x36
C_eth * -0.2447311,x37
1.3073072 - C_pg / C_eth,x38
1.2988392 - C_pg / C_eth,x39
C_eth * -0.23049879,x40
1.3048352 - C_pg / C_eth,x41
C_eth * -0.23973683,x42
