,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,35.03166448026257
sqrt(t),1.6385821010521762,0.0
log(t),1.6337228215208692,0.0
1/t,1.616142585886722,0.0
exp(-t),1.278264153124432,0.0
1-exp(-t),1.2782520775451915,0.0
C_pg * C_eth,0.0,5.053507855894408
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,0.0
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.18082023902187,0.0
C_pg * log(t),1.17491548417817,0.0
C_eth * log(t),1.3384282179600264,0.0
C_pg * log(t),1.3063227011147438,0.0
C_eth * t,1.387082271186069,0.0
C_pg * t,1.411672910074056,2.0054031480916517
log(C_pg / C_eth),0.0,0.0
sqrt(C_pg / C_eth),0.0,0.0
t - sqrt(t),1.6425390815643448,47.86274519158078
exp(C_pg / C_eth),0.0,1.7848710984798084
C_pg * -0.3741939,0.0,0.0
C_pg * -0.37614924,0.0,0.0
t - sqrt(t) + exp(-t),1.6425390815643448,19.604886985051156
