complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,ops_only_complexity
3,576.34656,x8 * 9.44371,1.924315282713019,x8*9.44371,PySRFunction(X=>x8*9.44371),(t) * 9.44371,3,1
5,479.7468,(x8 * 10.156036) - x5,0.0917253408544361,-x5 + x8*10.156036,PySRFunction(X=>-x5 + x8*10.156036),((t) * 10.156036) - (C_eth),5,3
7,461.74023,(x8 - (x0 * 0.0065854993)) * 10.1438675,0.0191280022524943,(-0.0065854993*x0 + x8)*10.1438675,PySRFunction(X=>(-0.0065854993*x0 + x8)*10.1438675),((t) - ((C_pg * C_eth) * 0.0065854993)) * 10.1438675,9,4
8,406.55365,square((-0.007377929 * x0) + (x13 * 3.4163024)),0.1272865596208446,(-0.007377929*x0 + x13*3.4163024)**2,PySRFunction(X=>(-0.007377929*x0 + x13*3.4163024)**2),square((-0.007377929 * (C_pg * C_eth)) + ((sqrt(t)) * 3.4163024)),11,6
9,395.67368,(x8 - x13) * (14.497121 - (x0 * 0.011398683)),0.0271260694565208,(14.497121 - 0.011398683*x0)*(-x13 + x8),PySRFunction(X=>(14.497121 - 0.011398683*x0)*(-x13 + x8)),((t) - (sqrt(t))) * (14.497121 - ((C_pg * C_eth) * 0.011398683)),12,7
10,368.01797,(x8 - x13) * ((1.4291301e-7 / log(x11)) + 12.359054),0.0724580626440614,(12.359054 + 1.4291301e-7/log(x11))*(-x13 + x8),PySRFunction(X=>(12.359054 + 1.4291301e-7/log(x11))*(-x13 + x8)),((t) - (sqrt(t))) * ((1.4291301e-7 / log((C_pg / C_eth))) + 12.359054),13,8
11,365.88702,((1.4405121e-7 / log(x11)) + 12.462354) * square(x13 + -0.54816633),0.0058071712757837,(12.462354 + 1.4405121e-7/log(x11))*(x13 - 0.54816633)**2,PySRFunction(X=>(12.462354 + 1.4405121e-7/log(x11))*(x13 - 0.54816633)**2),((1.4405121e-7 / log((C_pg / C_eth))) + 12.462354) * square((sqrt(t)) + -0.54816633),14,8
13,318.75742,((1.3709085e-7 / log(x11)) + 12.117202) * square((x5 * -0.032333598) + x13),0.0676795841059567,(12.117202 + 1.3709085e-7/log(x11))*(x13 - 0.032333598*x5)**2,PySRFunction(X=>(12.117202 + 1.3709085e-7/log(x11))*(x13 - 0.032333598*x5)**2),((1.3709085e-7 / log((C_pg / C_eth))) + 12.117202) * square(((C_eth) * -0.032333598) + (sqrt(t))),16,9
14,306.81516,(12.117202 + (1.3719279e-7 / log(sqrt(x11)))) * square((-0.032333598 * x5) + x13),0.0381848930621999,(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(x13 - 0.032333598*x5)**2,PySRFunction(X=>(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(x13 - 0.032333598*x5)**2),(12.117202 + (1.3719279e-7 / log(sqrt((C_pg / C_eth))))) * square((-0.032333598 * (C_eth)) + (sqrt(t))),17,10
16,305.17902,(((1.317249e-7 / log(sqrt(x11))) + 12.356144) * square((x5 * -0.031632666) + x13)) - x13,0.0053172663408186,-x13 + (12.356144 + 1.317249e-7/log(sqrt(x11)))*(x13 - 0.031632666*x5)**2,PySRFunction(X=>-x13 + (12.356144 + 1.317249e-7/log(sqrt(x11)))*(x13 - 0.031632666*x5)**2),(((1.317249e-7 / log(sqrt((C_pg / C_eth)))) + 12.356144) * square(((C_eth) * -0.031632666) + (sqrt(t)))) - (sqrt(t)),20,13
