complexity,loss,equation,score,sympy_format,lambda_format
1,10888.009,x13,0.0,x13,PySRFunction(X=>x13)
2,3948.237,exp(x19),1.0143929417822932,exp(x19),PySRFunction(X=>exp(x19))
3,493.95618,x0 * 11.94248,2.0785776203467483,x0*11.94248,PySRFunction(X=>x0*11.94248)
5,485.62988,(x17 * 11.774371) + x12,0.008500019411268829,x12 + x17*11.774371,PySRFunction(X=>x12 + x17*11.774371)
6,438.1658,x0 * (63.809753 / log(x2)),0.10284939241598041,63.809753*x0/log(x2),PySRFunction(X=>63.809753*x0/log(x2))
7,394.03217,x0 * ((-0.011395622 / x8) + 14.494931),0.10616482185052284,x0*(14.494931 - 0.011395622/x8),PySRFunction(X=>x0*(14.494931 - 0.011395622/x8))
8,374.771,((-2.5379335e-5 / square(x8)) + 13.333188) * x0,0.050117382940055744,x0*(13.333188 - 2.5379335e-5/x8**2),PySRFunction(X=>x0*(13.333188 - 2.5379335e-5/x8**2))
10,336.87573,((x8 * -1040.4817) - (sqrt(x2) - 31.851265)) * x0,0.053300532067058475,x0*(-sqrt(x2) - 1040.4817*x8 + 31.851265),PySRFunction(X=>x0*(-sqrt(x2) - 1040.4817*x8 + 31.851265))
11,334.33908,((x8 * -959.98175) - ((x10 * 0.032375433) - 23.911354)) * x0,0.007558421055992558,x0*(x8*(-959.98175) - (x10*0.032375433 - 1*23.911354)),PySRFunction(X=>x0*(x8*(-959.98175) - (x10*0.032375433 - 1*23.911354)))
12,328.96042,x0 * ((x8 * ((6.3931546 - sqrt(x10)) * -756.1023)) + -16.646027),0.016218248003899104,x0*(x8*(756.1023*sqrt(x10) - 4833.87889731558) - 16.646027),PySRFunction(X=>x0*(x8*(756.1023*sqrt(x10) - 4833.87889731558) - 16.646027))
13,312.38382,x0 * (((sqrt(x12) - -30.199373) + (x8 * -1052.8734)) - sqrt(x2)),0.0517048155262776,x0*(sqrt(x12) - sqrt(x2) - 1052.8734*x8 + 30.199373),PySRFunction(X=>x0*(sqrt(x12) - sqrt(x2) - 1052.8734*x8 + 30.199373))
14,307.83167,x0 * ((x8 * -1151.6296) - (sqrt((x12 * -8.316367) + x2) + -31.477415)),0.014679516450833863,x0*(-1151.6296*x8 - sqrt(-8.316367*x12 + x2) + 31.477415),PySRFunction(X=>x0*(-1151.6296*x8 - sqrt(-8.316367*x12 + x2) + 31.477415))
15,307.69296,x0 * ((sqrt(x12) - -35.47282) + ((x8 * -1383.0645) - (sqrt(x10) * 1.2468901))),0.000450704961548036,x0*(-1.2468901*sqrt(x10) + sqrt(x12) - 1383.0645*x8 + 35.47282),PySRFunction(X=>x0*(-1.2468901*sqrt(x10) + sqrt(x12) - 1383.0645*x8 + 35.47282))
16,304.98566,x0 * ((x8 * -1427.7802) - (sqrt(((x12 * -6.726292) + x10) * 1.46305) + -35.960907)),0.008837643529580089,x0*(-1427.7802*x8 - sqrt(1.46305*x10 - 9.8409015106*x12) + 35.960907),PySRFunction(X=>x0*(-1427.7802*x8 - sqrt(1.46305*x10 - 9.8409015106*x12) + 35.960907))
18,304.59702,(x0 * ((x8 * -1427.8394) - (sqrt(((x12 * -6.7251234) + x10) * 1.4632113) + -35.794018))) + x6,0.000637551008924681,x0*(-1427.8394*x8 - sqrt(1.4632113*x10 - 9.84027655277442*x12) + 35.794018) + x6,PySRFunction(X=>x0*(-1427.8394*x8 - sqrt(1.4632113*x10 - 9.84027655277442*x12) + 35.794018) + x6)
19,304.56198,sqrt(x6) + (x0 * ((x8 * -1427.7817) - (sqrt(((x12 * -6.726493) + x10) * 1.4630163) + -35.864353))),0.00011504385567195667,x0*(-1427.7817*x8 - sqrt(1.4630163*x10 - 9.8409689008359*x12) + 35.864353) + sqrt(x6),PySRFunction(X=>x0*(-1427.7817*x8 - sqrt(1.4630163*x10 - 9.8409689008359*x12) + 35.864353) + sqrt(x6))
