complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,complexity_breakdown_str,is_pareto_front
1,10888.009,x13,0.0,x13,PySRFunction(X=>x13),(C_eth * log(t)),4,"{'operations': {'*': 1}, 'functions': {'log': 1}, 'variables': {'t': 1, 'C_eth': 1}}",False
2,3948.237,exp(x19),1.0143929417822932,exp(x19),PySRFunction(X=>exp(x19)),exp((sqrt(t))),3,"{'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 1}}",True
3,493.95618,x0 * 11.94248,2.0785776203467483,x0*11.94248,PySRFunction(X=>x0*11.94248),(t - sqrt(t) + exp(-t)) * 11.94248,10,"{'constants': ['11.94248'], 'operations': {'+': 1, '-': 2, '*': 1}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 3}}",True
5,485.62988,(x17 * 11.774371) + x12,0.0085000194112688,x12 + x17*11.774371,PySRFunction(X=>x12 + x17*11.774371),((t - sqrt(t)) * 11.774371) + (exp(C_pg / C_eth)),11,"{'constants': ['11.774371'], 'operations': {'+': 1, '-': 1, '*': 1, '/': 1}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
6,438.1658,x0 * (63.809753 / log(x2)),0.1028493924159804,63.809753*x0/log(x2),PySRFunction(X=>63.809753*x0/log(x2)),(t - sqrt(t) + exp(-t)) * (63.809753 / log((C_pg * C_eth))),15,"{'constants': ['63.809753'], 'operations': {'+': 1, '-': 2, '*': 2, '/': 1}, 'functions': {'exp': 1, 'log': 1, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
7,394.03217,x0 * ((-0.011395622 / x8) + 14.494931),0.1061648218505228,x0*(14.494931 - 0.011395622/x8),PySRFunction(X=>x0*(14.494931 - 0.011395622/x8)),(t - sqrt(t) + exp(-t)) * ((-0.011395622 / (inv(C_pg * C_eth))) + 14.494931),17,"{'constants': ['-0.011395622', '14.494931'], 'operations': {'+': 2, '-': 2, '*': 2, '/': 1}, 'functions': {'exp': 1, 'sqrt': 1, 'inv': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
8,374.771,((-2.5379335e-5 / square(x8)) + 13.333188) * x0,0.0501173829400557,x0*(13.333188 - 2.5379335e-5/x8**2),PySRFunction(X=>x0*(13.333188 - 2.5379335e-5/x8**2)),((-2.5379335e-5 / square((inv(C_pg * C_eth)))) + 13.333188) * (t - sqrt(t) + exp(-t)),18,"{'constants': ['-2.5379335e-5', '13.333188'], 'operations': {'+': 2, '-': 2, '*': 2, '/': 1}, 'functions': {'exp': 1, 'sqrt': 1, 'inv': 1, 'square': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
10,336.87573,((x8 * -1040.4817) - (sqrt(x2) - 31.851265)) * x0,0.0533005320670584,x0*(-sqrt(x2) - 1040.4817*x8 + 31.851265),PySRFunction(X=>x0*(-sqrt(x2) - 1040.4817*x8 + 31.851265)),(((inv(C_pg * C_eth)) * -1040.4817) - (sqrt((C_pg * C_eth)) - 31.851265)) * (t - sqrt(t) + exp(-t)),21,"{'constants': ['-1040.4817', '-31.851265'], 'operations': {'+': 1, '-': 3, '*': 4}, 'functions': {'exp': 1, 'sqrt': 2, 'inv': 1}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",True
11,334.33908,((x8 * -959.98175) - ((x10 * 0.032375433) - 23.911354)) * x0,0.0075584210559925,x0*(x8*(-959.98175) - (x10*0.032375433 - 1*23.911354)),PySRFunction(X=>x0*(x8*(-959.98175) - (x10*0.032375433 - 1*23.911354))),(((inv(C_pg * C_eth)) * -959.98175) - (((inv(inv(C_pg * C_eth))) * 0.032375433) - 23.911354)) * (t - sqrt(t) + exp(-t)),24,"{'constants': ['-959.98175', '0.032375433', '-23.911354'], 'operations': {'+': 1, '-': 3, '*': 5}, 'functions': {'exp': 1, 'sqrt': 1, 'inv': 3}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",True
12,328.96042,x0 * ((x8 * ((6.3931546 - sqrt(x10)) * -756.1023)) + -16.646027),0.0162182480038991,x0*(x8*(756.1023*sqrt(x10) - 4833.87889731558) - 16.646027),PySRFunction(X=>x0*(x8*(756.1023*sqrt(x10) - 4833.87889731558) - 16.646027)),(t - sqrt(t) + exp(-t)) * (((inv(C_pg * C_eth)) * ((6.3931546 - sqrt((inv(inv(C_pg * C_eth))))) * -756.1023)) + -16.646027),26,"{'constants': ['6.3931546', '-756.1023', '-16.646027'], 'operations': {'+': 2, '-': 3, '*': 5}, 'functions': {'exp': 1, 'sqrt': 2, 'inv': 3}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",True
