complexity,loss,equation,score,sympy_format,lambda_format
1,11765.351,111.55989,0.0,111.559890000000,PySRFunction(X=>111.559890000000)
3,576.34656,x3 * 9.44371,1.508102494268418,x3*9.44371,PySRFunction(X=>x3*9.44371)
5,479.7468,(x3 * 10.156036) - x1,0.09172534085443616,-x1 + x3*10.156036,PySRFunction(X=>-x1 + x3*10.156036)
7,452.06976,x3 * ((x3 / x1) + 7.7414174),0.029710980259033726,x3*(7.7414174 + x3/x1),PySRFunction(X=>x3*(7.7414174 + x3/x1))
8,431.16254,(x3 * (14.013348 - sqrt(x1))) - x2,0.04735136222620663,-x2 + x3*(14.013348 - sqrt(x1)),PySRFunction(X=>-x2 + x3*(14.013348 - sqrt(x1)))
9,430.2894,(x3 * ((29.397705 / x1) + 8.092497)) - x2,0.0020271364157545078,-x2 + x3*(8.092497 + 29.397705/x1),PySRFunction(X=>-x2 + x3*(8.092497 + 29.397705/x1))
10,429.662,((x3 / log(x1 + 7.6795297)) * 31.54361) - x2,0.0014591524854027963,-x2 + 31.54361*x3/log(x1 + 7.6795297),PySRFunction(X=>-x2 + 31.54361*x3/log(x1 + 7.6795297))
11,403.28787,(x3 + -1.3167832) * (12.213403 - ((x1 * x2) * 0.00959734)),0.06334822851828632,(12.213403 - 0.00959734*x1*x2)*(x3 - 1.3167832),PySRFunction(X=>(12.213403 - 0.00959734*x1*x2)*(x3 - 1.3167832))
12,366.16473,(((inv(14.740568 - x1) * 0.3493817) + 10.497511) * x3) - x1,0.09656731044907557,-x1 + x3*(10.497511 + 0.3493817/(14.740568 - x1)),PySRFunction(X=>-x1 + x3*(10.497511 + 0.3493817/(14.740568 - x1)))
13,329.32172,((14.444918 - sqrt(inv(15.065559 - x1) + x1)) * x3) - x2,0.10604816881196845,-x2 + x3*(14.444918 - sqrt(x1 + 1/(15.065559 - x1))),PySRFunction(X=>-x2 + x3*(14.444918 - sqrt(x1 + 1/(15.065559 - x1))))
