complexity,loss,equation,score,sympy_format,lambda_format
1,11765.351,111.56954,0.0,111.569540000000,PySRFunction(X=>111.569540000000)
3,576.34656,x3 * 9.443697,1.508102494268418,x3*9.443697,PySRFunction(X=>x3*9.443697)
5,479.7468,(x3 * 10.156036) - x1,0.09172534085443616,-x1 + x3*10.156036,PySRFunction(X=>-x1 + x3*10.156036)
7,452.0698,((x3 / x1) - -7.7413583) * x3,0.02971093601807602,x3*(-1*(-7.7413583) + x3/x1),PySRFunction(X=>x3*(-1*(-7.7413583) + x3/x1))
8,431.16254,(x3 * (14.012966 - sqrt(x1))) - x2,0.047351450708121995,-x2 + x3*(14.012966 - sqrt(x1)),PySRFunction(X=>-x2 + x3*(14.012966 - sqrt(x1)))
9,430.2894,(x3 * ((29.397648 / x1) + 8.092503)) - x2,0.0020271364157545078,-x2 + x3*(8.092503 + 29.397648/x1),PySRFunction(X=>-x2 + x3*(8.092503 + 29.397648/x1))
10,429.66183,(x3 * (31.542995 / log(x1 + 7.6781607))) - x2,0.0014595481453252583,-x2 + 31.542995*x3/log(x1 + 7.6781607),PySRFunction(X=>-x2 + 31.542995*x3/log(x1 + 7.6781607))
11,366.18896,(x3 * ((-0.35234854 / (x1 + -14.736261)) + 10.483428)) - x1,0.1598489730939493,-x1 + x3*(10.483428 - 0.35234854/(x1 - 14.736261)),PySRFunction(X=>-x1 + x3*(10.483428 - 0.35234854/(x1 - 14.736261)))
13,344.0619,(((x2 * (-0.024481725 / (x1 + -14.736261))) + 10.491991) * x3) - x1,0.03116395063964685,-x1 + x3*(x2*(-0.024481725)/(x1 - 14.736261) + 10.491991),PySRFunction(X=>-x1 + x3*(x2*(-0.024481725)/(x1 - 14.736261) + 10.491991))
15,330.40033,(((11.411566 - x2) / (19.01006 / (x1 + -13.863576))) + 10.207312) * (x3 + -1.3202623),0.0202582713052991,(x3 - 1.3202623)*((11.411566 - x2)/((19.01006/(x1 - 13.863576))) + 10.207312),PySRFunction(X=>(x3 - 1.3202623)*((11.411566 - x2)/((19.01006/(x1 - 13.863576))) + 10.207312))
17,326.39496,(x3 + -1.3172867) * (((11.469513 - x2) / ((x2 / (x1 + -13.591569)) + 0.994731)) + 10.142246),0.006098429320702625,(x3 - 1.3172867)*((11.469513 - x2)/(x2/(x1 - 13.591569) + 0.994731) + 10.142246),PySRFunction(X=>(x3 - 1.3172867)*((11.469513 - x2)/(x2/(x1 - 13.591569) + 0.994731) + 10.142246))
18,317.75995,x3 * (((10.156036 - x2) / (26.857502 / (inv(x1 + -14.820697) + (x1 + -15.071985)))) + 9.649984),0.026811958288930036,x3*((10.156036 - x2)/((26.857502/(x1 - 15.071985 + 1/(x1 - 14.820697)))) + 9.649984),PySRFunction(X=>x3*((10.156036 - x2)/((26.857502/(x1 - 15.071985 + 1/(x1 - 14.820697)))) + 9.649984))
19,291.74292,x3 * (((11.151648 - ((x2 / (x1 + -15.296131)) + x2)) / (19.925339 / (x1 + -15.779506))) + 10.273093),0.08542321998531181,x3*((11.151648 - (x2 + x2/(x1 - 15.296131)))/((19.925339/(x1 - 15.779506))) + 10.273093),PySRFunction(X=>x3*((11.151648 - (x2 + x2/(x1 - 15.296131)))/((19.925339/(x1 - 15.779506))) + 10.273093))
20,242.93799,(((10.483428 - x2) / (23.345663 / ((x1 + inv(x1 + -14.813849)) + -15.209062))) + 10.246358) * (x3 + -1.32414),0.18306677792993967,(x3 - 1.32414)*((10.483428 - x2)/((23.345663/(x1 - 15.209062 + 1/(x1 - 14.813849)))) + 10.246358),PySRFunction(X=>(x3 - 1.32414)*((10.483428 - x2)/((23.345663/(x1 - 15.209062 + 1/(x1 - 14.813849)))) + 10.246358))
21,216.50095,(x3 + -1.3291862) * (((10.932744 - (x2 + (x2 / (-15.288524 + x1)))) / (19.406082 / (x1 + -15.788489))) + 10.93274),0.11521129016640429,(x3 - 1.3291862)*((10.932744 - (x2 + x2/(x1 - 15.288524)))/((19.406082/(x1 - 15.788489))) + 10.93274),PySRFunction(X=>(x3 - 1.3291862)*((10.932744 - (x2 + x2/(x1 - 15.288524)))/((19.406082/(x1 - 15.788489))) + 10.93274))
23,195.5126,((((x2 / (x1 + -15.258837)) + (9.39352 - x2)) / ((x0 / (x1 + -14.604293)) + -2.112254)) + 10.064977) * (x3 + -1.3183082),0.050985053973601,(10.064977 + (-x2 + x2/(x1 - 15.258837) + 9.39352)/(x0/(x1 - 14.604293) - 2.112254))*(x3 - 1.3183082),PySRFunction(X=>(10.064977 + (-x2 + x2/(x1 - 15.258837) + 9.39352)/(x0/(x1 - 14.604293) - 2.112254))*(x3 - 1.3183082))
25,194.86449,(((10.604904 - (((x2 + -7.391829) / (-15.290134 + x1)) + x2)) / ((20.174345 / (x1 + -16.711681)) + -2.455683)) + 10.604904) * (-1.3210942 + x3),0.0016602167803085658,(10.604904 + (10.604904 - (x2 + (x2 - 7.391829)/(x1 - 15.290134)))/(-2.455683 + 20.174345/(x1 - 16.711681)))*(x3 - 1.3210942),PySRFunction(X=>(10.604904 + (10.604904 - (x2 + (x2 - 7.391829)/(x1 - 15.290134)))/(-2.455683 + 20.174345/(x1 - 16.711681)))*(x3 - 1.3210942))
26,187.39972,(((((x2 / (x1 + -15.225302)) + 9.266569) - x2) / ((24.376303 / (x1 + -14.616643)) + -2.276676)) + 10.321513) * ((inv(x3) + x3) + -1.7712499),0.03906051824285747,(10.321513 + (-x2 + x2/(x1 - 15.225302) + 9.266569)/(-2.276676 + 24.376303/(x1 - 14.616643)))*(x3 - 1.7712499 + 1/x3),PySRFunction(X=>(10.321513 + (-x2 + x2/(x1 - 15.225302) + 9.266569)/(-2.276676 + 24.376303/(x1 - 14.616643)))*(x3 - 1.7712499 + 1/x3))
27,173.95897,(((((((x2 / (x1 + -15.220599)) + x1) * (x0 * -0.040153116)) + 23.582836) - x2) / (x0 / (x1 + -15.892022))) + 11.339801) * (x3 + -1.3246373),0.07442440886245046,(11.339801 + ((x1 + x2/(x1 - 15.220599))*x0*(-0.040153116) - x2 + 23.582836)/((x0/(x1 - 15.892022))))*(x3 - 1.3246373),PySRFunction(X=>(11.339801 + ((x1 + x2/(x1 - 15.220599))*x0*(-0.040153116) - x2 + 23.582836)/((x0/(x1 - 15.892022))))*(x3 - 1.3246373))
29,164.72421,(x3 * (((20.234722 - ((((x2 + (x0 * -0.18404673)) / (x1 + -15.171272)) + (x1 * 0.60644144)) + x2)) / (x2 / (x1 + -15.681594))) + 11.665971)) - x2,0.02727342294703835,-x2 + x3*(11.665971 + (20.234722 - (x1*0.60644144 + x2 + (x0*(-0.18404673) + x2)/(x1 - 15.171272)))/((x2/(x1 - 15.681594)))),PySRFunction(X=>-x2 + x3*(11.665971 + (20.234722 - (x1*0.60644144 + x2 + (x0*(-0.18404673) + x2)/(x1 - 15.171272)))/((x2/(x1 - 15.681594)))))
31,147.16884,(x3 * (((19.271553 - ((((x1 + (((x0 * -0.3272755) + x2) / (x1 + -15.183248))) * x0) * 0.023550149) + x2)) / (x2 / (x1 + -16.631844))) + 10.830311)) - x2,0.05634606090634726,-x2 + x3*(10.830311 + (19.271553 - ((x1 + (x0*(-0.3272755) + x2)/(x1 - 15.183248))*x0*0.023550149 + x2))/((x2/(x1 - 16.631844)))),PySRFunction(X=>-x2 + x3*(10.830311 + (19.271553 - ((x1 + (x0*(-0.3272755) + x2)/(x1 - 15.183248))*x0*0.023550149 + x2))/((x2/(x1 - 16.631844)))))
33,131.13074,(x3 + -1.3202816) * (((20.483572 - (x2 + ((x0 * 0.025008759) * ((((x0 * -0.33074608) + x2) / (x1 + -15.173751)) + x1)))) / ((x2 / (x1 + -16.842707)) + -1.3315462)) + 10.9589815),0.057692829160792984,(x3 - 1.3202816)*((20.483572 - (x0*0.025008759*(x1 + (x0*(-0.33074608) + x2)/(x1 - 15.173751)) + x2))/(x2/(x1 - 16.842707) - 1.3315462) + 10.9589815),PySRFunction(X=>(x3 - 1.3202816)*((20.483572 - (x0*0.025008759*(x1 + (x0*(-0.33074608) + x2)/(x1 - 15.173751)) + x2))/(x2/(x1 - 16.842707) - 1.3315462) + 10.9589815))
