complexity,loss,equation,score,sympy_format,lambda_format
1,11765.351,111.558464,0.0,111.558464000000,PySRFunction(X=>111.558464000000)
3,576.34656,x3 / 0.105892666,1.508102494268418,x3/0.105892666,PySRFunction(X=>x3/0.105892666)
5,479.7468,(x3 * 10.156036) - x1,0.09172534085443616,-x1 + x3*10.156036,PySRFunction(X=>-x1 + x3*10.156036)
7,452.06976,((x3 / x1) + 7.741444) * x3,0.029710980259033726,x3*(7.741444 + x3/x1),PySRFunction(X=>x3*(7.741444 + x3/x1))
8,431.16257,(x3 * (14.01318 - sqrt(x1))) - x2,0.04735129264688055,-x2 + x3*(14.01318 - sqrt(x1)),PySRFunction(X=>-x2 + x3*(14.01318 - sqrt(x1)))
9,430.28943,(x3 * ((29.400703 / x1) + 8.092289)) - x2,0.0020271362745647426,-x2 + x3*(8.092289 + 29.400703/x1),PySRFunction(X=>-x2 + x3*(8.092289 + 29.400703/x1))
10,429.77222,(x3 * (15.886519 - (log(x1) * 2.1330807))) - x2,0.0012027278796762153,-x2 + x3*(15.886519 - 2.1330807*log(x1)),PySRFunction(X=>-x2 + x3*(15.886519 - 2.1330807*log(x1)))
11,422.96432,(((x3 / x1) + 7.9869313) * (x3 + 1.0123622)) - x2,0.015967521798846626,-x2 + (7.9869313 + x3/x1)*(x3 + 1.0123622),PySRFunction(X=>-x2 + (7.9869313 + x3/x1)*(x3 + 1.0123622))
12,417.82547,((((x3 / x1) + 10.731952) - log(x2)) * x3) + -6.8558807,0.012224016159620257,x3*(-log(x2) + 10.731952 + x3/x1) - 6.8558807,PySRFunction(X=>x3*(-log(x2) + 10.731952 + x3/x1) - 6.8558807)
14,407.25928,square(square((12.919684 / (x1 + 8.0290365)) + log(x3)) + (x1 / x2)),0.012806887619396818,(x1/x2 + (log(x3) + 12.919684/(x1 + 8.0290365))**2)**2,PySRFunction(X=>(x1/x2 + (log(x3) + 12.919684/(x1 + 8.0290365))**2)**2)
16,372.55127,square(inv((x0 - 1.8240086) - x1) - square((1.9159399 / log(x1)) + log(x3))),0.04453768413804618,(-(log(x3) + 1.9159399/log(x1))**2 + 1/(x0 - x1 - 1.8240086))**2,PySRFunction(X=>(-(log(x3) + 1.9159399/log(x1))**2 + 1/(x0 - x1 - 1.8240086))**2)
18,361.8156,square(inv((x0 - 1.8389674) - x1) - square((1.8550605 / log(x1)) + log(x3))) - -4.9365478,0.01461998807803084,(-(log(x3) + 1.8550605/log(x1))**2 + 1/(x0 - x1 - 1.8389674))**2 + 4.9365478,PySRFunction(X=>(-(log(x3) + 1.8550605/log(x1))**2 + 1/(x0 - x1 - 1.8389674))**2 + 4.9365478)
19,355.10226,square(inv((x0 - 1.820045) - x1) - square((26.07254 / (x1 + 22.63011)) + log(x3))) - -4.8004637,0.018728885443079216,(-(log(x3) + 26.07254/(x1 + 22.63011))**2 + 1/(x0 - x1 - 1.820045))**2 + 4.8004637,PySRFunction(X=>(-(log(x3) + 26.07254/(x1 + 22.63011))**2 + 1/(x0 - x1 - 1.820045))**2 + 4.8004637)
21,354.48413,square((0.51646805 - square(log(x3) + (30.70334 / (x1 + 25.83322)))) - inv(1.8100709 - (x0 - x1))) - -6.5391874,0.0008711133204705306,(-(log(x3) + 30.70334/(x1 + 25.83322))**2 + 0.51646805 - 1/(-x0 + x1 + 1.8100709))**2 + 6.5391874,PySRFunction(X=>(-(log(x3) + 30.70334/(x1 + 25.83322))**2 + 0.51646805 - 1/(-x0 + x1 + 1.8100709))**2 + 6.5391874)
22,309.9815,square(log(log((-0.9118769 / (inv(x0) + (x1 - x2))) + x0)) + square(log(x3) + (1.5887228 / log(x1)))),0.13415095941317257,((log(x3) + 1.5887228/log(x1))**2 + log(log(x0 - 0.9118769/(x1 - x2 + 1/x0))))**2,PySRFunction(X=>((log(x3) + 1.5887228/log(x1))**2 + log(log(x0 - 0.9118769/(x1 - x2 + 1/x0))))**2)
24,309.40378,square(square(log(x3) + (1.5746379 / log(x1))) + log(log(x0 + (-0.9124315 / (inv(x0) + (x1 - x2)))))) - -1.1408287,0.0009327315100812286,((log(x3) + 1.5746379/log(x1))**2 + log(log(x0 - 0.9124315/(x1 - x2 + 1/x0))))**2 + 1.1408287,PySRFunction(X=>((log(x3) + 1.5746379/log(x1))**2 + log(log(x0 - 0.9124315/(x1 - x2 + 1/x0))))**2 + 1.1408287)
26,266.82242,square(log(x0) + (square(log(x3) + 0.5258544) - log(log(square(x1 / log(square(log(square(9.092347 / (x0 - (x1 + x2))))))))))),0.07403190588225149,((log(x3) + 0.5258544)**2 + log(x0) - log(log(x1**2/log(log(82.670773968409/(x0 - x1 - x2)**2)**2)**2)))**2,PySRFunction(X=>((log(x3) + 0.5258544)**2 + log(x0) - log(log(x1**2/log(log(82.670773968409/(x0 - x1 - x2)**2)**2)**2)))**2)
28,237.2421,square((square(log(x3) + (1.9789505 / log(x1))) + 1.9140031) - log(log(square(9.660614 / log(square(log(square((x1 - x2) + 0.21139024))) / 9.66041))))),0.058751102383702354,((log(x3) + 1.9789505/log(x1))**2 - log(log(93.327462856996/log(0.10351527523159*log((x1 - x2 + 0.21139024)**2)**2)**2)) + 1.9140031)**2,PySRFunction(X=>((log(x3) + 1.9789505/log(x1))**2 - log(log(93.327462856996/log(0.10351527523159*log((x1 - x2 + 0.21139024)**2)**2)**2)) + 1.9140031)**2)
30,205.50221,square((1.4104946 - log(log(x2 + square(1.5807567 / log(9.714537 / square(log(square((x2 - 0.21050335) - x1)))))))) + square((2.042633 / log(x1)) + log(x3))),0.07181217529531438,((log(x3) + 2.042633/log(x1))**2 - log(log(x2 + 2.49879174459489/log(9.714537/log((-x1 + x2 - 0.21050335)**2)**2)**2)) + 1.4104946)**2,PySRFunction(X=>((log(x3) + 2.042633/log(x1))**2 - log(log(x2 + 2.49879174459489/log(9.714537/log((-x1 + x2 - 0.21050335)**2)**2)**2)) + 1.4104946)**2)
31,202.47717,square(square((2.042633 / log(x1)) + log(x3)) + (1.4104946 - log(log(x2 + (log(x3) / square(log(9.714537 / square(log(square((0.21050335 - x2) + x1)))))))))),0.014829648686232126,((log(x3) + 2.042633/log(x1))**2 - log(log(x2 + log(x3)/log(9.714537/log((x1 - x2 + 0.21050335)**2)**2)**2)) + 1.4104946)**2,PySRFunction(X=>((log(x3) + 2.042633/log(x1))**2 - log(log(x2 + log(x3)/log(9.714537/log((x1 - x2 + 0.21050335)**2)**2)**2)) + 1.4104946)**2)
32,191.53523,square(log(log(x2 + square(-1.6923019 / log(square(log(square(x1 - (x2 - 0.21048819)))) / 9.714535)))) - (square((2.0426078 / log(x1)) + log(x3)) + 1.2010401)) + 5.9293685,0.05555537908119029,(-(log(x3) + 2.0426078/log(x1))**2 + log(log(x2 + 2.86388572074361/log(0.102938534886127*log((x1 - x2 + 0.21048819)**2)**2)**2)) - 1.2010401)**2 + 5.9293685,PySRFunction(X=>(-(log(x3) + 2.0426078/log(x1))**2 + log(log(x2 + 2.86388572074361/log(0.102938534886127*log((x1 - x2 + 0.21048819)**2)**2)**2)) - 1.2010401)**2 + 5.9293685)
33,190.91891,square((1.2010398 - log(log((log(x1) / square(log(9.714532 / square(log(square(x2 - (x1 + 0.21048161))))))) + x2))) + square(log(x3) + (2.0426068 / log(x1)))) + 5.9293685,0.00322297744511907,((log(x3) + 2.0426068/log(x1))**2 - log(log(x2 + log(x1)/log(9.714532/log((-x1 + x2 - 0.21048161)**2)**2)**2)) + 1.2010398)**2 + 5.9293685,PySRFunction(X=>((log(x3) + 2.0426068/log(x1))**2 - log(log(x2 + log(x1)/log(9.714532/log((-x1 + x2 - 0.21048161)**2)**2)**2)) + 1.2010398)**2 + 5.9293685)
