Complexity,Loss,Equation
1,11697.47,"111.35604"
3,587.4777,"x3 * 9.418963"
5,489.7551,"(x3 * 10.122179) - x1"
7,452.51065,"x3 * ((x3 / x1) - -7.697305)"
8,434.74734,"(x3 * (13.973322 - sqrt(x1))) - x2"
9,431.77924,"(x3 * ((x1 * -0.16355221) + 12.580913)) - x2"
10,430.10956,"(14.959477 - (x1 * 0.20274939)) * (x3 - sqrt(x3))"
11,415.68604,"(((x2 * x1) * -0.009495758) + 12.163264) * (x3 + -1.2970124)"
12,394.32056,"((square(x1) * (x2 * -0.00042865053)) + 11.544546) * (x3 + -1.2983805)"
13,387.95306,"((x2 * (0.13821033 - (x1 * 0.013933031))) + 11.08471) * (x3 + -1.3000481)"
14,350.78394,"(((14.357697 - x1) * log(x2 * 0.08304699)) + 10.097829) * (x3 + -1.3346456)"
15,341.75464,"((((x2 + -11.355379) * (13.8746605 - x1)) * 0.052032903) + 10.193795) * (x3 + -1.2994652)"
16,341.6914,"(x3 + -1.3091967) * (((14.036598 - x1) * log((x2 * 0.06385047) + 0.2719623)) + 10.164227)"
17,336.6314,"(x3 + -1.2988496) * (((x0 * (x2 + -11.340502)) * ((13.586026 - x1) * 0.0020846934)) + 10.239821)"
18,305.25058,"(x3 * (14.309577 - sqrt(x1))) - (x2 - ((x3 / ((x2 + -0.023182787) - x1)) / x0))"
19,296.08472,"((13.25897 - (0.18714465 * x1)) * x3) - (x2 - ((x3 / ((x2 - x1) + -0.040941294)) / x1))"
21,294.27838,"(x3 * (13.166228 - (x1 * 0.18744116))) - (x2 + (-2.0996623 - ((x3 / ((x2 + -0.040846754) - x1)) / x1)))"
22,294.21664,"((13.258289 - (x1 * 0.18733343)) * x3) - ((x2 - ((x3 / ((-0.040829323 + x2) - x1)) / x1)) - inv(x3))"
23,289.0596,"((13.227828 - (x1 * 0.18690357)) * x3) - (x2 - (((x3 / ((x2 + -0.040881403) - x1)) / x1) + (6.791943 / x3)))"
24,287.47507,"(((13.25187 - (x1 * 0.18711515)) * x3) - (x2 - ((x3 / ((x2 + -0.041088406) - x1)) / x1))) - (-23.812136 / exp(x3))"
25,284.60965,"((((x1 * -0.18669464) + 13.4442215) * x3) + ((x2 / x3) + -5.322682)) - (x2 - ((x3 / ((x2 + -0.040890634) - x1)) / x1))"
