complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,depth,num_ops,+,-,*,/,exp,sqrt,log,inv,pow,has_C_pg,has_C_eth,has_C_pol,has_t,coverage,pseudo_score,predicted_score
1,10724.615,x10,0.0,x10,PySRFunction(X=>x10),(C_eth * log(t)),2,2,0,0,1,0,0,0,1,0,0,0,1,0,1,False,-9.280296845809236,-5.665672745023455
2,3919.7725,exp(x14),1.0065079503299066,exp(x14),PySRFunction(X=>exp(x14)),exp((sqrt(t))),3,2,0,0,0,0,1,1,0,0,0,0,0,0,1,False,-8.273788895641202,-5.665672745023455
3,510.42654,x15 * 11.9114485,2.038542166274775,x15*11.9114485,PySRFunction(X=>x15*11.9114485),(t - sqrt(t)) * 11.9114485,2,3,0,1,1,0,0,1,0,0,0,0,0,0,1,False,-6.235246731070456,-5.665672745023455
5,391.3608,x15 * (14.594547 - x0),0.1328084162304358,x15*(14.594547 - x0),PySRFunction(X=>x15*(14.594547 - x0)),(t - sqrt(t)) * (14.594547 - (exp(C_pg * C_eth / 238.5248))),5,7,0,2,2,1,1,1,0,0,0,1,1,0,1,False,-5.969629899205626,-5.665672745023455
7,363.85233,x15 * ((x5 + 13.532498) - x0),0.0364408990700214,x15*(-x0 + x5 + 13.532498),PySRFunction(X=>x15*(-x0 + x5 + 13.532498)),(t - sqrt(t)) * (((C_pg / C_eth) + 13.532498) - (exp(C_pg * C_eth / 238.5248))),7,9,1,2,2,2,1,1,0,0,0,1,1,0,1,False,-5.896748101258764,-5.665672745023455
9,360.30905,(((3.5112307 - x0) * x5) - -11.011418) * x15,0.0048929815572704,x15*(x5*(3.5112307 - x0) - 1*(-11.011418)),PySRFunction(X=>x15*(x5*(3.5112307 - x0) - 1*(-11.011418))),(((3.5112307 - (exp(C_pg * C_eth / 238.5248))) * (C_pg / C_eth)) - -11.011418) * (t - sqrt(t)),8,11,0,4,3,2,1,1,0,0,0,1,1,0,1,False,-5.88696213817125,-5.665672745023455
10,354.01578,((square(0.59898186 - x5) + 14.249096) - x0) * x15,0.0176206469843863,x15*(-x0 + (0.59898186 - x5)**2 + 14.249096),PySRFunction(X=>x15*(-x0 + (0.59898186 - x5)**2 + 14.249096)),((square(0.59898186 - (C_pg / C_eth)) + 14.249096) - (exp(C_pg * C_eth / 238.5248))) * (t - sqrt(t)),8,10,1,3,2,2,1,1,0,0,0,1,1,0,1,False,-5.869341491236201,-5.665672745023455
11,317.40683,x15 * ((14.892784 - (-0.33585095 / (x1 + -25.269281))) - x0),0.1091571619621494,x15*(-x0 + 14.892784 - (-1)*0.33585095/(x1 - 25.269281)),PySRFunction(X=>x15*(-x0 + 14.892784 - (-1)*0.33585095/(x1 - 25.269281))),(t - sqrt(t)) * ((14.892784 - (-0.33585095 / ((C_pol) + -25.269281))) - (exp(C_pg * C_eth / 238.5248))),9,12,1,5,2,2,1,1,0,0,0,1,1,1,1,True,-5.76018432959985,-5.665672745023455
13,294.86475,x15 * ((13.822674 - (-0.29840845 / (x1 + -25.236126))) - (x0 - x5)),0.0368337749086867,x15*(-(x0 - x5) + 13.822674 - (-1)*0.29840845/(x1 - 25.236126)),PySRFunction(X=>x15*(-(x0 - x5) + 13.822674 - (-1)*0.29840845/(x1 - 25.236126))),(t - sqrt(t)) * ((13.822674 - (-0.29840845 / ((C_pol) + -25.236126))) - ((exp(C_pg * C_eth / 238.5248)) - (C_pg / C_eth))),11,14,1,6,2,3,1,1,0,0,0,1,1,1,1,True,-5.6865167800233305,-5.665672745023455
15,284.42596,x15 * ((x5 + ((x0 * -0.9489521) - (0.35877925 / (x1 + -24.748804)))) + 13.764475),0.0180219014905663,x15*(x0*(-0.9489521) + x5 + 13.764475 - 0.35877925/(x1 - 24.748804)),PySRFunction(X=>x15*(x0*(-0.9489521) + x5 + 13.764475 - 0.35877925/(x1 - 24.748804))),(t - sqrt(t)) * (((C_pg / C_eth) + (((exp(C_pg * C_eth / 238.5248)) * -0.9489521) - (0.35877925 / ((C_pol) + -24.748804)))) + 13.764475),12,15,3,4,3,3,1,1,0,0,0,1,1,1,1,True,-5.650472977166666,-5.665672745023455
16,278.76184,((((x0 * -1.1317537) + x5) + 14.2933035) - (inv(x0) / (x1 + -24.732792))) * x15,0.0201151764422128,x15*(x0*(-1.1317537) + x5 + 14.2933035 - 1/(x0*(x1 - 24.732792))),PySRFunction(X=>x15*(x0*(-1.1317537) + x5 + 14.2933035 - 1/(x0*(x1 - 24.732792)))),(((((exp(C_pg * C_eth / 238.5248)) * -1.1317537) + (C_pg / C_eth)) + 14.2933035) - (inv((exp(C_pg * C_eth / 238.5248))) / ((C_pol) + -24.732792))) * (t - sqrt(t)),15,19,3,4,4,4,2,1,0,1,0,1,1,1,1,True,-5.630357800795891,-5.665672745023455
17,274.00577,(((x0 * -0.9487908) + (x5 - (inv(exp(x5)) / (x1 + -24.717075)))) + 13.741175) * x15,0.017208632648094,x15*(x0*(-0.9487908) + x5 + 13.741175 - exp(-x5)/(x1 - 24.717075)),PySRFunction(X=>x15*(x0*(-0.9487908) + x5 + 13.741175 - exp(-x5)/(x1 - 24.717075))),((((exp(C_pg * C_eth / 238.5248)) * -0.9487908) + ((C_pg / C_eth) - (inv(exp((C_pg / C_eth))) / ((C_pol) + -24.717075)))) + 13.741175) * (t - sqrt(t)),15,18,3,4,3,4,2,1,0,1,0,1,1,1,1,True,-5.6131491682100645,-5.665672745023455
18,257.03726,((x0 * -0.9728708) + ((x5 + 13.641922) - inv(((x5 * -32.082664) + x1) / -3.8047564))) * x15,0.0639281096292024,x15*(x0*(-0.9728708) + x5 + 13.641922 - (-1)*3.8047564/(x1 + x5*(-32.082664))),PySRFunction(X=>x15*(x0*(-0.9728708) + x5 + 13.641922 - (-1)*3.8047564/(x1 + x5*(-32.082664)))),(((exp(C_pg * C_eth / 238.5248)) * -0.9728708) + (((C_pg / C_eth) + 13.641922) - inv((((C_pg / C_eth) * -32.082664) + (C_pol)) / -3.8047564))) * (t - sqrt(t)),14,19,3,5,4,4,1,1,0,1,0,1,1,1,1,True,-5.54922105882179,-5.665672745023455
19,255.9777,((((x1 + -24.554342) * (-0.056198873 / (x0 + -2.372728))) + ((x0 * -0.819765) + x5)) + 12.771495) * x15,0.0041307236209828,x15*(x0*(-0.819765) + x5 + 12.771495 + (x1 - 24.554342)*(-0.056198873)/(x0 - 2.372728)),PySRFunction(X=>x15*(x0*(-0.819765) + x5 + 12.771495 + (x1 - 24.554342)*(-0.056198873)/(x0 - 2.372728))),(((((C_pol) + -24.554342) * (-0.056198873 / ((exp(C_pg * C_eth / 238.5248)) + -2.372728))) + (((exp(C_pg * C_eth / 238.5248)) * -0.819765) + (C_pg / C_eth))) + 12.771495) * (t - sqrt(t)),16,22,5,5,5,4,2,1,0,0,0,1,1,1,1,True,-5.545090335216911,-5.665672745023455
