doi,title,pdf_path,ready_for_step6,paper_type,mentions_ibuprofen,mentions_diffusion_cell,franz_confirmed,where_diffusion_cell,where_franz,study_type,barrier_category,barrier_name_raw,ibuprofen_conc_found,ibuprofen_conc_value_raw,ibuprofen_conc_basis,ibuprofen_conc_snippet,endpoint_qfinal_found,endpoint_time_found,where_endpoint,figure_only,endpoint_likely_in_supp,formulation_table_missing,notes,priority
10.1039/d0ra00100g,Enhancement of ibuprofen solubility and skin permeation by conjugation with l-valine alkyl esters.,GenAI\papers\pdf\10.1039_d0ra00100g__a0517498c9.pdf,yes,primary_experiment,yes,yes,yes,PAGE 10,PAGE 10,IVPT,skin,porcine skin,yes,70% (v/v) ethanol,other,ethanol solution of [ValOPr][IBU] (382.35 mg IBU cm−2),yes,yes,Table 5,no,no,no,,4
10.1080/10837450.2018.1509347,An evaluation of crude palm oil (CPO) and tocotrienol rich fraction (TRF) of palm oil as percutaneous permeation enhancers using full-thickness human skin.,GenAI\papers\pdf\10.1080_10837450.2018.1509347__a7e143a067.pdf,yes,primary_experiment,yes,yes,yes,Page 4,Page 4,IVPT,skin,full-thickness human skin,yes,129.0 ± 1.2 mg/mL,mg_per_g,Ibuprofen TRF 59.9 ± 10.7 CPO 129.0 ± 1.2 RPO 141.0 ± 0.39,yes,yes,Table 3,no,no,no,,4
10.22037/ijpr.2020.112887.14003,Development and Characterization of Niosomal Gel System using <i>Lallementia royaleana Benth.</i> mucilage for the treatment of Rheumatoid Arthritis.,GenAI\papers\pdf\10.22037_ijpr.2020.112887.14003__d40fecc1d7.pdf,yes,primary_experiment,yes,yes,yes,Methods p6,Methods p6,IVPT,skin,rat skin,yes,2%,w/w,Ibuprofen loaded niosomes formulations,yes,yes,Table 4 p11,no,no,no,,4
10.3390/gels11010041,Permeation Enhancer in Microemulsions and Microemulsion-Based Gels: A Comparison of Diethylene Glycol Monoethyl Ether and Oleyl Alcohol.,GenAI\papers\pdf\10.3390_gels11010041__cb148324e0.pdf,yes,primary_experiment,yes,yes,yes,Methods p6,Methods p6,IVPT,both,"regenerated cellulose membrane, Strat-M® membrane",yes,5% w/w,w/w,"formulated (Table 4), two of which (i.e., F2 and F4) contained a gelling agent, namely carbomer 940, and two did not contain a gelling agent (F1 and F3). The oil was added to the mixture of surfactant/co-surfactant. Due to the lipophilic nature of the drug, ibuprofen (5% w/w) was incorporated into the oil phase after combining the surfactant and co-surfactant blends.",yes,yes,Table 2 p6,no,no,no,,4
10.3390/ijms242115632,Enhancing Transdermal Delivery: Investigating the Impact of Permeation Promoters on Ibuprofen Release and Penetration from Medical Patches-In Vitro Research.,GenAI\papers\pdf\10.3390_ijms242115632__cc885c7871.pdf,yes,primary_experiment,yes,yes,yes,Methods p12,Methods p12,IVPT,skin,porcine skin,yes,5% w/w,w/w,"each containing a 5% enhancer of permeation, encompassing compounds such as ... ibuprofen (IBU) was the model active substance",yes,yes,Table 6 p12,no,yes,no,Study provides numeric tables with cumulative permeation results.,4
10.3390/pharmaceutics12020151,Evaluation of Formulation Parameters on Permeation of Ibuprofen from Topical Formulations Using Strat-M<sup>®</sup> Membrane.,GenAI\papers\pdf\10.3390_pharmaceutics12020151__701029bf55.pdf,yes,primary_experiment,yes,yes,yes,PAGE 6,PAGE 1,IVPT,synthetic_membrane,Strat-M®,yes,3% w/w,w/w,3% w/w ibuprofen,yes,yes,Table 7,no,no,no,,4
10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,GenAI\papers\pdf\10.1186_2050-6511-13-5__eabb128fb8.pdf,yes,primary_experiment,yes,yes,yes,Methods p2,Methods p2,IVPT,skin,bovine skin,yes,23.4 mg/ml,mg_per_g,ibuprofen 23.4 mg/ml,yes,yes,Table 1 p4,no,no,no,none,4
10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen.,GenAI\papers\pdf\10.1038_s41598-024-57883-5__112cba5049.pdf,yes,primary_experiment,yes,yes,no,Methods p2,,IVPT,skin,cotton fabric,yes,151.38 mg/g,mg_per_g,This drug delivery system achieved efficiency of 151.38 mg/g of loaded ibuprofen.,yes,yes,Table 4 p8,no,no,no,,3
10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,GenAI\papers\pdf\10.1007_s11095-008-9785-y__b257621dff.pdf,yes,primary_experiment,yes,yes,no,Methods p8,,IVPT,skin,stratum corneum,yes,saturated solution (~10 mg/ml),mg_per_g,saturated solution of ibuprofen in propylene glycol/water was applied,yes,yes,Table II,no,no,no,,3
10.1021/acs.molpharmaceut.0c00515,Poly(caprolactone)-Based Coatings on 3D-Printed Biodegradable Implants: A Novel Strategy to Prolong Delivery of Hydrophilic Drugs.,GenAI\papers\pdf\10.1021_acs.molpharmaceut.0c00515__ab30082c93.pdf,yes,primary_experiment,yes,yes,no,Methods p4,,IVRT,uncertain,,yes,68.1 ± 3.0 mg,other,implants were loaded manually with solid drug powder core (either MB (68.6 ± 5.1 mg) or IBU sodium (68.1 ± 3.0 mg)),yes,yes,Table 5 p11,no,no,no,,3
10.2147/ijn.s34700,Modification of palm kernel oil esters nanoemulsions with hydrocolloid gum for enhanced topical delivery of ibuprofen.,GenAI\papers\pdf\10.2147_ijn.s34700__130ce08dfa.pdf,yes,primary_experiment,yes,yes,yes,Methods p2,Methods p2,IVPT,skin,rat skin,uncertain,,uncertain,,yes,yes,Table 4 p7,no,no,no, | conc_snippet_missing_ibuprofen,3
10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,GenAI\papers\pdf\10.1208_s12249-013-9995-4__48cbfe0b17.pdf,yes,primary_experiment,yes,yes,yes,Methods p5,Methods p5,IVPT,skin,"porcine skin, human skin",uncertain,,uncertain,,yes,yes,Table II,no,no,no, | conc_snippet_missing_ibuprofen,3
10.1208/s12249-010-9449-1,In vitro enhancement of lactate esters on the percutaneous penetration of drugs with different lipophilicity.,GenAI\papers\pdf\10.1208_s12249-010-9449-1__20e37a8b8e.pdf,yes,primary_experiment,yes,yes,yes,Methods p3,Methods p3,IVPT,skin,hairless rat skin,uncertain,,uncertain,,yes,yes,Table III p6,no,no,no, | conc_snippet_missing_ibuprofen,3
10.1007/s12247-017-9305-x,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology.,GenAI\papers\pdf\10.1007_s12247-017-9305-x__5da0ee39f0.pdf,yes,primary_experiment,yes,yes,no,Methods p3,,IVPT,both,"Strat-M®, human skin",yes,10% w/w,w/w,Ibuprofen and oleic acid were added next and the mixture was left to stir for further 5 min before it was cast on a release liner and spread uniformly utilizing an automated film coater.,yes,yes,Table 3,no,no,no,,3
10.3390/membranes12080762,In Situ Generation of Fouling Resistant Ag/Pd Modified PES Membranes for Treatment of Pharmaceutical Wastewater.,GenAI\papers\pdf\10.3390_membranes12080762__fa6875b6e1.pdf,yes,primary_experiment,yes,yes,no,2.4.1,,IVPT,uncertain,,yes,5 mg·L−1,other,"5 mg·L−1 of five selected pharmaceutical compounds (sulfamethoxazole, caffeine, naproxen, carbamazepine and ibuprofen) was investigated.",yes,yes,Table 2,no,no,no,,3
10.22037/ijpr.2019.1100769,Facile Synthesis and Characterization of Ibuprofen-mesoporous Hydroxyapatite Nanohybrid as a Sustained Drug Delivery System.,GenAI\papers\pdf\10.22037_ijpr.2019.1100769__801c3bb021.pdf,yes,primary_experiment,yes,yes,no,In vitro drug release test; Methods,,IVPT,both,"buffer phosphate solution (PBS, pH 4.5 and 7.4)",yes,IBU/MHANPs ratio of 35/50 (mg/mg),mg_per_g,the optimized IBU-MHA particles with high DL (34.5%) can be obtained at an IBU/MHANPs ratio of 35/50 (mg/mg),yes,yes,Table 2,no,no,no,,3
10.1021/acsomega.7b01800,Drug-Loaded Supramolecular Gels Prepared in a Microfluidic Platform: Distinctive Rheology and Delivery through Controlled Far-from-Equilibrium Mixing.,GenAI\papers\pdf\10.1021_acsomega.7b01800__9d283ba697.pdf,yes,primary_experiment,yes,yes,yes,Methods (Drug Release Experiments),Methods (Drug Release Experiments),IVRT,both,Franz-type diﬀusion cells,yes,"not specified, but mentioned in drug loading context",other,maximum amount of ibuprofen salt that can be released is around 55%,yes,yes,Figure 9,no,yes,no,Study conducted using ibuprofen sodium salt in gel medium.,2
