doi,curve_id,curve_color,curve_label,curve_label_source,mapped_formulation_label,mapping_status,mapping_rationale,mapping_confidence
10.1016/j.ejpb.2020.05.013,cluster_1,nan,"The curve endpoint of approximately 235.83 mAu suggests alignment with the Ibuprofen concentration of 5% w/w from the formulation summary, which is the only label provided.",vision_alignment,5% w/w Ibuprofen Gel,vision_mapped,The endpoint value corresponds to the expected absorbance of the 5% w/w Ibuprofen Gel formulation.,0.9
10.1016/j.heliyon.2019.e02127,cluster_1,gray,endpoint is closest to expected range for 30% ethanol,vision_alignment,Ibuprofen in 30% v/v ethanol,vision_mapped,The endpoint aligns more closely with the 30% ethanol curve characteristics.,0.9
10.1016/j.heliyon.2019.e02127,cluster_2,black,endpoint indicates a mid-range concentration,vision_alignment,Ibuprofen in 10% v/v ethanol,vision_mapped,"The endpoint suggests a formulation with less ethanol than 30% but more than 1%, making 10% ethanol a suitable match.",0.85
10.1016/j.heliyon.2019.e02127,cluster_3,gray,endpoint exceeds those found in ethanol formulations,vision_alignment,Ibuprofen in 20% v/v PG,vision_mapped,"The significantly higher endpoint indicates a PG formulation, aligning with the properties of 20% PG.",0.9
10.1016/j.ijpharm.2016.03.043,cluster_1,black,Legend mentions Ibuprofen permeation from IBUGEL™.,vision_alignment,IBUGEL™,vision_mapped,Black curve associated with IBUGEL™ in legend showing higher cumulative amounts of ibuprofen.,0.9
10.1016/j.ijpharm.2016.03.043,cluster_2,gray,Legend mentions Ibuprofen permeation from IBULEVE™.,vision_alignment,IBULEVE™ Speed Relief,vision_mapped,Gray curve corresponds to IBULEVE™ as per the provided legend information.,0.9
10.1016/j.ijpharm.2016.03.043,cluster_3,green,No direct match in legend but curve characteristics suggest PEG 300 composition.,vision_alignment,Isopropyl Alcohol + PEG 300,vision_mapped,"Green curve might indicate formulation distinct from others, aligns with Isopropyl Alcohol + PEG 300.",0.8
10.1016/j.ijpharm.2016.03.043,cluster_4,black,Data conflict in legend interpretations does not clarify the distinct formulation.,vision_alignment,,unmapped,"Black curve matches cluster_1 but endpoint overlaps suggest potential redundancy or ambiguity, thus assigned null.",0.5
10.1021/mp500264e,cluster_1,nan,"The endpoint of the curve around 20.48 mg suggests a formulation with lower Ibuprofen content, aligning with Ibu–MC 4.0.",vision_alignment,Ibu–MC 4.0,vision_mapped,"The curve's endpoint closely matches the expected release profile for Ibu–MC 4.0 based on dissolution data provided, indicating it is the most likely match among the available options.",0.85
10.1097/opx.0000000000000849,cluster_1,black,Curve aligns with components involving Ibuprofen and Hydroxypropyl Methylcellulose (HPMC) as described in the composition summary.,vision_alignment,Silicone Hydrogel Lens with Ibuprofen,vision_mapped,"Color suggests similarity to the one formulation label present, and endpoint values are within expected ranges for this formulation.",0.9
10.1097/opx.0000000000000849,cluster_2,gray,Curve aligns with components involving Ibuprofen and Hydroxypropyl Methylcellulose (HPMC) as described in the composition summary.,vision_alignment,Silicone Hydrogel Lens with Ibuprofen,vision_mapped,"Color indicates a match, and values are similar, suggesting it's from the same formulation category.",0.8
10.1097/opx.0000000000000849,cluster_3,green,Endpoint significantly exceeds typical releases for this formulation.,vision_alignment,,unmapped,Distinction in endpoint indicates it doesn't align with the provided formulation label under normal circumstances.,0.5
10.1097/opx.0000000000000849,cluster_4,gray,Curve aligns with components involving Ibuprofen and Hydroxypropyl Methylcellulose (HPMC) as described in the composition summary.,vision_alignment,Silicone Hydrogel Lens with Ibuprofen,vision_mapped,"Color and endpoint suggest it belongs to the same formulation label, matching characteristics with other gray curves.",0.8
10.1208/s12249-019-1481-1,cluster_1,gray,"The curve corresponds to the Vehicle Composition label in the summary, which matches the color and endpoint provided.",vision_alignment,Vehicle Composition,vision_mapped,"The color and endpoint fit within the context of the Vehicle Composition, using the composition labels as a basis for identification.",0.9
10.1208/s12249-019-1481-1,cluster_2,gray,"The curve corresponds to the Vehicle Composition label in the summary, which matches the color and endpoint provided.",vision_alignment,Vehicle Composition,vision_mapped,"The color and endpoint fit within the context of the Vehicle Composition, using the composition labels as a basis for identification.",0.9
10.1208/s12249-019-1584-8,cluster_1,gray,Direct match with ME/Gel label in legend,vision_alignment,Ibuprofen-Loaded Microemulsion-Based HA Hydrogel (ME/Gel),vision_mapped,Gray curves in the legend correspond to ME/Gel formulation.,0.95
10.1208/s12249-019-1584-8,cluster_2,gray,Direct match with ME/Gel label in legend,vision_alignment,Ibuprofen-Loaded Microemulsion-Based HA Hydrogel (ME/Gel),vision_mapped,Gray curves in the legend correspond to ME/Gel formulation.,0.95
10.1208/s12249-019-1584-8,cluster_3,green,Direct match with ME/Gel label in legend,vision_alignment,Ibuprofen-Loaded Microemulsion-Based HA Hydrogel (ME/Gel),vision_mapped,Green curve matches the description for ME/Gel in context of ibuprofen formulations.,0.85
10.1248/cpb.c21-00033,cluster_1,gray,The endpoint aligns with the properties of Preparation #2 having a moderate ratio of Ibuprofen.,vision_alignment,Preparation #2,vision_mapped,The curve color and endpoint data suggest it corresponds to Preparations with a specific concentration of Ibuprofen.,0.8
10.1248/cpb.c21-00033,cluster_2,gray,The endpoint aligns with properties of Preparation #1 which has a slightly lower concentration of Ibuprofen.,vision_alignment,Preparation #1,vision_mapped,"Based on the endpoint, it likely correlates with Preparation #1 due to its concentration range.",0.8
10.3390/mi11060554,cluster_1,nan,"The text describes hydrogel-forming MAPs as having in vitro permeation profiles, which matches the curve_id.",vision_alignment,Hydrogel-Forming MAP,vision_mapped,The description aligns with the formulation summary of Hydrogel-Forming MAP including Ibuprofen Sodium.,0.95
10.3390/polym12071473,cluster_1,gray,Gray curves are associated with formulations involving Acrylic Acid in the legend.,vision_alignment,Hydrogel with AA,vision_mapped,Endpoints indicated consistent release profiles that matched the description for Hydrogel with AA.,0.85
10.3390/polym12071473,cluster_2,gray,Gray curves are associated with formulations involving Acrylic Acid in the legend.,vision_alignment,Hydrogel with AA,vision_mapped,Endpoints indicated consistent release profiles that matched the description for Hydrogel with AA.,0.85
10.3390/polym12071473,cluster_3,black,"Black curves are typically noted with Methacrylic Acid in the legend, matching with Hydrogel with AM.",vision_alignment,Hydrogel with AM,vision_mapped,Endpoints reflected the release profiles consistent with Hydrogel with AM.,0.9
10.3390/polym12071473,cluster_4,gray,Gray curves are associated with formulations involving Acrylic Acid in the legend.,vision_alignment,Hydrogel with AA,vision_mapped,Endpoints indicated consistent release profiles that matched the description for Hydrogel with AA.,0.85
10.3390/polym12071473,cluster_5,green,Green curves had no corresponding match in the formulation labels provided.,vision_alignment,,unmapped,Endpoint and color do not align clearly with either formulation based on legend.,0.5
10.3390/polym12071473,cluster_6,gray,Gray curves are associated with formulations involving Acrylic Acid in the legend.,vision_alignment,Hydrogel with AA,vision_mapped,Endpoints indicated consistent release profiles that matched the description for Hydrogel with AA.,0.85
