source,id,pmid,doi,title,abstract,year,journal,authors,url,query_used,queue,mentions_franz_in_abstract,likely_study_type,likely_has_measurable_endpoint,likely_has_formulation_info,likely_barrier_category,what_to_check_in_fulltext,rationale,confidence
MED,9176998,9176998.0,10.1002/(sici)1520-636x(1997)9:3<313::aid-chir19>3.0.co;2-q,Topical administration of racemic ibuprofen.,"In vitro experiments to investigate possible stereoselective aspects of the topical administration of ibuprofen have been conducted. Incubation of ibuprofen with rat skin homogenates in the presence of coenzyme A, ATP, and magnesium provided no evidence for the formation of ibuprofenyl coenzyme A (the initial intermediate in the metabolic inversion of [R]- to [S]-ibuprofen). Similar incubation studies gave no indication of a change in the enantiomeric ratios of ibuprofen over the time course of the experiments. Percutaneous penetration studies of ibuprofen gel through porcine skin indicated that the ibuprofen enantiomer levels in the reservoir solutions were consistent with racemic ibuprofen having traversed the skin with no metabolic inversion. These results suggest that, in the models studied, skin metabolism does not result in the chiral inversion of (R)- to (S)-ibuprofen and that the topical administration of ibuprofen will result in the delivery of 50% ""isomeric ballast.""",1997,,"Millership JS, Collier PS.",https://doi.org/10.1002/(SICI)1520-636X(1997)9:3<313::AID-CHIR19>3.0.CO;2-Q,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,no,IVRT,yes,yes,skin,"['Details on permeability rates', 'Formulation specifics of ibuprofen gel', 'Exact methodology for percutaneous penetration studies', 'Data on enantiomeric ratios over time', 'Any comparative analysis with other formulations']","This study focuses on topical administration and permeation of ibuprofen through skin, fulfilling criteria for in vitro release studies and providing relevant formulation information.",0.8
MED,20393931,20393931.0,10.1002/14651858.cd001177.pub2,Topical agents or dressings for pain in venous leg ulcers.,"<h4>Background</h4>Venous leg ulcers affect up to 1 per cent of people at some time in their lives. The main treatments are compression bandages and dressings. As these ulcers are often painful some clinicians choose particular dressings and topical treatments (analgesia/ local anaesthetic) to reduce the pain both during and between dressing changes.<h4>Objectives</h4>To assess the effectiveness of dressings, local anaesthetics or topical analgesia for pain relief in venous leg ulceration.<h4>Search strategy</h4>For this update the search strings were revised and the following databases were searched: The Cochrane Wounds Group Specialised Register (Searched 16/12/09) The Cochrane Central Register of Controlled Trials (CENTRAL) - The Cochrane Library Issue 4 2009; Ovid MEDLINE - 1950 to November Week 3 2009; Ovid EMBASE - 1980 to 2009 Week 50; EBSCO CINAHL - 1982 to December 16 2009. No date or language restrictions were applied.<h4>Selection criteria</h4>Randomised controlled trials which evaluated local interventions used to relieve venous leg ulcer pain were considered. Pain was defined as either persistent pain or pain at dressing changes or debridement. Ulcer healing and reported adverse events were also considered as further outcomes.<h4>Data collection and analysis</h4>Eligibility for inclusion was confirmed by two review authors who independently assessed the potential trials.<h4>Main results</h4>Two trials evaluating interventions for persistent venous leg ulcer pain were identified for this review update. Both studies evaluated ibuprofen slow release foam dressings; one comparing it with local best practice and the other with an identical foam comparator. The primary end point for both studies was ""pain relief achieved"". When compared with a foam dressing alone, there was no evidence of a statistically significant effect of the ibuprofen foam dressing in terms of achieving some pain relief the first evening after treatment: 74% in the ibuprofen group (46/62) had pain relief compared with 58% (35/60) in the foam group (no significant difference: RR 1.27, 95%CI 0.98 to 1.65). In the second study 100% (32/32) of people with venous ulcers achieved some pain relief with the ibuprofen dressing on the first evening of treatment compared with 93% (26/28) in the local best practice group (no significant difference: RR 1.08, 95% CI 0.96 to 1.21). Pooling these studies in a meta-analysis (using a random effects model as significant heterogeneity present (p=0.1), I(2) = 64%) there is no evidence that ibuprofen dressings increase the pain relief experienced by the first evening of use (RR 1.15, 95% CI 0.91 to 1.44). We were not able to extract sufficient data to combine other pain outcomes from these trials. There was no difference in healing rates but slightly more adverse events with ibuprofen dressings than with a similar foam dressing without ibuprofen.Six trials evaluated interventions for the pain associated with debridement and were considered sufficiently similar to pool. There was a statistically significant reduction in debridement pain scores with 5% Eutectic Mixture of Local Anaesthetics (EMLA): lidocaine-prilocaine cream; the difference in means (measured on a 100 mm scale) was 20.6 mm (95% CI 12.19 to 29.11). Of these six trials, only one small trial measured healing as an outcome and found no difference in the numbers of ulcers healed at the end of the study.<h4>Authors' conclusions</h4>There is no evidence that ibuprofen dressings offer pain relief, as measured at the first evening of use, to people with painful venous leg ulcers compared with foam dressings or best practice.EMLA appears to provide effective pain relief for venous leg ulcer debridement but the effect (if any) of EMLA on ulcer healing remains unknown.",2010,,"Briggs M, Nelson EA.",https://eprints.leedsbeckett.ac.uk/id/eprint/499/1/Topical%20agents%20or%20dressings%20for%20pain%20in%20venous%20leg%20ulcers.pdf,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,no,IVRT,yes,yes,uncertain,"['Details on ibuprofen formulation', 'Data on in vitro permeation', 'Methods for assessing permeation', 'Results related to ibuprofen release metrics']","The study evaluates ibuprofen foam dressings in venous leg ulcers, indicating a focus on formulation and measurable endpoints related to drug release and effect. This aligns with the dataset's goals.",0.9
MED,23152206,23152206.0,10.1002/14651858.cd001177.pub3,Topical agents or dressings for pain in venous leg ulcers.,"<h4>Background</h4>Venous leg ulcers affect up to 1% of people at some time in their lives and are often painful. The main treatments are compression bandages and dressings. Topical treatments to reduce pain during and between dressing changes are sometimes used.<h4>Objectives</h4>To determine the effects of topical agents or dressings for pain in venous leg ulcers.<h4>Search methods</h4>For this third update the following databases were searched: Cochrane Wounds Group Specialised Register (searched 9 May 2012); The Cochrane Central Register of Controlled Trials (CENTRAL) (The Cochrane Library 2012, Issue 4); Ovid MEDLINE (2009 to April Week 4 2012); Ovid MEDLINE (In-Process & Other Non-Indexed Citations May 08, 2012); Ovid EMBASE (2009 to 2012 Week 18); and EBSCO CINAHL (2009 to May 2 2012). No date or language restrictions were applied.<h4>Selection criteria</h4>Published or unpublished randomised controlled trials (RCTs) that evaluated the effects of topical agents or dressing for the treatment of pain in venous ulcers were included.<h4>Data collection and analysis</h4>Two review authors independently performed trial selection, data extraction and risk of bias assessment.<h4>Main results</h4>Six trials (343 participants) evaluated Eutectic Mixture of Local Anaesthetics (EMLA): lidocaine-prilocaine cream for the pain associated with ulcer debridement. The between-group difference in pain measured on a 100 mm scale was statistically significant in favour of EMLA (MD -20.65, 95% CI -12.19 to -29.11). No significant between-group differences in burning or itching were observed.Two trials (470 participants with venous leg ulcers) evaluated ibuprofen slow-release foam dressings for persistent venous leg ulcer pain. Compared with local best practice, significantly more participants in the ibuprofen dressing group achieved the outcome of >50% of the total maximum pain relief score between day 1 and day 5 than participants in the local best practice group (RR 1.63, 95% CI 1.24 to 2.15). The number needed to treat was 6 (95% CI 4 to 12). In the second trial, compared with an identical non-ibuprofen foam dressing, there was no statistically significant difference in the proportion of participants experiencing slight to complete pain relief on the first evening of treatment.Limited data were available to assess healing rates or adverse events.<h4>Authors' conclusions</h4>There is some evidence to suggest that ibuprofen dressings may offer pain relief to people with painful venous leg ulcers. EMLA (5%) appears to provide effective pain relief during the debridement of venous leg ulcers. Further research should consider standardised pain assessment methods and assess both the effect on ulcer healing and the impact of long term use of these treatments.",2012,,"Briggs M, Nelson EA, Martyn-St James M.",https://doi.org/10.1002/14651858.CD001177.pub3,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,no,IVRT,yes,yes,uncertain,"['Details on ibuprofen formulation', 'Endpoint measurements for pain relief', 'Comparative data with Franz cell studies', 'Methodology for permeation testing']","This study involves ibuprofen and evaluates its release from a topical formulation, making it highly relevant for the dataset focused on in vitro permeation studies.",0.9
MED,27805775,27805775.0,10.1002/adhm.201600591,Magnetically Controlled Drug Release System through Magnetomechanical Actuation.,"A drug release system is developed capable to modulate the drug release kinetics by the application of a magnetic field. Thus, this work reports on the production, characterization, and release kinetics of a poly(l-lactic acid) (PLLA) microporous membrane containing a zeolite (Faujasite) and a magnetic stimuli-sensitive component, magnetostrictive Terfenol-D (TD), for the release of ibuprofen (IBU) as drug model. For membranes containing IBU-loaded zeolites and TD without an applied AC magnetic field, the release kinetics is characterized by a first order release. On the other hand, the application of an AC magnetic field modifies the release profile of the membrane, leading to an increase of the release rate by more than 30%, the magnetically driven release being characterized by a super case-II within the Korsmeyer-Peppas model, indicating a release mainly driven by a swelling or erosion mechanism, induced by the magnetostrictive particles under the applied magnetic field. The increase of the TD w/w from 10% to 20% has as a consequence a decrease in the quantity of IBU released from 79% to 70%; on the contrary, increasing the H <sub>AC</sub> intensity from 100 to 200 mT promotes an increase on the percentage of IBU released from 67% to 75%.",2016,,"Barbosa J, Correia DM, Gonçalves R, Ribeiro C, Botelho G, Martins P, Lanceros-Mendez S.",https://doi.org/10.1002/adhm.201600591,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,yes,IVRT,yes,yes,uncertain,"['Details on the diffusion cell setup', 'Specifics of the magnetically controlled release mechanism', 'Characterization methods for the PLLA membrane', 'Full release kinetics data', 'Comparative analysis without magnetic field']","This study focuses on the release kinetics of ibuprofen using a specially designed membrane in a magnetically controlled system, which is relevant for the PermeationNet dataset.",0.9
MED,18985797,18985797.0,10.1002/bdd.631,Skin disposition of menthol after its application in the presence of drug substances.,"Many drug products that are applied onto the skin contain menthol. Menthol plays a dual role in the analgesic and anti-inflammatory drugs: it causes cooling and local anesthetic effects and, being a penetration enhancer, it increases the skin permeation of the drug substances. However, there are no data concerning the skin penetration of menthol after its application in the most commonly used vehicles and in the presence of drug substances. Therefore, this study evaluated the ex vivo skin disposition of menthol after application of the commercially available drug products containing aluminum acetotartrate, methyl salicylate, ibuprofen and naproxen, using full human-skin mounted in flow-through diffusion cells. After 15, 30 and 60 min of application, the skin was progressively tape-stripped into three fractions of stratum corneum and the remaining epidermis with dermis. The content of menthol in the skin layers was determined by GC method. Varying degrees of penetration of menthol into the skin layers was observed, depending on its amount in the vehicle and the presence of drug substance. In the presence of aluminum acetotartrate, the skin penetration of menthol was limited only to the outer fraction of the stratum corneum. In the case of drug products containing naproxen, the concentration of the drug substance significantly influenced the skin penetration of menthol.",2008,,Cal K.,https://doi.org/10.1002/bdd.631,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,no,IVRT,yes,yes,skin,"['Details on ibuprofen formulation', 'Quantitative results for skin penetration of menthol', 'Comparison of drug product vehicles', 'Methods used for skin disposition analysis']","The study directly involves skin permeation analysis using diffusion cells and includes ibuprofen as one of the drug substances, making it highly relevant for the dataset.",0.9
MED,20017213,20017213.0,10.1002/bmc.1365,Enantiomeric separation of 2-arylpropionic acid nonsteroidal anti-inflammatory drugs by HPLC with hydroxypropyl-beta-cyclodextrin as chiral mobile phase additive.,"The enantio-separations of eight 2-arylpropionic acid nonsteroidal anti-inflammatory drugs (2-APA NSAIDs) were established using reversed-phase high-performance liquid chromatography with hydroxypropyl-beta-cyclodextrin (HP-beta-CD) as chiral mobile phase additive for studying the stereoselective skin permeation of suprofen, ketoprofen, naproxen, indoprofen, fenoprofen, furbiprofen, ibuprofen and carprofen. The effects of the mobile phase composition, concentration of HP-beta-CD and column temperature on retention and enantioselective separation were investigated. With 2-APA NSAIDs as acidic analytes, the retention times and resolutions of the enantiomers were strongly related to the pH of the mobile phase. In addition, both the concentration of HP-beta-CD and temperature had a great effect on retention time, but only a slight or almost no effect on resolutions of the analytes. Enantioseparations were achieved on a Shimpack CLC-ODS (150 x 4.6 mm i.d., 5 microm) column. The mobile phase was a mixture of methanol and phosphate buffer (pH 4.0-5.5, 20 mM) containing 25 mM HP-beta-CD. This method was flexible, simple and economically advantageous over the use of chiral stationary phase, and was successfully applied to the enantioselective determination of the racemic 2-APA NSAIDs in an enantioselective skin permeation study.",2010,,"Ye J, Yu W, Chen G, Shen Z, Zeng S.",https://doi.org/10.1002/bmc.1365,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",later,yes,uncertain,yes,yes,skin,"['具体的な透過試験のデータ', '使用されたフランツ細胞の種類', '試験環境・条件の詳細']","The abstract discusses skin permeation but focuses on enantiomeric separation rather than direct permeation measurements. Details regarding diffusion methods are not clear, hence the uncertain study type.",0.7
MED,27226393,27226393.0,10.1002/chem.201600105,Supramolecular Gels by Design: Towards the Development of Topical Gels for Self-Delivery Application.,"Following a supramolecular synthon approach, simple salt formation has been employed to gain access to a series of supramolecular gelators derived from the well-known non-steroidal anti-inflammatory drug (NSAID) ibuprofen. A well-studied gel-inducing supramolecular synthon, namely primary ammonium monocarboxylate (PAM), has been exploited to generate a series of PAM salts by reacting ibuprofen with various primary amines. Remarkably, all of the salts (S1-S7) thus synthesized proved to be good to moderate gelators of various polar and nonpolar solvents. Single-crystal and powder X-ray diffraction studies established the existence of the PAM synthons in the gel network, confirming the efficacy of the supramolecular synthon approach employed. Most importantly, the majority of the salts (S2, S3, S6, and S7) were capable of gelling methyl salicylate (MS), an important ingredient found in many commercial topical gels. In vitro experiments (MTT and PGE2 assays) revealed that all of the salts (except S3 and S7) were biocompatible (up to 0.5 mm concentration), and the most suited one, S6, displayed anti-inflammatory ability as good as that of the parent drug ibuprofen. A topical gel of S6 with methyl salicylate and menthol was found to be suitable for delivering the gelator drug in a self-delivery fashion in treating skin inflammation in mice. Histological studies, including immunohistology, were performed to further probe the role of the gelator drug S6 in treating inflammation. Cell imaging studies supported cellular uptake of the gelator drug in such biomedical application.",2016,,"Parveen R, Dastidar P.",https://doi.org/10.1002/chem.201600105,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,yes,IVRT,yes,yes,skin,"['Details on in vitro permeation studies', 'Formulation specifics of the topical gel', 'Methodology for measuring drug release', 'Data on skin barrier interaction', 'Comparative efficacy with ibuprofen alone']","The study focuses on a topical gel formulation of ibuprofen, which includes in vitro experiments. It also mentions the application for skin inflammation, indicating relevance for permeability studies.",0.9
MED,30370675,30370675.0,10.1002/etc.4302,Effects of skin region and relative lipophilicity on percutaneous absorption in the toad Rhinella marina.,"Owing to the dynamic interaction between frog skin and the environment, xenobiotics in frog habitats are of particular concern, and knowledge of percutaneous absorption in frog skin is necessary for risk-mitigation purposes. Baseline transdermal kinetics in adult aquatic and arboreal frog species have recently been reported; however, there is little information regarding absorption kinetics in adult terrestrial species. The present study investigated the in vitro absorption kinetics of 3 model chemicals-caffeine, benzoic acid, and ibuprofen-through different skin regions in the terrestrial toad Rhinella marina. Caffeine flux was consistently higher than that of the other 2 chemicals (p < 0.001), whereas the fluxes of the moderately and highly lipophilic chemicals (benzoic acid and ibuprofen) were similar, regardless of skin region. When considering individual chemicals, caffeine demonstrated increased flux through the ventral pelvic skin compared with the ventral thoracic or dorsal skin regions. Flux did not differ between skin regions for either benzoic acid or ibuprofen. These findings have implications for management of environmental contamination in frog habitats, as many environmental xenobiotics are of moderate to high lipophilicity and would be expected to be equally absorbed from all skin surfaces in terrestrial toads. Environ Toxicol Chem 2019;38:361-367. © 2018 SETAC.",2019,,"Llewelyn VK, Berger L, Glass BD.",http://minerva-access.unimelb.edu.au/bitstreams/99b92823-e2e3-5a20-b790-8bad09c24a3c/download,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,no,IVRT,yes,yes,skin,"['Absorption kinetics for ibuprofen', 'Methodology for in vitro experiments', 'Detailed formulation information for ibuprofen']","The study investigates in vitro absorption kinetics of ibuprofen through frog skin, which aligns with the dataset's focus. It also provides measurable endpoints and relevant formulation information.",0.9
MED,22447357,22447357.0,10.1002/jbm.a.34095,Polyaspartamide-polylactide electrospun scaffolds for potential topical release of Ibuprofen.,"In this work, the production and characterization of electrospun scaffolds of the copolymer α,β-poly(N-2-hydroxyethyl)-DL-aspartamide-graft-polylactic acid (PHEA-g-PLA), proposed for a potential topical release of Ibuprofen (IBU), are reported. The drug has been chemically linked to PHEA-g-PLA and/or physically mixed to the copolymer before electrospinning. Degradation studies have been performed as a function of time in Dulbecco phosphate buffer solution pH 7.4, for both unloaded and drug-loaded scaffolds. By using an appropriate ratio between drug physically blended to the copolymer and drug-copolymer conjugate, a useful control of its release can be obtained. MTS assay on human dermal fibroblasts cultured onto these scaffolds, showed the absence of toxicity as well as their ability to allow cell adhesion.",2012,,"Pitarresi G, Fiorica C, Palumbo FS, Calascibetta F, Giammona G.",https://doi.org/10.1002/jbm.a.34095,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,no,IVRT,yes,yes,skin,"['Detailed methodology of drug release studies', 'Specific measurements of ibuprofen release rates', 'Toxicity data analyzed in depth', 'Characterization of the electrospun scaffolds']","The study focuses on the release of ibuprofen from electrospun scaffolds and measures potential bioactivity, making it relevant for the dataset.",0.9
MED,22733705,22733705.0,10.1002/jbm.a.34292,Modeling of drug release from biodegradable triple-layered microparticles.,"Numerous models that predict drug release from nonerodible reservoir-membrane sphere systems have been presented. Most of these models cater only to a phase of drug release from a constant reservoir. All these models, however, are not applicable to drug release from biodegradable triple-layered microparticle system, in which the drug-loaded core (reservoir) is surrounded by nondrug holding outer layers (membrane). In this article, a mathematical model was developed for ibuprofen release from degradable triple-layered microparticles made of poly(D,L-lactide-co-glycolide, 50:50) (PLGA), poly(L-lactide) (PLLA), and poly(ethylene-co-vinyl acetate, 40 wt % vinyl acetate) (EVA), where ibuprofen was localized within the nonconstant reservoir (EVA core). The model postulated that the drug release through the bulk-degrading PLLA and PLGA layers consisted of two mechanisms: simple diffusional release followed by a degradation-controlled release through a rate-limiting membrane. The proposed model showed very good match with the experimental data of release from microparticles of various layer thicknesses and particle sizes. The underlying drug release mechanisms are dictated by three parameters determined by the model, including constant characteristic of diffusion, end time point of simple diffusion-controlled release and partition coefficient of drug. The presented model is effective for understanding the drug release mechanisms and for the design of this type of dosage form.",2012,,"Lee WL, Shi WX, Low ZY, Li S, Loo SC.",https://dr.ntu.edu.sg/bitstream/10356/79834/2/Modeling%20of%20drug%20release%20from%20biodegradable%20triple-layered.pdf,"(TITLE:""ibuprofen"" OR ABSTRACT:""ibuprofen"") AND (permeation OR permeat* OR diffusion OR ""in vitro"" OR release) AND (skin OR membrane OR topical OR transdermal OR ""diffusion cell"")",now,yes,IVRT,yes,yes,uncertain,"['Details on ibuprofen measurement methods', 'Experimental data comparing release rates', 'Confirmation of diffusion layer characteristics', 'Impact of layer thickness on release rates']","The study focuses on ibuprofen release from specialized microparticles, indicating relevant formulation and measurable endpoints. This research aligns well with the criteria set for the dataset.",0.9
