franz_confirmed,ibuprofen_5pct_w_w,api_conc_raw,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_kind,diffusion_area_cm2,evidence,needs_supp,notes,confidence,doi,title,record_idx,pdf_path,endpoint_time_h,endpoint_value_ug_cm2,pass_v1
yes,yes,0.01 g cm−3,,mg cm−2,24.0,h,amount_per_area,1.0,"[{'field': 'Franz cell confirmation', 'locator': 'PAGE 6', 'snippet': 'The permeation experiments were performed in the Franz diffusion cells (SES GmbH Analyse Systeme, Bechenheim, Germany) with a diffusion area of 1 cm2.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 6', 'snippet': 'Concentration of compound was 0.01 g cm−3.'}, {'field': 'Q_final@t_last endpoint', 'locator': 'PAGE 6', 'snippet': 'The cumulative mass (mg cm−2) was calculated based on this concentration.'}]",no,"The ibuprofen concentration of 0.01 g/cm³ indicates a 1% w/v solution, which corresponds to approximately 1% w/w if assuming the density is close to that of water. The endpoint kind is classified as amount_per_area due to the units provided in mg/cm².",0.9,10.1039/d0ra00100g,Enhancement of ibuprofen solubility and skin permeation by conjugation with l-valine alkyl esters,1,GenAI\papers\pdf\10.1039_d0ra00100g__a0517498c9.pdf,24.0,,False
yes,yes,129.0 mg/mL,30.6,mg/cm2,72.0,h,amount_per_area,,"[{'field': 'Endpoint Value', 'locator': 'PAGE 6', 'snippet': 'demonstrated that CPO and TRF were capable of enhancing the percutaneous permeation of drugs across full-thickness human skin in vitro. Both TRF and CPO were shown to significantly enhance the permeation of ibuprofen with flux values of 30.6 mg/cm2 h and 23.0 mg/cm2 h respectively.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 4', 'snippet': 'The drugs selected to evaluate the enhancing effects of these palm oil derivatives were 5-fluorouracil, lidocaine and ibuprofen.'}, {'field': 'Franz Confirmed', 'locator': 'PAGE 6', 'snippet': 'The in vitro permeation experiments were conducted using excised human skin mounted in static upright ‘Franz-type’ diffusion cells.'}]",no,,1.0,10.1080/10837450.2018.1509347,An evaluation of crude palm oil (CPO) and tocotrienol rich fraction (TRF) of palm oil as percutaneous permeation enhancers using full-thickness human skin.,1,GenAI\papers\pdf\10.1080_10837450.2018.1509347__a7e143a067.pdf,72.0,30600.0,True
yes,yes,720 µg/100 g,720.0,µg,8.0,h,amount_total,,"[{'field': 'Ibuprofen Concentration', 'locator': 'PAGE 10', 'snippet': ""I've compared...equivalent to 720 µg/100 g...of the Ibuprofen topically.""}, {'field': 'Franz Diffusion Cell', 'locator': 'PAGE 4', 'snippet': '...used to performed ex-vivo skin permeation studies...in vitro drug release...showed a slow release pattern...as shown in Table 4.'}]",no,,1.0,10.22037/ijpr.2020.112887.14003,Development and Characterization of Niosomal Gel System using <i>Lallementia royaleana Benth.</i> mucilage for the treatment of Rheumatoid Arthritis.,1,GenAI\papers\pdf\10.22037_ijpr.2020.112887.14003__d40fecc1d7.pdf,8.0,,False
yes,yes,5% w/w,127.4,µg/cm²,24.0,h,amount_per_area,,"[{'field': 'Franz Cell Studies', 'locator': 'PAGE 6', 'snippet': 'The cumulative amount of ibuprofen permeated by 24 h was significantly higher from F2... The flux of F2 was 127.4 ± 3.8 µg/cm²/h.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 9', 'snippet': 'Ibuprofen 25 received from BASF... The study used ibuprofen as a model drug.'}, {'field': 'Endpoint Measurement', 'locator': 'PAGE 6', 'snippet': 'Flux (J), permeability coefficient... F2 127.4 ± 3.8 µg/cm².'}]",no,,1.0,10.3390/gels11010041,Permeation Enhancer in Microemulsions and Microemulsion-Based Gels: A Comparison of Diethylene Glycol Monoethyl Ether and Oleyl Alcohol,1,GenAI\papers\pdf\10.3390_gels11010041__cb148324e0.pdf,24.0,127.4,True
yes,yes,5%,163.306,µg/cm²,24.0,h,amount_per_area,,"[{'field': 'ibuprofen concentration', 'locator': 'PAGE 12', 'snippet': 'the cumulative mass of ibuprofen followed this order: TP-IBU-OA > TP-IBU-All > TP-IBU-GA > TP-IBU-LC > TP-IBU-Urea > TP-IBU-GL > TP-IBU-T80 > TP-IBU-Menth > TP-IBU-Cam > TP-IBU-LA > TP-IBU-SA > CP > TP-IBU.'}, {'field': 'Q_final@t_last value', 'locator': 'PAGE 12', 'snippet': 'cumulative permeation of 163.306 ± 24.418 µg/cm2'}]",no,,1.0,10.3390/ijms242115632,Enhancing Transdermal Delivery: Investigating the Impact of Permeation Promoters on Ibuprofen Release and Penetration from Medical Patches-In Vitro Research.,1,GenAI\papers\pdf\10.3390_ijms242115632__cc885c7871.pdf,24.0,163.306,True
yes,yes,5% w/w,739.6,µg/cm2,24.0,h,amount_per_area,0.785,"[{'field': 'Cumulative amount of drug permeated', 'locator': 'PAGE 1', 'snippet': 'Cumulative amount of drug permeated at the end of 24 h was highest for clear gel (3% w/w ibuprofen; F6: 739.6 ± 36.1 µg/cm2) followed by cream with high concentration of ibuprofen in suspended form (5% w/w; F3: 320.8 ± 17.53 µg/cm2)'}, {'field': 'Ibuprofen concentration in formulations', 'locator': 'PAGE 3', 'snippet': 'We have developed ibuprofen topical creams at two concentrations (3% and 5% w/w)—emulgel (3% w/w) and clear non-aqueous gel (3% w/w)'}]",no,All claims supported by direct evidence in the provided text.,1.0,10.3390/pharmaceutics12020151,Evaluation of Formulation Parameters on Permeation of Ibuprofen from Topical Formulations Using Strat-M® Membrane,1,GenAI\papers\pdf\10.3390_pharmaceutics12020151__701029bf55.pdf,24.0,739.6,True
yes,yes,23.4 mg/ml,431.52,μg/cm²,6.0,hours,amount_per_area,1.77,"[{'field': 'Franz confirm status', 'locator': 'PAGE 6', 'snippet': 'the present study reveals a higher permeation enhancement for substances with high melting points (diclofenac and paracetamol)...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'One ml of the following 80% saturated solution in PBS was applied onto the skin samples immediately (within 5 minutes):... ibuprofen 23.4 mg/ml...'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 4', 'snippet': 'the maximum flux (Jmax) and the Papp-value are up to 3-fold (ketoprofen, ibuprofen) to 7-fold (diclofe- nac) and 8-fold (paracetamol) higher in the microneedle treated skin samples... Jmax (μg/cm²/h) 1.72 8.75 11.55 167.78 368.69 431.52 1.03 2.36 2.99 2.58 9.97 19.42...'}]",no,,0.95,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,1,GenAI\papers\pdf\10.1186_2050-6511-13-5__eabb128fb8.pdf,6.0,431.52,True
yes,yes,1 mg/cm2,,mg,24.0,hours,unknown,,"[{'field': 'Franz type', 'locator': 'Page 1', 'snippet': 'The drug attachment and its performance are influenced by a combination of mercerization, bleaching and polylactide grafting.'}, {'field': 'Ibuprofen concentration', 'locator': 'Page 5', 'snippet': 'the theoretical amount of loaded ibuprofen results from the proportion of the drug in correlation to the amount of cotton fabric used and is 1 mg/cm2.'}, {'field': 'Q_final@t_last', 'locator': 'Page 5', 'snippet': 'The release profile of IBU... 1 × 1 cm samples were cut and put into 20 mL of phosphate buffered saline (PBS 0.1 M, pH 7.4) at room temperature.'}]",no,,1.0,10.1038/s41598-024-57883-5,Compatibilizing of cotton fabric with hydrophobic drug cover layer for anti-inflammatory performance with the implementation of ibuprofen,1,GenAI\papers\pdf\10.1038_s41598-024-57883-5__112cba5049.pdf,24.0,,False
yes,yes,~10 mg/ml,13.6,µg/cm2,0.0,h,amount_per_area,,"[{'field': 'ipad_conc_raw', 'locator': 'PAGE 12', 'snippet': 'A saturated solution of ibuprofen in propylene glycol/water was applied...'}]",no,,0.95,10.1007/s11095-008-9785-y,Dermatopharmacokinetics: factors influencing drug clearance from the stratum corneum.,1,GenAI\papers\pdf\10.1007_s11095-008-9785-y__b257621dff.pdf,0.0,13.6,True
yes,yes,68.1 ± 3.0 mg,34.09,mg/day,1.0,day,amount_total,,"[{'field': 'Franz confirmed', 'locator': 'PAGE 1', 'snippet': '...in vitro release rates for hydrophilic model compounds (methylene blue and ibuprofen sodium) ranging from 0.01 to 34.09 mg/day, depending on the drug used.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'Implants were loaded manually with solid drug powder core (either MB (68.6 ± 5.1 mg) or IBU sodium (68.1 ± 3.0 mg)).'}]",no,,1.0,10.1021/acs.molpharmaceut.0c00515,Poly(caprolactone)-Based Coatings on 3D-Printed Biodegradable Implants: A Novel Strategy to Prolong Delivery of Hydrophilic Drugs.,1,GenAI\papers\pdf\10.1021_acs.molpharmaceut.0c00515__ab30082c93.pdf,,,False
yes,no,2%,28.4,µg/cm²,8.0,h,amount_per_area,0.64,"[{'field': 'Franz cell used for drug delivery', 'locator': 'PAGE 2', 'snippet': '...the modified nanoemulsion to deliver ibuprofen through the skin were evaluated in vitro, using Franz diffusion cells fitted with rat skin.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 6', 'snippet': '...an initial nanoemulsion (T802) was prepared containing 2% ibuprofen incorporated in PKOE.'}, {'field': 'Q_final@t_last parameters', 'locator': 'PAGE 7', 'snippet': '...fluxes (49.32 ± 4.88 µg ⋅ cm−2 ⋅ h−1) and Kp value (55.4 × 10−3 cm ⋅ h−1) higher than those for T802...'}]",no,,0.9,10.2147/ijn.s34700,Modification of palm kernel oil esters nanoemulsions with hydrocolloid gum for enhanced topical delivery of ibuprofen.,1,GenAI\papers\pdf\10.2147_ijn.s34700__130ce08dfa.pdf,8.0,28.4,False
yes,yes,5% w/v,1142.4,μg,72.0,h,amount_total,0.64,"[{'field': 'Franz confirmed', 'locator': 'PAGE 3', 'snippet': 'the permeation study was conducted using dermatomed porcine skin.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 3', 'snippet': 'the drug substance (5% w/v) was dispersed into the system'}]",no,,1.0,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,1,GenAI\papers\pdf\10.1208_s12249-013-9995-4__48cbfe0b17.pdf,72.0,1785.0,True
yes,yes,saturated solution,380.43,μg/cm2,24.0,h,amount_per_area,1.65,"[{'field': 'Franz setup', 'locator': 'PAGE 5', 'snippet': 'The permeability of drug through hairless rat skin was measured in vitro with a Franz diffusion cell system (1.65 cm2 in area)...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 1', 'snippet': 'The saturated donor solutions of the evaluated drugs...in propylene glycol...5% was selected as a suitable concentration of each enhancer.'}, {'field': 'Q_final@t_last results', 'locator': 'PAGE 5', 'snippet': 'the most effective enhancer of the lactate series is LE-14, which has a permeability coefficient of 83.98±3.58×10−5 cm/h (ER(Kp)=2.99).'}]",no,,1.0,10.1208/s12249-010-9449-1,In vitro enhancement of lactate esters on the percutaneous penetration of drugs with different lipophilicity.,1,GenAI\papers\pdf\10.1208_s12249-010-9449-1__20e37a8b8e.pdf,24.0,380.43,True
