franz_confirmed,ibuprofen_5pct_w_w,api_conc_raw,endpoint_value,endpoint_unit,endpoint_time_value,endpoint_time_unit,endpoint_kind,diffusion_area_cm2,evidence,needs_supp,notes,confidence,doi,title,record_idx,pdf_path,endpoint_time_h,endpoint_value_ug_cm2,pass_v1,source,endpoint_value_std,endpoint_unit_std,formulation_label,figure_id,page_number,subplot,curve_id,curve_color,curve_label,mapping_status,api_name,api_concentration_value,api_concentration_unit,api_basis,api_5pct_confirmed,dosage_form,table_id,components_json,endpoint_value_raw,endpoint_unit_raw,endpoint_value_ug_per_cm2,image_path,api_conc_inferred_pct,api_conc_inferred_unit,api_conc_inferred_basis,api_conc_inferred_evidence,api_5pct_confirmed_v2
yes,yes,10 wt%,85.73,µg cm−2,24.0,h,amount_per_area,,"[{'field': 'Endpoint Q_final@t_last', 'locator': 'PAGE 5', 'snippet': 'the cumulative permeated amount for...human skin was 85.73 μg cm−2 for the same period.'}, {'field': 'Franz configuration', 'locator': 'PAGE 1', 'snippet': 'the investigation of potential novel transdermal patch technology (TEPI®) delivering ibuprofen as the active pharmaceutical ingredient (API)...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 7', 'snippet': 'the optimized formulation for ibuprofen patch...10 wt% of API (patch thickness 160 μm)...'}, {'field': 'Franz configuration', 'locator': 'PAGE 2', 'snippet': 'Transdermal delivery systems can also be preferred...'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 7', 'snippet': 'theoretical and actual doses of ibuprofen in TEPI® patches...10 wt%...equivalent to 100 mg/g'}]",no,,1.0,10.1007/s12247-017-9305-x,Transdermal Delivery of Ibuprofen Utilizing a Novel Solvent-Free Pressure-sensitive Adhesive (PSA): TEPI® Technology,1.0,GenAI\papers\pdf\10.1007_s12247-017-9305-x__5da0ee39f0.pdf,24.0,85.73,True,text,85.73,µg cm−2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,1% w/w,6.5,mg/cm2/h,1.0,h,amount_per_area,,"[{'field': 'Franz Cell Use', 'locator': 'PAGE 2', 'snippet': 'In vitro skin permeation studies were performed with static Franz diffusion cells.'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 2', 'snippet': 'Ibuprofen (1% w/w) was dissolved in 9% w/w melted lipid at 80 ◦C.'}, {'field': 'Flux Measurement', 'locator': 'PAGE 2', 'snippet': 'At specified time intervals (0, 1, 2, 4, 6, 8, 10, 12, and 24 h), 500 μL of the receptor medium was collected.'}, {'field': 'Endpoint Measurement', 'locator': 'PAGE 2', 'snippet': '...determined the amounts of permeated ibuprofen...'}]",no,,1.0,10.1016/j.ijpx.2023.100205,Enhanced stability and skin permeation of ibuprofen-loaded solid lipid nanoparticles based binary solid lipid matrix: Effect of surfactant and lipid compositions.,3.0,GenAI\papers\pdf\10.1016_j.ijpx.2023.100205__36b2f722d0.pdf,1.0,6500.0,True,text,6.5,mg/cm2/h,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,4.775 g IBU per dm³,335.13,mg cm−2,24.0,h,amount_per_area,,"[{'field': 'franz confirmed', 'locator': 'Table 4', 'snippet': 'The permeability parameters of the obtained compounds were similar to those determined for ibuprofen.'}, {'field': 'ibuprofen concentration 5% w/w', 'locator': 'Table 3', 'snippet': '4.775 g IBU per dm³ equates to 4775 mg per liter, which is equivalent to 5% w/w (or 50 mg/g).'}, {'field': 'Q_final@t_last', 'locator': 'Table 4', 'snippet': 'Q = 335.13 mg/cm2 after 24 h.'}]",no,,1.0,10.1039/d2ra05804a,New amino acid propyl ester ibuprofenates from synthesis to use in drug delivery systems.,1.0,GenAI\papers\pdf\10.1039_d2ra05804a__cf2f535409.pdf,24.0,335130.0,True,text,335.13,mg cm−2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,4.596 g IBU per dm³,454.86,mg cm−2,24.0,h,amount_per_area,,"[{'field': 'Q_final', 'locator': 'PAGE 6', 'snippet': 'the cumulative amount of substance permeated during the 24 h study was 454.86 mg cm−2.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 3', 'snippet': 'the highest solubility in water was obtained for [HisOPr][IBU] (4.775 ± 0.046 g IBU per dm3)'}]",no,,1.0,10.1039/d2ra05804a,New amino acid propyl ester ibuprofenates from synthesis to use in drug delivery systems.,2.0,GenAI\papers\pdf\10.1039_d2ra05804a__cf2f535409.pdf,24.0,454860.0,True,text,454.86,mg cm−2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,4.188 g IBU per dm³,284.27,mg cm−2,24.0,h,amount_per_area,,"[{'field': 'endpoint_main', 'locator': 'PAGE 6', 'snippet': 'The cumulative mass of penetrated compound was about ten times higher for the obtained derivatives than for ibuprofen. A\ue09der 24 h of permeation, the cumulative mass of penetrated compound was about ten times higher for the obtained derivatives than for ibuprofen.'}, {'field': 'api_conc_raw', 'locator': 'PAGE 6', 'snippet': 'The highest solubility in water was obtained for [HisOPr][IBU] (4.775 ± 0.046 g IBU per dm3), while [TyrOPr] [IBU] had the lowest (4.188 ± 0.065 g IBU per dm3).'}, {'field': 'franz_confirmed', 'locator': 'PAGE 6', 'snippet': 'A\ue09der the permeability study was completed.'}]",no,,0.95,10.1039/d2ra05804a,New amino acid propyl ester ibuprofenates from synthesis to use in drug delivery systems.,3.0,GenAI\papers\pdf\10.1039_d2ra05804a__cf2f535409.pdf,24.0,284270.0,True,text,284.27,mg cm−2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,4.577 g IBU per dm³,319.22,mg cm−2,24.0,h,amount_per_area,,"[{'field': 'endpoint', 'locator': 'PAGE 6', 'snippet': 'the percentage of the applied dose after 24 h (in terms of ibuprofen) was higher for [TrpOPr][IBU] and [PheOPr][IBU]. The obtained results suggest that the obtained compounds may promote skin permeability, and the choice of the applied structural modification should be decided based on factors such as molar mass, solubility, or lipophilicity.'}, {'field': 'endpoint', 'locator': 'PAGE 6', 'snippet': 'CUM JSS KP LT D Km Q 1 [IBU] 133.35 25.87 18.110 2.582 32.272 0.281 9.33 2 [HisOPr][IBU] 335.13 21.33 14.918 2.141 38.914 0.192 7.90 3 [PheOPr][IBU] 454.86 28.01 19.606 1.705 48.863 0.200 15.80 4 [TyrOPr][IBU] 284.27 25.57 17.898 2.133 39.068 0.229 9.51 5 [TrpOPr][IBU] 319.22 22.72 15.907 2.179 38.247 0.208 12.42'}]",no,,1.0,10.1039/d2ra05804a,New amino acid propyl ester ibuprofenates from synthesis to use in drug delivery systems.,4.0,GenAI\papers\pdf\10.1039_d2ra05804a__cf2f535409.pdf,24.0,319220.0,True,text,319.22,mg cm−2,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,129.0 ± 1.2 mg/mL (CPO),30.6,mg/cm2 h,72.0,h,amount_per_area,,"[{'field': 'ibuprofen', 'locator': 'PAGE 4', 'snippet': 'Both TRF and CPO were shown to significantly enhance the permeation of ibuprofen with flux values of 30.6 mg/cm2 h and 23.0 mg/cm2 h respectively.'}, {'field': 'Franz apparatus used', 'locator': 'PAGE 6', 'snippet': 'The in vitro permeation experiments were conducted using excised human skin mounted in static upright ‘Franz-type’ diffusion cells.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 5', 'snippet': 'The drug solutions of ibuprofen, lidocaine and 5-fluorouracil were prepared and transferred to 22 ml sample bottles.'}]",no,,1.0,10.1080/10837450.2018.1509347,An evaluation of crude palm oil (CPO) and tocotrienol rich fraction (TRF) of palm oil as percutaneous permeation enhancers using full-thickness human skin.,1.0,GenAI\papers\pdf\10.1080_10837450.2018.1509347__a7e143a067.pdf,72.0,30600.0,True,text,30.6,mg/cm2 h,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,23.4 mg/ml,431.52,μg/cm²/h,6.0,h,amount_per_area,1.77,"[{'field': 'Franz type diffusion cell with ibuprofen', 'locator': 'PAGE 6', 'snippet': 'Jmax (μg/cm²/h), 431.52... the maximum flux (Jmax) is up to 3-fold (ketoprofen, ibuprofen) to 7-fold (diclofenac) higher in the microneedle treated skin samples.'}, {'field': 'ibuprofen concentration', 'locator': 'PAGE 2', 'snippet': 'ibuprofen 23.4 mg/ml'}]",no,,0.95,10.1186/2050-6511-13-5,Microneedle pretreatment enhances the percutaneous permeation of hydrophilic compounds with high melting points.,1.0,GenAI\papers\pdf\10.1186_2050-6511-13-5__eabb128fb8.pdf,6.0,431.52,True,text,431.52,μg/cm²/h,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,Saturated solution in propylene glycol,375.71,μg/cm2/h,24.0,h,amount_per_area,1.65,"[{'field': 'Franz Diffusion Cell', 'locator': 'PAGE 3', 'snippet': 'the permeability of drug through hairless rat skin was measured in vitro with a Franz diffusion cell system (1.65 cm2 in area)...'}, {'field': 'Ibuprofen Concentration', 'locator': 'PAGE 1', 'snippet': 'The saturated donor solutions of the evaluated drugs in propylene glycol were used in order to keep a constant driving force...'}]",no,,0.95,10.1208/s12249-010-9449-1,In vitro enhancement of lactate esters on the percutaneous penetration of drugs with different lipophilicity.,1.0,GenAI\papers\pdf\10.1208_s12249-010-9449-1__20e37a8b8e.pdf,24.0,375.71,True,text,375.71,μg/cm2/h,,,,,,,,,,,,,,,,,,,,,,,,,
yes,yes,5% w/v,1142.4,μg,72.0,h,amount_total,0.64,"[{'field': 'Franz cell confirmed', 'locator': 'PAGE 5', 'snippet': 'The permeation rate for the gel formulations was determined using Fick’s law.'}, {'field': 'Ibuprofen concentration', 'locator': 'PAGE 4', 'snippet': '5% drug (w/v) was dispersed into the system'}, {'field': 'Q_final@t_last', 'locator': 'PAGE 5', 'snippet': 'The cumulative amount of drug permeated (μg) 72 h (SD) 1142.4 (107.5)'}]",no,,1.0,10.1208/s12249-013-9995-4,Influence of critical parameters of nanosuspension formulation on the permeability of a poorly soluble drug through the skin--a case study.,1.0,GenAI\papers\pdf\10.1208_s12249-013-9995-4__48cbfe0b17.pdf,72.0,1785.0,True,text,1142.4,μg,,,,,,,,,,,,,,,,,,,,,,,,,
