,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,105.12260057597567
sqrt(t),1.637634795091335,0.0
log(t),1.63052944448377,0.0
1/t,1.6145906055496948,0.0
exp(-t),1.2784483927457762,0.0
1-exp(-t),1.2778935735332027,0.0
C_pg * C_eth,0.0,4.868223847106237
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,0.20944551774733944
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.2850167019496354
C_pol^2,0.0,0.0
C_pg * log(t),1.1791439038454379,0.0
C_pg * log(t),1.1622363215294964,5.119762292427331
C_eth * log(t),1.3322810719306228,0.0
C_pg * log(t),1.2960923186137037,0.0
C_eth * t,1.385022183503779,0.0
C_pg * t,1.4137519964213197,2.1372568736738056
exp(log(t)),1.6425390815643448,2.4933080873524864
C_pg / C_eth - 0.28392357,0.0,0.09641721696556567
11.411565 - C_pg,0.0,0.0
C_eth - 13.86362,0.0,0.0
C_eth - 13.869623,0.0,0.0
11.407039 - C_pg,0.0,0.0
14.275915 - C_eth,0.0,0.0
C_eth - 15.084822,0.0,0.0
inv(C_eth - 15.084822),0.0,6.6580577369947145
