complexity,loss,equation,score,sympy_format,lambda_format
1,10888.009,x8,0.0,x8,PySRFunction(X=>x8)
2,3948.237,exp(x1),1.0143929417822932,exp(x1),PySRFunction(X=>exp(x1))
3,576.34656,x7 * 9.44371,1.924315282713019,x7*9.44371,PySRFunction(X=>x7*9.44371)
4,576.34644,exp(x4 + 2.245328),2.0820808302277157e-07,exp(x4 + 2.245328),PySRFunction(X=>exp(x4 + 2.245328))
5,479.7468,(x7 * 10.156036) - x12,0.18345047350078927,-x12 + x7*10.156036,PySRFunction(X=>-x12 + x7*10.156036)
7,437.71994,(x14 * 10.302316) + (x16 - x12),0.04583958262428058,-x12 + x14*10.302316 + x16,PySRFunction(X=>-x12 + x14*10.302316 + x16)
9,357.03293,(x4 * (x16 - x12)) + (x14 * 11.935724),0.10187564052711828,x14*11.935724 + x4*(-x12 + x16),PySRFunction(X=>x14*11.935724 + x4*(-x12 + x16))
11,324.60623,(((0.1411648 * (x16 - x12)) + 12.654533) * x14) - x9,0.047607585336507795,x14*(0.1411648*(-x12 + x16) + 12.654533) - x9,PySRFunction(X=>x14*(0.1411648*(-x12 + x16) + 12.654533) - x9)
12,309.1406,(((x16 - x12) * sqrt(x10)) * 0.1542585) + (x14 * 11.709669),0.04881665815854805,0.1542585*sqrt(x10)*(-x12 + x16) + 11.709669*x14,PySRFunction(X=>0.1542585*sqrt(x10)*(-x12 + x16) + 11.709669*x14)
13,298.82285,(x9 + (((3.4376247 - (x5 * 0.0042323293)) * x14) + x16)) * x4,0.0339452666988245,x4*(x14*(3.4376247 - 0.0042323293*x5) + x16 + x9),PySRFunction(X=>x4*(x14*(3.4376247 - 0.0042323293*x5) + x16 + x9))
14,265.09293,x4 * ((x16 + ((2.997251 - (square(x5) * 9.263377e-6)) * x14)) + x9),0.11977047913376956,x4*(x14*(2.997251 - 9.263377e-6*x5**2) + x16 + x9),PySRFunction(X=>x4*(x14*(2.997251 - 9.263377e-6*x5**2) + x16 + x9))
16,234.71118,x4 * (x16 + ((sqrt(x5) * ((0.3179299 - (x5 * 0.0006386044)) * x14)) + x9)),0.06086235337818817,x4*(x14*sqrt(x5)*(0.3179299 - 0.0006386044*x5) + x16 + x9),PySRFunction(X=>x4*(x14*sqrt(x5)*(0.3179299 - 0.0006386044*x5) + x16 + x9))
17,225.76729,x4 * ((((sqrt(x2) + x14) * ((x5 * 0.03994644) - sqrt(x5))) * -0.41559672) + x16),0.03885095848995109,x4*(x16 - 0.41559672*(x14 + sqrt(x2))*(-sqrt(x5) + 0.03994644*x5)),PySRFunction(X=>x4*(x16 - 0.41559672*(x14 + sqrt(x2))*(-sqrt(x5) + 0.03994644*x5)))
18,225.17691,(x4 + -0.21786052) * ((x9 + x16) + (sqrt(x5) * ((0.34315243 - (x5 * 0.00068312365)) * x14))),0.002618418586199583,(x4 - 0.21786052)*(x14*sqrt(x5)*(0.34315243 - 0.00068312365*x5) + x16 + x9),PySRFunction(X=>(x4 - 0.21786052)*(x14*sqrt(x5)*(0.34315243 - 0.00068312365*x5) + x16 + x9))
19,206.17635,x4 * ((((x16 * 0.0022207652) + ((x5 * -0.00051989005) - -0.2859914)) * sqrt(x5)) * (x14 + sqrt(x2))),0.08815448939182437,x4*sqrt(x5)*(x14 + sqrt(x2))*(0.0022207652*x16 - 0.00051989005*x5 + 0.2859914),PySRFunction(X=>x4*sqrt(x5)*(x14 + sqrt(x2))*(0.0022207652*x16 - 0.00051989005*x5 + 0.2859914))
21,198.87349,x4 * ((x14 + sqrt(x2)) * (((x5 * -0.007555677) + ((x16 / x18) - -5.2317967)) - (inv(x5) * 220.72768))),0.018031488306710322,x4*(x14 + sqrt(x2))*(x16/x18 - 0.007555677*x5 + 5.2317967 - 220.72768/x5),PySRFunction(X=>x4*(x14 + sqrt(x2))*(x16/x18 - 0.007555677*x5 + 5.2317967 - 220.72768/x5))
22,196.83328,(x14 + sqrt(x2)) * ((((sqrt(x5) * -0.2954324) - (inv(x5) * 322.6634)) + ((x16 / x18) - -8.411142)) * x4),0.01031181790768382,x4*(x14 + sqrt(x2))*(x16/x18 - 0.2954324*sqrt(x5) + 8.411142 - 322.6634/x5),PySRFunction(X=>x4*(x14 + sqrt(x2))*(x16/x18 - 0.2954324*sqrt(x5) + 8.411142 - 322.6634/x5))
23,190.0265,x4 * ((x14 + sqrt(x2)) * (((x5 * -0.0073666936) - (inv(x5) * 211.98615)) + ((x16 * (0.7946323 / x18)) - -5.120076))),0.035193539893307625,x4*(x14 + sqrt(x2))*(0.7946323*x16/x18 - 0.0073666936*x5 + 5.120076 - 211.98615/x5),PySRFunction(X=>x4*(x14 + sqrt(x2))*(0.7946323*x16/x18 - 0.0073666936*x5 + 5.120076 - 211.98615/x5))
24,187.6202,(x4 * (((sqrt(x5) * -0.28828356) - (inv(x5) * 311.59677)) + (((x16 * 0.789879) / x18) - -8.223938))) * (x14 + sqrt(x2)),0.012743829437473259,x4*(x14 + sqrt(x2))*(0.789879*x16/x18 - 0.28828356*sqrt(x5) + 8.223938 - 311.59677/x5),PySRFunction(X=>x4*(x14 + sqrt(x2))*(0.789879*x16/x18 - 0.28828356*sqrt(x5) + 8.223938 - 311.59677/x5))
