Variable,Index
C_pg * C_eth * -5.6564804e-5 * C_eth,0
exp(C_pg * C_eth * -5.6564804e-5 * C_eth),1
sqrt(t),2
C_pg * log(t),3
t - sqrt(t),4
C_eth^2,5
log(t),6
C_pg * C_pol,7
1/t,8
C_pg / C_pol,9
log(inv(1/t)),10
sqrt(C_pg * log(t)),11
log(C_pg * t),12
C_pol^2,13
t,14
C_eth * log(t),15
C_pg,16
C_eth * t,17
C_eth,18
inv(C_pg * C_eth * -5.6564804e-5 * C_eth),19
inv(C_eth - 15.084822) / C_pol,20
1-exp(-t),21
exp(log(t)),22
sqrt(inv(C_eth - 15.084822) / C_pol - -2.3647997),23
exp(log(t)) - C_pg / C_eth,24
exp(-t),25
inv(1/t),26
C_pg * t,27
C_pol,28
