,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.652151877316294,98.95656904621154
sqrt(t),1.644674188073516,0.0
log(t),1.6294769686196013,0.0
1/t,1.6046696340160498,0.0
exp(-t),1.2652678496773804,0.0
1-exp(-t),1.2654617620976054,0.0
C_pg * C_eth,0.0,5.16329952987525
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.6000867252924031
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1676234482639045,0.0
C_pg * log(t),1.1399566948725157,0.0
C_eth * log(t),1.3502652804290682,0.0
C_pg * log(t),1.2715751516838747,0.0
C_eth * t,1.3927063185932878,0.0
C_pg * t,1.393915762120498,5.172333679589442
