complexity,loss,equation,score,sympy_format,lambda_format
1,10724.615,x9,0.0,x9,PySRFunction(X=>x9)
2,3919.7725,exp(x13),1.0065079503299066,exp(x13),PySRFunction(X=>exp(x13))
3,510.42654,x14 * 11.9122505,2.038542166274775,x14*11.9122505,PySRFunction(X=>x14*11.9122505)
5,476.09122,(x4 + 10.849511) * x14,0.034818627292384816,x14*(x4 + 10.849511),PySRFunction(X=>x14*(x4 + 10.849511))
6,439.7412,x14 * (15.763067 - sqrt(x2)),0.07942310247919997,x14*(15.763067 - sqrt(x2)),PySRFunction(X=>x14*(15.763067 - sqrt(x2)))
7,409.00793,((x12 * -0.011287438) + 14.450738) * x14,0.07245182743944223,x14*(14.450738 + x12*(-0.011287438)),PySRFunction(X=>x14*(14.450738 + x12*(-0.011287438)))
8,389.66168,((square(x12) * -2.515567e-5) + 13.305032) * x14,0.048455669148443105,x14*(13.305032 + x12**2*(-2.515567e-5)),PySRFunction(X=>x14*(13.305032 + x12**2*(-2.515567e-5)))
9,381.05612,((x12 * -0.010926311) + (x4 + 13.307275)) * x14,0.022332214591905118,x14*(x12*(-0.010926311) + x4 + 13.307275),PySRFunction(X=>x14*(x12*(-0.010926311) + x4 + 13.307275))
10,361.84726,x14 * (sqrt(x12 * 3.8742106) + (x12 * -0.076710075)),0.05172447178250758,x14*(1.96830145048974*sqrt(x12) - 0.076710075*x12),PySRFunction(X=>x14*(1.96830145048974*sqrt(x12) - 0.076710075*x12))
12,335.78537,((x4 + (1.8143225 * sqrt(x12))) + (x12 * -0.07128299)) * x14,0.03737500649522974,x14*(1.8143225*sqrt(x12) - 0.07128299*x12 + x4),PySRFunction(X=>x14*(1.8143225*sqrt(x12) - 0.07128299*x12 + x4))
14,322.4848,((inv(x12) * -942.2745) + (x4 - ((x12 * 0.03159022) + -22.584322))) * x14,0.020208086376219576,x14*(x4 - (x12*0.03159022 - 22.584322) - 942.2745/x12),PySRFunction(X=>x14*(x4 - (x12*0.03159022 - 22.584322) - 942.2745/x12))
16,319.28537,(((log(x12) * -32.00046) + x4) + (340.21237 - (inv(log(x12)) * 842.92053))) * x14,0.004985361825072905,x14*(x4 - 32.00046*log(x12) + 340.21237 - 842.92053/log(x12)),PySRFunction(X=>x14*(x4 - 32.00046*log(x12) + 340.21237 - 842.92053/log(x12)))
18,316.9896,(((x4 + ((log(x12) * -32.01187) + 340.20642)) - (inv(log(x12)) * 843.2086)) * x14) + 2.1751826,0.003608156961937861,x14*(x4 - 32.01187*log(x12) + 340.20642 - 843.2086/log(x12)) + 2.1751826,PySRFunction(X=>x14*(x4 - 32.01187*log(x12) + 340.20642 - 843.2086/log(x12)) + 2.1751826)
20,316.29034,(x14 * ((log(x12) * -23.230509) + (x4 + (198.44135 - (log(log(log(log(x12)))) * -95.26443))))) + 2.1742465,0.0011041882744408699,x14*(x4 - 23.230509*log(x12) + 95.26443*log(log(log(log(x12)))) + 198.44135) + 2.1742465,PySRFunction(X=>x14*(x4 - 23.230509*log(x12) + 95.26443*log(log(log(log(x12)))) + 198.44135) + 2.1742465)
21,315.9799,(x14 * (((x4 + 426.8935) - (log(log(log(log(x12)))) * -150.4538)) + (log(log(x12)) * -188.62817))) + 2.1823843,0.0009819852503142898,x14*(x4 - 188.62817*log(log(x12)) + 150.4538*log(log(log(log(x12)))) + 426.8935) + 2.1823843,PySRFunction(X=>x14*(x4 - 188.62817*log(log(x12)) + 150.4538*log(log(log(log(x12)))) + 426.8935) + 2.1823843)
22,315.91467,((((198.0093 - (log(log(log(log(x12)))) * -95.16485)) + x4) + (log(x12) * -23.15791)) * x14) + (x0 / x3),0.0002064584926934712,x0/x3 + x14*(x4 - 23.15791*log(x12) + 95.16485*log(log(log(log(x12)))) + 198.0093),PySRFunction(X=>x0/x3 + x14*(x4 - 23.15791*log(x12) + 95.16485*log(log(log(log(x12)))) + 198.0093))
23,315.59772,(x14 * (x4 + ((426.52896 - (log(log(log(log(x12)))) * -150.47617)) + (log(log(x12)) * -188.38817)))) + (x0 / x3),0.0010037808652102978,x0/x3 + x14*(x4 - 188.38817*log(log(x12)) + 150.47617*log(log(log(log(x12)))) + 426.52896),PySRFunction(X=>x0/x3 + x14*(x4 - 188.38817*log(log(x12)) + 150.47617*log(log(log(log(x12)))) + 426.52896))
25,315.35675,(x10 + (((x4 + (log(log(x12)) * -188.38925)) + (426.52826 - (log(log(log(log(x12)))) * -150.47662))) * x14)) + (x0 / x3),0.0003819134710557022,x0/x3 + x10 + x14*(x4 - 188.38925*log(log(x12)) + 150.47662*log(log(log(log(x12)))) + 426.52826),PySRFunction(X=>x0/x3 + x10 + x14*(x4 - 188.38925*log(log(x12)) + 150.47662*log(log(log(log(x12)))) + 426.52826))
