Variable,Index
C_pol,x0
C_eth,x1
C_pg,x2
t,x3
sqrt(t),x4
log(t),x5
1/t,x6
exp(-t),x7
1-exp(-t),x8
C_pg * C_eth,x9
C_pg * C_pol,x10
C_eth * C_pol,x11
C_pg / C_pol,x12
C_pg / C_eth,x13
C_eth / C_pol,x14
C_pg^2,x15
C_eth^2,x16
C_pol^2,x17
C_pg * log(t),x18
C_pg * log(t),x19
C_eth * log(t),x20
C_pg * log(t),x21
C_eth * t,x22
C_pg * t,x23
t - sqrt(t),x24
sqrt(C_pg / C_eth),x25
log(C_pg / C_eth),x26
inv(C_pg / C_eth),x27
sqrt(C_pg * C_eth),x28
log(C_pg * C_eth),x29
C_pol / C_pg,x30
14.748968 - C_eth,x31
C_pg * C_eth / 238.5248,x32
exp(C_pg * C_eth / 238.5248),x33
C_pg * C_eth / 78.53994,x34
C_pg - 10.370496,x35
exp(C_pg * C_eth / 238.5248) / C_pg / C_eth,x36
