complexity,loss,score,restored_equation,loss_norm,complexity_norm,coverage_score,physics_score,physics_detail,stability_score,generalization_score,interpretability_score,total_score
11,317.40683,0.1091571619621494,(t - sqrt(t)) * ((14.892784 - (-0.33585095 / ((C_pol) + -25.269281))) - (exp(C_pg * C_eth / 238.5248))),0.009828207517155104,0.4166666666666667,1.0,0.789,"{'ok': True, 'msg': '', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02)], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': 0.98, 'nonneg_score': 0.0, 'nan_penalty': 1.0, 'combined': 0.789}}",0.1091571619621494,0.5,0.5,0.6812993431667492
13,294.86475,0.0368337749086867,(t - sqrt(t)) * ((13.822674 - (-0.29840845 / ((C_pol) + -25.236126))) - ((exp(C_pg * C_eth / 238.5248)) - (C_pg / C_eth))),0.007683489030190152,0.5,1.0,0.789,"{'ok': True, 'msg': '', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02)], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': 0.98, 'nonneg_score': 0.0, 'nan_penalty': 1.0, 'combined': 0.789}}",0.0368337749086867,0.5,0.5,0.6582725428817746
15,284.42596,0.0180219014905663,(t - sqrt(t)) * (((C_pg / C_eth) + (((exp(C_pg * C_eth / 238.5248)) * -0.9489521) - (0.35877925 / ((C_pol) + -24.748804)))) + 13.764475),0.006690312451340953,0.5833333333333334,1.0,0.789,"{'ok': True, 'msg': '', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02)], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': 0.98, 'nonneg_score': 0.0, 'nan_penalty': 1.0, 'combined': 0.789}}",0.0180219014905663,0.5,0.5,0.6430997383558839
19,255.9777,0.0041307236209828,(((((C_pol) + -24.554342) * (-0.056198873 / ((exp(C_pg * C_eth / 238.5248)) + -2.372728))) + (((exp(C_pg * C_eth / 238.5248)) * -0.819765) + (C_pg / C_eth))) + 12.771495) * (t - sqrt(t)),0.003983662969838557,0.75,1.0,0.789,"{'ok': True, 'msg': '', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02)], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': 0.98, 'nonneg_score': 0.0, 'nan_penalty': 1.0, 'combined': 0.789}}",0.0041307236209828,0.5,0.5,0.6164220590976718
21,224.48062,0.028795590971504,((t - sqrt(t)) * 1.5994437) * ((((exp(C_pg * C_eth / 238.5248)) / -39.576046) * (C_pol)) + ((8.190999 - (-2.9262178 / (((C_pg / C_eth) * -32.31979) + (C_pol)))) + (C_pg / C_eth))),0.0009869399628483386,0.8333333333333334,1.0,0.789,"{'ok': True, 'msg': '', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02)], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': 0.98, 'nonneg_score': 0.0, 'nan_penalty': 1.0, 'combined': 0.789}}",0.028795590971504,0.5,0.5,0.6080712976512984
23,216.39929,0.0183320561416391,((t - sqrt(t)) * ((-2.1882567 / ((C_pol) + (((C_pg / C_eth) * -23.846682) - 6.8677044))) - (((C_pg / C_eth) + 5.573617) + ((C_pol) * ((exp(C_pg * C_eth / 238.5248)) / -61.930138))))) * -2.167111,0.0002180589256829825,0.9166666666666666,1.0,0.789,"{'ok': True, 'msg': '', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03), np.float64(0.03)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02)], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': 0.98, 'nonneg_score': 0.0, 'nan_penalty': 1.0, 'combined': 0.789}}",0.0183320561416391,0.5,0.5,0.5941170995823936
25,214.10738,0.0053238005651528,((t - sqrt(t)) * (((-2.1824503 / ((((C_pg / C_eth) * -23.764116) + (C_pol)) - 6.92839)) - ((((exp(C_pg * C_eth / 238.5248)) * (C_pol)) / -62.02736) + ((C_pg / C_eth) + 5.515025))) * -2.167502)) + 2.1770475,0.0,1.0,1.0,0.539,"{'ok': True, 'msg': '', 'Q0_violations': 6, 'dQdt_violations': [], 'neg_frac': [np.float64(0.02), np.float64(0.0), np.float64(0.02), np.float64(0.01), np.float64(0.02), np.float64(0.02)], 'nan_flag': False, 'dQdt_violation_fractions': [np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02), np.float64(0.02)], 'subscores': {'q0_pass_frac': 0.0, 'mono_score': 0.98, 'nonneg_score': 0.0, 'nan_penalty': 1.0, 'combined': 0.539}}",0.0053238005651528,0.5,0.5,0.554698570084773
16,278.76184,0.0201151764422128,(((((exp(C_pg * C_eth / 238.5248)) * -1.1317537) + (C_pg / C_eth)) + 14.2933035) - (inv((exp(C_pg * C_eth / 238.5248))) / ((C_pol) + -24.732792))) * (t - sqrt(t)),0.006151411743137102,0.625,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0201151764422128,0.5,0.5,
17,274.00577,0.017208632648094,((((exp(C_pg * C_eth / 238.5248)) * -0.9487908) + ((C_pg / C_eth) - (inv(exp((C_pg / C_eth))) / ((C_pol) + -24.717075)))) + 13.741175) * (t - sqrt(t)),0.005698905530121292,0.6666666666666666,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.017208632648094,0.5,0.5,
18,257.03726,0.0639281096292024,(((exp(C_pg * C_eth / 238.5248)) * -0.9728708) + (((C_pg / C_eth) + 13.641922) - inv((((C_pg / C_eth) * -32.082664) + (C_pol)) / -3.8047564))) * (t - sqrt(t)),0.004084472563276634,0.7083333333333334,1.0,,"{'ok': False, 'msg': 'numeric eval error for combo [20.0, 10.0, 10.0]: 0-dimensional array given. Array must be at least two-dimensional', 'Q0_violations': 0, 'dQdt_violations': [], 'neg_frac': [], 'nan_flag': True, 'dQdt_violation_fractions': [], 'subscores': {'q0_pass_frac': 1.0, 'mono_score': nan, 'nonneg_score': nan, 'nan_penalty': 0.0, 'combined': nan}}",0.0639281096292024,0.5,0.5,
