,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.652151877316294,69.50048840876748
sqrt(t),1.645719647006902,0.0
log(t),1.6383477019155346,0.0
1/t,1.6111058313063995,0.0
exp(-t),1.2659200033341518,0.0
1-exp(-t),1.2658947532765914,0.0
t^2,1.6493388886739904,13.609360411502184
C_pg * C_eth,0.0,5.269061179050569
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,1.7033154503916401
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1689041152059318,0.0
C_pg * log(t),1.1453825453576378,0.0
C_eth * log(t),1.350116728629168,0.0
C_pg * log(t),1.270191276723191,0.0
C_eth * t,1.3912161589707748,0.0
C_pg * t,1.4032387418198806,5.458081161205966
log(C_pg / C_eth),0.0,0.0
t - sqrt(t),1.652151877316294,15.857525583415237
C_pg / C_eth * 1.3315489,0.0,7.169778930961016e-05
log(t) * 2.233255,1.6370960454989874,0.0
log(C_pg / C_eth * 1.3315489),0.0,0.0
C_pg * C_eth * -0.0067678355,0.0,2.4079039830894545e-05
log(t) * 2.233255 + 1-exp(-t),1.6358791550004914,0.0
C_pol + -24.86965,0.0,0.0
C_pg / C_eth * -9.208159,0.0,0.0
C_pg * log(t) * -0.24116583,1.1657075213803303,0.0
C_pg / C_eth + 1.4210596,0.0,0.0
sqrt(C_pol),0.0,0.0
