complexity,loss,equation,score,sympy_format,lambda_format
1,11697.47,111.365555,0.0,111.365555000000,PySRFunction(X=>111.365555000000)
2,3919.7725,exp(x3),1.093338962700431,exp(x3),PySRFunction(X=>exp(x3))
3,510.42654,x18 * 11.911472,2.038542166274775,x18*11.911472,PySRFunction(X=>x18*11.911472)
5,476.09122,x18 * (x9 + 10.849511),0.034818627292384816,x18*(x9 + 10.849511),PySRFunction(X=>x18*(x9 + 10.849511))
6,453.43326,(x18 * 63.667297) / log(x7),0.0487613822843095,63.667297*x18/log(x7),PySRFunction(X=>63.667297*x18/log(x7))
7,429.3034,(x18 / (x0 + 43.517395)) * 695.0204,0.05468419717352324,x18*695.0204/(x0 + 43.517395),PySRFunction(X=>x18*695.0204/(x0 + 43.517395))
8,422.09192,x18 * ((57.99954 / log(x7)) + x9),0.01694078484679423,x18*(x9 + 57.99954/log(x7)),PySRFunction(X=>x18*(x9 + 57.99954/log(x7)))
9,406.66498,(x18 * 12.369399) + log(square(x13 - x9)),0.037233408712305925,12.369399*x18 + log((x13 - x9)**2),PySRFunction(X=>12.369399*x18 + log((x13 - x9)**2))
10,400.65723,(x18 * 12.292598) + log(square(x13 - square(x9))),0.014883427772572698,12.292598*x18 + log((x13 - x9**2)**2),PySRFunction(X=>12.292598*x18 + log((x13 - x9**2)**2))
11,382.016,((x9 + 11.307174) * x18) + log(square(x9 - x13)),0.04764378119085058,x18*(x9 + 11.307174) + log((-x13 + x9)**2),PySRFunction(X=>x18*(x9 + 11.307174) + log((-x13 + x9)**2))
12,313.74463,x18 * (((log(square(log(x9))) + 44.91541) / x0) + 9.359689),0.1968831177845122,x18*(9.359689 + (log(log(x9)**2) + 44.91541)/x0),PySRFunction(X=>x18*(9.359689 + (log(log(x9)**2) + 44.91541)/x0))
14,307.71637,(((log(square(log(x9))) * 4.321617) + 773.81946) * x18) / (x0 + 46.93369),0.00970044633941886,x18*(4.321617*log(log(x9)**2) + 773.81946)/(x0 + 46.93369),PySRFunction(X=>x18*(4.321617*log(log(x9)**2) + 773.81946)/(x0 + 46.93369))
15,302.85028,((square(log(square(log(x9)))) * -0.12208482) + 746.34894) * (x18 / (x0 + 45.499596)),0.01593992410619868,x18*(746.34894 - 0.12208482*log(log(x9)**2)**2)/(x0 + 45.499596),PySRFunction(X=>x18*(746.34894 - 0.12208482*log(log(x9)**2)**2)/(x0 + 45.499596))
16,301.81296,((square(log(square(log(inv(x9))))) * -0.12903388) + 735.0453) * (x18 / (x0 + 44.57456)),0.0034310702189594,x18*(735.0453 - 0.12903388*log(log(1/x9)**2)**2)/(x0 + 44.57456),PySRFunction(X=>x18*(735.0453 - 0.12903388*log(log(1/x9)**2)**2)/(x0 + 44.57456))
17,267.4812,(x18 * ((log(square(-1.5751071 - inv(log(x9)))) * -4.516326) + 757.7945)) / (x0 + 45.732212),0.12075820426522849,x18*(757.7945 - 4.516326*log((-1.5751071 - 1/log(x9))**2))/(x0 + 45.732212),PySRFunction(X=>x18*(757.7945 - 4.516326*log((-1.5751071 - 1/log(x9))**2))/(x0 + 45.732212))
19,266.50134,((x18 * ((log(square(-1.5751071 - inv(log(x9)))) * -4.516326) + 757.7945)) / (x0 + 45.732212)) + x17,0.0018350058783004274,x17 + x18*(757.7945 - 4.516326*log((-1.5751071 - 1/log(x9))**2))/(x0 + 45.732212),PySRFunction(X=>x17 + x18*(757.7945 - 4.516326*log((-1.5751071 - 1/log(x9))**2))/(x0 + 45.732212))
20,223.24934,x18 * (((square(log(square(1.7142862 - inv(x9 - inv(x9))))) * -0.13269556) + 697.33875) / (x0 + 40.462185)),0.17709000831059668,x18*(697.33875 - 0.13269556*log((1.7142862 - 1/(x9 - 1/x9))**2)**2)/(x0 + 40.462185),PySRFunction(X=>x18*(697.33875 - 0.13269556*log((1.7142862 - 1/(x9 - 1/x9))**2)**2)/(x0 + 40.462185))
21,222.10287,(x18 * ((square(log(square(inv(x9 - square(inv(x9))) - 1.2972975))) * -0.14380068) + 693.1978)) / (x0 + 40.129097),0.005148610501199759,x18*(693.1978 - 0.14380068*log((-1.2972975 + 1/(x9 - 1/x9**2))**2)**2)/(x0 + 40.129097),PySRFunction(X=>x18*(693.1978 - 0.14380068*log((-1.2972975 + 1/(x9 - 1/x9**2))**2)**2)/(x0 + 40.129097))
22,199.99261,x18 * (((square(log(square(inv(sqrt(square(x9 - inv(x9)))) - 1.7142862))) * -0.14380601) + 704.8896) / (x0 + 40.462185)),0.10486023705868226,x18*(704.8896 - 0.14380601*log((-1.7142862 + 1/sqrt((x9 - 1/x9)**2))**2)**2)/(x0 + 40.462185),PySRFunction(X=>x18*(704.8896 - 0.14380601*log((-1.7142862 + 1/sqrt((x9 - 1/x9)**2))**2)**2)/(x0 + 40.462185))
