complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,11697.47,111.365555,0.0,111.365555000000,PySRFunction(X=>111.365555000000),111.365555
2,3919.7725,exp(x3),1.093338962700431,exp(x3),PySRFunction(X=>exp(x3)),exp((sqrt(t)))
3,510.42654,x18 * 11.911472,2.038542166274775,x18*11.911472,PySRFunction(X=>x18*11.911472),(t - sqrt(t)) * 11.911472
5,476.09122,x18 * (x9 + 10.849511),0.0348186272923848,x18*(x9 + 10.849511),PySRFunction(X=>x18*(x9 + 10.849511)),(t - sqrt(t)) * ((C_pg / C_eth) + 10.849511)
6,453.43326,(x18 * 63.667297) / log(x7),0.0487613822843095,63.667297*x18/log(x7),PySRFunction(X=>63.667297*x18/log(x7)),((t - sqrt(t)) * 63.667297) / log((C_pg * C_eth))
7,429.3034,(x18 / (x0 + 43.517395)) * 695.0204,0.0546841971735232,x18*695.0204/(x0 + 43.517395),PySRFunction(X=>x18*695.0204/(x0 + 43.517395)),((t - sqrt(t)) / ((C_eth) + 43.517395)) * 695.0204
8,422.09192,x18 * ((57.99954 / log(x7)) + x9),0.0169407848467942,x18*(x9 + 57.99954/log(x7)),PySRFunction(X=>x18*(x9 + 57.99954/log(x7))),(t - sqrt(t)) * ((57.99954 / log((C_pg * C_eth))) + (C_pg / C_eth))
9,406.66498,(x18 * 12.369399) + log(square(x13 - x9)),0.0372334087123059,12.369399*x18 + log((x13 - x9)**2),PySRFunction(X=>12.369399*x18 + log((x13 - x9)**2)),((t - sqrt(t)) * 12.369399) + log(square((1-exp(-t)) - (C_pg / C_eth)))
10,400.65723,(x18 * 12.292598) + log(square(x13 - square(x9))),0.0148834277725726,12.292598*x18 + log((x13 - x9**2)**2),PySRFunction(X=>12.292598*x18 + log((x13 - x9**2)**2)),((t - sqrt(t)) * 12.292598) + log(square((1-exp(-t)) - square((C_pg / C_eth))))
11,382.016,((x9 + 11.307174) * x18) + log(square(x9 - x13)),0.0476437811908505,x18*(x9 + 11.307174) + log((-x13 + x9)**2),PySRFunction(X=>x18*(x9 + 11.307174) + log((-x13 + x9)**2)),(((C_pg / C_eth) + 11.307174) * (t - sqrt(t))) + log(square((C_pg / C_eth) - (1-exp(-t))))
12,313.74463,x18 * (((log(square(log(x9))) + 44.91541) / x0) + 9.359689),0.1968831177845122,x18*(9.359689 + (log(log(x9)**2) + 44.91541)/x0),PySRFunction(X=>x18*(9.359689 + (log(log(x9)**2) + 44.91541)/x0)),(t - sqrt(t)) * (((log(square(log((C_pg / C_eth)))) + 44.91541) / (C_eth)) + 9.359689)
14,307.71637,(((log(square(log(x9))) * 4.321617) + 773.81946) * x18) / (x0 + 46.93369),0.0097004463394188,x18*(4.321617*log(log(x9)**2) + 773.81946)/(x0 + 46.93369),PySRFunction(X=>x18*(4.321617*log(log(x9)**2) + 773.81946)/(x0 + 46.93369)),(((log(square(log((C_pg / C_eth)))) * 4.321617) + 773.81946) * (t - sqrt(t))) / ((C_eth) + 46.93369)
15,302.85028,((square(log(square(log(x9)))) * -0.12208482) + 746.34894) * (x18 / (x0 + 45.499596)),0.0159399241061986,x18*(746.34894 - 0.12208482*log(log(x9)**2)**2)/(x0 + 45.499596),PySRFunction(X=>x18*(746.34894 - 0.12208482*log(log(x9)**2)**2)/(x0 + 45.499596)),((square(log(square(log((C_pg / C_eth))))) * -0.12208482) + 746.34894) * ((t - sqrt(t)) / ((C_eth) + 45.499596))
16,301.81296,((square(log(square(log(inv(x9))))) * -0.12903388) + 735.0453) * (x18 / (x0 + 44.57456)),0.0034310702189594,x18*(735.0453 - 0.12903388*log(log(1/x9)**2)**2)/(x0 + 44.57456),PySRFunction(X=>x18*(735.0453 - 0.12903388*log(log(1/x9)**2)**2)/(x0 + 44.57456)),((square(log(square(log(inv((C_pg / C_eth)))))) * -0.12903388) + 735.0453) * ((t - sqrt(t)) / ((C_eth) + 44.57456))
17,267.4812,(x18 * ((log(square(-1.5751071 - inv(log(x9)))) * -4.516326) + 757.7945)) / (x0 + 45.732212),0.1207582042652284,x18*(757.7945 - 4.516326*log((-1.5751071 - 1/log(x9))**2))/(x0 + 45.732212),PySRFunction(X=>x18*(757.7945 - 4.516326*log((-1.5751071 - 1/log(x9))**2))/(x0 + 45.732212)),((t - sqrt(t)) * ((log(square(-1.5751071 - inv(log((C_pg / C_eth))))) * -4.516326) + 757.7945)) / ((C_eth) + 45.732212)
