restored_equation,complexity_recomputed,loss
(C_eth * log(t)),4,10888.009
exp((sqrt(t))),4,3948.237
(t - sqrt(t) + exp(-t)) * 11.942617,15,493.95618
((t - sqrt(t)) * 11.77437) + (exp(C_pg / C_eth)),15,485.62988
(-63.809753 / log((inv(C_pg * C_eth)))) * (t - sqrt(t) + exp(-t)),23,438.1658
(t - sqrt(t) + exp(-t)) * (((C_pg * C_eth) * -0.011393888) + 14.49453),18,394.03223
((square((C_pg * C_eth)) * -2.5380616e-5) + 13.333269) * (t - sqrt(t) + exp(-t)),22,374.771
(t - sqrt(t) + exp(-t)) * ((sqrt((inv(inv(C_pg * C_eth)))) * 1.9708812) + ((C_pg * C_eth) * -0.07682538)),24,347.16757
(t - sqrt(t) + exp(-t)) * (((inv(inv(C_pg * C_eth))) * -0.032375574) + ((-960.3599 / (C_pg * C_eth)) + 23.9133)),26,334.33908
(t - sqrt(t) + exp(-t)) * ((sqrt((inv(inv(C_pg * C_eth)))) * -1.2699147) + (37.616993 + (-1401.5497 / (C_pg * C_eth)))),29,331.29382
((C_eth) + ((((inv(inv(C_pg * C_eth))) * -0.0066809715) + 2.8179355) * (C_pg))) * ((t - sqrt(t) + exp(-t)) * 0.35288402),26,319.87143
(t - sqrt(t) + exp(-t)) * (((inv(inv(C_pg * C_eth))) * -0.08097794) + (((C_eth) + (sqrt((C_pg)) * 8.821154)) + -18.900698)),24,316.78534
((((C_pg * C_eth) * -0.0385792) + sqrt(inv(24.923012 - (C_pol)) + (inv(inv(C_pg * C_eth))))) * (t - sqrt(t) + exp(-t))) * 1.9768325,31,289.70157
((inv((24.89669 - (C_pol)) * (C_pg)) + sqrt((C_pg * C_eth))) + ((inv(inv(C_pg * C_eth))) * -0.039275162)) * ((t - sqrt(t) + exp(-t)) * 2.0531404),37,264.69086
((t - sqrt(t) + exp(-t)) * 2.0515687) * ((inv((24.897438 - (C_pol)) * (C_pg)) + ((inv(inv(C_pg * C_eth))) * -0.0396406)) + sqrt((exp(C_pg / C_eth)) + (C_pg * C_eth))),44,255.0045
