,MI,Lasso
C_pol,0.0,0.0
C_eth,0.0,0.0
C_pg,0.0,0.0
t,1.6425390815643448,60.74643307406171
sqrt(t),1.6343359577735648,0.0
log(t),1.6210177457753248,0.0
1/t,1.6102841140431623,0.0
exp(-t),1.2786282702015173,0.0
1-exp(-t),1.2783725605383924,0.0
C_pg * C_eth,0.0,6.477600173073743
C_pg * C_pol,0.0,0.0
C_eth * C_pol,0.0,0.0
C_pg / C_pol,0.0,0.0
C_pg / C_eth,0.0,0.0
C_eth / C_pol,0.0,0.0
C_pg^2,0.0,0.0
C_eth^2,0.0,0.0
C_pol^2,0.0,0.0
C_pg * log(t),1.1773927492637655,0.0
C_pg * log(t),1.1701390665670002,2.535587354772634
C_eth * log(t),1.3423598728204742,0.0
C_pg * log(t),1.301714319901012,0.0
C_eth * t,1.3861021188918943,0.0
C_pg * t,1.4132865741747174,1.425753922131546
log(C_pg / C_eth),0.0,0.0
sqrt(C_pg / C_eth),0.0,0.0
t - sqrt(t),1.6425390815643448,33.24857578909689
exp(C_pg / C_eth),0.0,1.9971943484522832
C_pg * -0.3741939,0.0,0.0
C_pg * -0.37614924,0.0,0.0
t - sqrt(t) + exp(-t),1.6425390815643448,12.262203532503138
log(C_pg * C_eth),0.0,0.0
inv(C_pg * C_eth),0.0,1.6501730683508937
log(inv(C_pg * C_eth)),0.0,0.0
exp(inv(C_pg * C_eth)),0.0,4.667500679876691
inv(inv(C_pg * C_eth)),0.0,4.843101412797043
sqrt(exp(C_pg / C_eth)),0.0,0.0
sqrt(C_pg * C_eth),0.0,0.0
sqrt(inv(inv(C_pg * C_eth))),0.0,0.0
