complexity,loss,equation,score,sympy_format,lambda_format
1,10888.009,x3,0.0,x3,PySRFunction(X=>x3)
2,3948.237,exp(x13),1.0143929417822932,exp(x13),PySRFunction(X=>exp(x13))
3,576.34656,x8 * 9.44371,1.924315282713019,x8*9.44371,PySRFunction(X=>x8*9.44371)
5,479.7468,(x8 * 10.156036) - x5,0.09172534085443616,-x5 + x8*10.156036,PySRFunction(X=>-x5 + x8*10.156036)
7,461.74023,(x8 - (x0 * 0.0065854993)) * 10.1438675,0.01912800225249434,(-0.0065854993*x0 + x8)*10.1438675,PySRFunction(X=>(-0.0065854993*x0 + x8)*10.1438675)
8,406.55365,square((-0.007377929 * x0) + (x13 * 3.4163024)),0.12728655962084465,(-0.007377929*x0 + x13*3.4163024)**2,PySRFunction(X=>(-0.007377929*x0 + x13*3.4163024)**2)
9,395.67368,(x8 - x13) * (14.497121 - (x0 * 0.011398683)),0.027126069456520806,(14.497121 - 0.011398683*x0)*(-x13 + x8),PySRFunction(X=>(14.497121 - 0.011398683*x0)*(-x13 + x8))
10,368.01797,(x8 - x13) * ((1.4291301e-7 / log(x11)) + 12.359054),0.07245806264406145,(12.359054 + 1.4291301e-7/log(x11))*(-x13 + x8),PySRFunction(X=>(12.359054 + 1.4291301e-7/log(x11))*(-x13 + x8))
11,365.88702,((1.4405121e-7 / log(x11)) + 12.462354) * square(x13 + -0.54816633),0.00580717127578375,(12.462354 + 1.4405121e-7/log(x11))*(x13 - 0.54816633)**2,PySRFunction(X=>(12.462354 + 1.4405121e-7/log(x11))*(x13 - 0.54816633)**2)
12,341.07758,square((-110.463936 / x0) + x13) * ((x0 * -0.024798347) - -17.674097),0.07021463848363967,(x13 - 110.463936/x0)**2*(x0*(-0.024798347) - 1*(-17.674097)),PySRFunction(X=>(x13 - 110.463936/x0)**2*(x0*(-0.024798347) - 1*(-17.674097)))
13,318.75742,((1.3709085e-7 / log(x11)) + 12.117202) * square((x5 * -0.032333598) + x13),0.06767958410595674,(12.117202 + 1.3709085e-7/log(x11))*(x13 - 0.032333598*x5)**2,PySRFunction(X=>(12.117202 + 1.3709085e-7/log(x11))*(x13 - 0.032333598*x5)**2)
14,306.81516,(12.117202 + (1.3719279e-7 / log(sqrt(x11)))) * square((-0.032333598 * x5) + x13),0.03818489306219996,(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(x13 - 0.032333598*x5)**2,PySRFunction(X=>(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(x13 - 0.032333598*x5)**2)
15,306.80606,(12.117202 + (1.3719279e-7 / log(sqrt(x11)))) * square((sqrt(x0) * -0.032333598) + x13),2.9659991225987038e-05,(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(-0.032333598*sqrt(x0) + x13)**2,PySRFunction(X=>(12.117202 + 1.3719279e-7/log(sqrt(x11)))*(-0.032333598*sqrt(x0) + x13)**2)
16,305.17902,(((1.317249e-7 / log(sqrt(x11))) + 12.356144) * square((x5 * -0.031632666) + x13)) - x13,0.005317266340818665,-x13 + (12.356144 + 1.317249e-7/log(sqrt(x11)))*(x13 - 0.031632666*x5)**2,PySRFunction(X=>-x13 + (12.356144 + 1.317249e-7/log(sqrt(x11)))*(x13 - 0.031632666*x5)**2)
17,295.2134,square(x13 + ((inv(x11 - 1.0288233) + -87.97476) / x0)) * ((x0 * -0.022605736) - -16.723907),0.033200070588807445,(x13 + (-87.97476 + 1/(x11 - 1*1.0288233))/x0)**2*(x0*(-0.022605736) - 1*(-16.723907)),PySRFunction(X=>(x13 + (-87.97476 + 1/(x11 - 1*1.0288233))/x0)**2*(x0*(-0.022605736) - 1*(-16.723907)))
18,273.26297,square(x13 + (-0.4981003 + (inv(square(x11) - 1.0140178) / x0))) * ((x0 * -0.016146982) - -15.692557),0.0772638930290709,(x0*(-0.016146982) - 1*(-15.692557))*(x13 - 0.4981003 + 1/(x0*(x11**2 - 1*1.0140178)))**2,PySRFunction(X=>(x0*(-0.016146982) - 1*(-15.692557))*(x13 - 0.4981003 + 1/(x0*(x11**2 - 1*1.0140178)))**2)
19,271.44897,square((x13 + (inv(square(square(x11)) - 1.0161179) / x0)) + -0.51855063) * ((x0 * -0.01459371) - -15.474994),0.0066604257139672,(x0*(-0.01459371) - 1*(-15.474994))*(x13 - 0.51855063 + 1/(x0*(x11**4 - 1*1.0161179)))**2,PySRFunction(X=>(x0*(-0.01459371) - 1*(-15.474994))*(x13 - 0.51855063 + 1/(x0*(x11**4 - 1*1.0161179)))**2)
20,262.61066,square((x13 + -0.51172507) + (inv(square(x11) - 1.0139426) / x0)) * ((x11 + (x0 * -0.01597858)) - -14.693828),0.03310161080279465,(x13 - 0.51172507 + 1/(x0*(x11**2 - 1*1.0139426)))**2*(x0*(-0.01597858) + x11 - 1*(-14.693828)),PySRFunction(X=>(x13 - 0.51172507 + 1/(x0*(x11**2 - 1*1.0139426)))**2*(x0*(-0.01597858) + x11 - 1*(-14.693828)))
21,258.49026,(x11 + ((x0 * -0.014599316) - -14.551714)) * square((x13 + (inv(square(square(x11)) - 1.0167356) / x0)) + -0.5398745),0.015814540782397576,(x13 - 0.5398745 + 1/(x0*(x11**4 - 1*1.0167356)))**2*(x0*(-0.014599316) + x11 - 1*(-14.551714)),PySRFunction(X=>(x13 - 0.5398745 + 1/(x0*(x11**4 - 1*1.0167356)))**2*(x0*(-0.014599316) + x11 - 1*(-14.551714)))
22,256.4568,((x11 + (x0 * -0.014689064)) - -14.34238) * square((x13 + ((inv(square(x11) - 1.0126734) * 0.76443255) / x0)) + -0.5066747),0.007897784948013251,(x13 - 0.5066747 + 0.76443255/((x11**2 - 1*1.0126734)*x0))**2*(x0*(-0.014689064) + x11 - 1*(-14.34238)),PySRFunction(X=>(x13 - 0.5066747 + 0.76443255/((x11**2 - 1*1.0126734)*x0))**2*(x0*(-0.014689064) + x11 - 1*(-14.34238)))
23,253.40523,square((((inv(square(square(x11)) - 1.0191716) + -39.943943) / x0) + -0.32940555) + x13) * (x11 + ((x0 * -0.01884302) - -15.40662)),0.011970322394277472,(x13 - 0.32940555 + (-39.943943 + 1/(x11**4 - 1*1.0191716))/x0)**2*(x0*(-0.01884302) + x11 - 1*(-15.40662)),PySRFunction(X=>(x13 - 0.32940555 + (-39.943943 + 1/(x11**4 - 1*1.0191716))/x0)**2*(x0*(-0.01884302) + x11 - 1*(-15.40662)))
24,250.93741,square(((inv((square(x11) - 1.0133965) * 1.3960525) + -39.83318) / x0) + (x13 + -0.3298363)) * (((x0 * -0.019531477) - -15.536398) + x11),0.009786361493524154,(x13 - 0.3298363 + (-39.83318 + 0.716305439802586/(x11**2 - 1*1.0133965))/x0)**2*(x0*(-0.019531477) + x11 - 1*(-15.536398)),PySRFunction(X=>(x13 - 0.3298363 + (-39.83318 + 0.716305439802586/(x11**2 - 1*1.0133965))/x0)**2*(x0*(-0.019531477) + x11 - 1*(-15.536398)))
