complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,complexity_breakdown_str,is_pareto_front
1,10888.009,x13,0.0,x13,PySRFunction(X=>x13),(C_eth * log(t)),4,"{'operations': {'*': 1}, 'functions': {'log': 1}, 'variables': {'t': 1, 'C_eth': 1}}",False
2,3948.237,exp(x19),1.0143929417822932,exp(x19),PySRFunction(X=>exp(x19)),exp((sqrt(t))),3,"{'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 1}}",True
3,493.95618,x0 * 11.942498,2.0785776203467483,x0*11.942498,PySRFunction(X=>x0*11.942498),(t - sqrt(t) + exp(-t)) * 11.942498,10,"{'constants': ['11.942498'], 'operations': {'+': 1, '-': 2, '*': 1}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 3}}",True
5,485.62988,(x17 * 11.77437) + x12,0.0085000194112688,x12 + x17*11.77437,PySRFunction(X=>x12 + x17*11.77437),((t - sqrt(t)) * 11.77437) + (exp(C_pg / C_eth)),11,"{'constants': ['11.77437'], 'operations': {'+': 1, '-': 1, '*': 1, '/': 1}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 2, 'C_eth': 1, 'C_pg': 1}}",True
6,438.1658,x0 * (63.809753 / log(x2)),0.1028493924159804,63.809753*x0/log(x2),PySRFunction(X=>63.809753*x0/log(x2)),(t - sqrt(t) + exp(-t)) * (63.809753 / log((C_pg * C_eth))),15,"{'constants': ['63.809753'], 'operations': {'+': 1, '-': 2, '*': 2, '/': 1}, 'functions': {'exp': 1, 'log': 1, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
7,394.0322,x0 * ((x2 * -0.011395627) - -14.494933),0.1061647457146103,x0*(x2*(-0.011395627) - 1*(-14.494933)),PySRFunction(X=>x0*(x2*(-0.011395627) - 1*(-14.494933))),(t - sqrt(t) + exp(-t)) * (((C_pg * C_eth) * -0.011395627) - -14.494933),16,"{'constants': ['-0.011395627', '-14.494933'], 'operations': {'+': 1, '-': 3, '*': 3}, 'functions': {'exp': 1, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
8,374.771,x0 * ((square(x2) * -2.5378868e-5) - -13.333137),0.0501174590759683,x0*(x2**2*(-2.5378868e-5) - 1*(-13.333137)),PySRFunction(X=>x0*(x2**2*(-2.5378868e-5) - 1*(-13.333137))),(t - sqrt(t) + exp(-t)) * ((square((C_pg * C_eth)) * -2.5378868e-5) - -13.333137),17,"{'constants': ['-2.5378868e-5', '-13.333137'], 'operations': {'+': 1, '-': 3, '*': 3}, 'functions': {'exp': 1, 'sqrt': 1, 'square': 1}, 'variables': {'t': 3, 'C_eth': 1, 'C_pg': 1}}",True
10,347.1678,((x2 * -0.07682302) - (sqrt(x10) * -1.9708437)) * x0,0.0382534681104999,x0*(1.9708437*sqrt(x10) - 0.07682302*x2),PySRFunction(X=>x0*(1.9708437*sqrt(x10) - 0.07682302*x2)),(((C_pg * C_eth) * -0.07682302) - (sqrt((inv(inv(C_pg * C_eth)))) * -1.9708437)) * (t - sqrt(t) + exp(-t)),23,"{'constants': ['-0.07682302', '-1.9708437'], 'operations': {'+': 1, '-': 3, '*': 5}, 'functions': {'exp': 1, 'sqrt': 2, 'inv': 2}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",False
11,334.28418,(((x11 * -949.0297) + (x10 * -0.03224266)) - -972.86957) * x0,0.0378167670076008,x0*(x10*(-0.03224266) + x11*(-949.0297) - 1*(-972.86957)),PySRFunction(X=>x0*(x10*(-0.03224266) + x11*(-949.0297) - 1*(-972.86957))),((((exp(inv(C_pg * C_eth))) * -949.0297) + ((inv(inv(C_pg * C_eth))) * -0.03224266)) - -972.86957) * (t - sqrt(t) + exp(-t)),26,"{'constants': ['-949.0297', '-0.03224266', '-972.86957'], 'operations': {'+': 2, '-': 3, '*': 5}, 'functions': {'exp': 2, 'sqrt': 1, 'inv': 3}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",False
12,329.05692,(((-3854.2861 / x2) + -83.033714) + (609.0649 / log(x2))) * x0,0.0157607246227498,x0*(-83.033714 + 609.0649/log(x2) - 3854.2861/x2),PySRFunction(X=>x0*(-83.033714 + 609.0649/log(x2) - 3854.2861/x2)),(((-3854.2861 / (C_pg * C_eth)) + -83.033714) + (609.0649 / log((C_pg * C_eth)))) * (t - sqrt(t) + exp(-t)),23,"{'constants': ['-3854.2861', '-83.033714', '609.0649'], 'operations': {'+': 3, '-': 2, '*': 3, '/': 2}, 'functions': {'exp': 1, 'log': 1, 'sqrt': 1}, 'variables': {'t': 3, 'C_eth': 2, 'C_pg': 2}}",True
