complexity,loss,equation,score,sympy_format,lambda_format,restored_equation,restored_complexity,ops_only_complexity
2,3948.237,exp(x19),1.0143929417822932,exp(x19),PySRFunction(X=>exp(x19)),exp((sqrt(t))),3,2
5,485.62988,(x17 * 11.77437) + x12,0.0085000194112688,x12 + x17*11.77437,PySRFunction(X=>x12 + x17*11.77437),((t - sqrt(t)) * 11.77437) + (exp(C_pg / C_eth)),13,7
7,394.03223,x0 * ((x2 * -0.011393888) + 14.49453),0.1061646695787033,x0*(14.49453 + x2*(-0.011393888)),PySRFunction(X=>x0*(14.49453 + x2*(-0.011393888))),(t - sqrt(t) + exp(-t)) * (((C_pg * C_eth) * -0.011393888) + 14.49453),17,10
8,374.771,((square(x2) * -2.5380616e-5) + 13.333269) * x0,0.0501175352118752,x0*(13.333269 + x2**2*(-2.5380616e-5)),PySRFunction(X=>x0*(13.333269 + x2**2*(-2.5380616e-5))),((square((C_pg * C_eth)) * -2.5380616e-5) + 13.333269) * (t - sqrt(t) + exp(-t)),18,11
10,347.16757,x0 * ((sqrt(x10) * 1.9708812) + (x2 * -0.07682538)),0.0382537993625287,x0*(1.9708812*sqrt(x10) - 0.07682538*x2),PySRFunction(X=>x0*(1.9708812*sqrt(x10) - 0.07682538*x2)),(t - sqrt(t) + exp(-t)) * ((sqrt((inv(inv(C_pg * C_eth)))) * 1.9708812) + ((C_pg * C_eth) * -0.07682538)),24,15
11,334.33908,x0 * ((x10 * -0.032375574) + ((-960.3599 / x2) + 23.9133)),0.0376518864650519,x0*(x10*(-0.032375574) + 23.9133 - 960.3599/x2),PySRFunction(X=>x0*(x10*(-0.032375574) + 23.9133 - 960.3599/x2)),(t - sqrt(t) + exp(-t)) * (((inv(inv(C_pg * C_eth))) * -0.032375574) + ((-960.3599 / (C_pg * C_eth)) + 23.9133)),25,15
14,316.78534,x0 * ((x10 * -0.08097794) + ((x18 + (sqrt(x3) * 8.821154)) + -18.900698)),0.0096947501910465,x0*(-0.08097794*x10 + x18 + 8.821154*sqrt(x3) - 18.900698),PySRFunction(X=>x0*(-0.08097794*x10 + x18 + 8.821154*sqrt(x3) - 18.900698)),(t - sqrt(t) + exp(-t)) * (((inv(inv(C_pg * C_eth))) * -0.08097794) + (((C_eth) + (sqrt((C_pg)) * 8.821154)) + -18.900698)),26,16
15,289.70157,(((x2 * -0.0385792) + sqrt(inv(24.923012 - x1) + x10)) * x0) * 1.9768325,0.0893730594570146,1.9768325*x0*(-0.0385792*x2 + sqrt(x10 + 1/(24.923012 - x1))),PySRFunction(X=>1.9768325*x0*(-0.0385792*x2 + sqrt(x10 + 1/(24.923012 - x1)))),((((C_pg * C_eth) * -0.0385792) + sqrt(inv(24.923012 - (C_pol)) + (inv(inv(C_pg * C_eth))))) * (t - sqrt(t) + exp(-t))) * 1.9768325,29,19
17,264.69086,((inv((24.89669 - x1) * x3) + sqrt(x2)) + (x10 * -0.039275162)) * (x0 * 2.0531404),0.0451443725896599,2.0531404*x0*(-0.039275162*x10 + sqrt(x2) + 1/(x3*(24.89669 - x1))),PySRFunction(X=>2.0531404*x0*(-0.039275162*x10 + sqrt(x2) + 1/(x3*(24.89669 - x1)))),((inv((24.89669 - (C_pol)) * (C_pg)) + sqrt((C_pg * C_eth))) + ((inv(inv(C_pg * C_eth))) * -0.039275162)) * ((t - sqrt(t) + exp(-t)) * 2.0531404),35,21
19,255.0045,(x0 * 2.0515687) * ((inv((24.897438 - x1) * x3) + (x10 * -0.0396406)) + sqrt(x12 + x2)),0.0186406934595682,2.0515687*x0*(-0.0396406*x10 + sqrt(x12 + x2) + 1/(x3*(24.897438 - x1))),PySRFunction(X=>2.0515687*x0*(-0.0396406*x10 + sqrt(x12 + x2) + 1/(x3*(24.897438 - x1)))),((t - sqrt(t) + exp(-t)) * 2.0515687) * ((inv((24.897438 - (C_pol)) * (C_pg)) + ((inv(inv(C_pg * C_eth))) * -0.0396406)) + sqrt((exp(C_pg / C_eth)) + (C_pg * C_eth))),40,24
