pop,iters,sigma0,seed,budget,best_Q6,best_Q6_pen,elapsed_sec
50,50,0.1,20251001,2500,2425.7520656513,2425.7520656513,0.4716050624847412
50,50,0.1,20251002,2500,2425.7520656431175,2425.7520656431175,0.4503169059753418
50,50,0.1,20251003,2500,2425.7520622761735,2425.7520622761735,0.4634976387023926
50,50,0.2,20251001,2500,2425.7520655383114,2425.7520655383114,0.4451882839202881
50,50,0.2,20251002,2500,2425.7520656273196,2425.7520656273196,0.460803747177124
50,50,0.2,20251003,2500,2425.7520656582938,2425.7520656582938,0.5102965831756592
50,50,0.4,20251001,2500,2425.752065497033,2425.752065497033,0.4520890712738037
50,50,0.4,20251002,2500,2425.75206537773,2425.75206537773,0.4575228691101074
50,50,0.4,20251003,2500,2425.7520603276594,2425.7520603276594,0.47185564041137695
50,100,0.1,20251001,5000,2425.7520656526017,2425.7520656526017,0.8882756233215332
50,100,0.1,20251002,5000,2425.752065657471,2425.752065657471,0.9165153503417969
50,100,0.1,20251003,5000,2425.7520656569836,2425.7520656569836,0.9700272083282471
50,100,0.2,20251001,5000,2425.752065628364,2425.752065628364,0.9590082168579102
50,100,0.2,20251002,5000,2425.752065657186,2425.752065657186,1.0331637859344482
50,100,0.2,20251003,5000,2425.7520656582938,2425.7520656582938,0.968019962310791
50,100,0.4,20251001,5000,2425.752065639408,2425.752065639408,0.9292020797729492
50,100,0.4,20251002,5000,2425.752065658012,2425.752065658012,0.9366717338562012
50,100,0.4,20251003,5000,2425.752065647292,2425.752065647292,0.9228167533874512
50,200,0.1,20251001,10000,2425.7520656585148,2425.7520656585148,1.9109909534454346
50,200,0.1,20251002,10000,2425.752065658498,2425.752065658498,1.9208528995513916
50,200,0.1,20251003,10000,2425.752065658477,2425.752065658477,1.8965847492218018
50,200,0.2,20251001,10000,2425.7520656585166,2425.7520656585166,1.8831145763397217
50,200,0.2,20251002,10000,2425.752065658517,2425.752065658517,1.8709397315979004
50,200,0.2,20251003,10000,2425.7520656585143,2425.7520656585143,1.9288241863250732
50,200,0.4,20251001,10000,2425.7520656585157,2425.7520656585157,1.92594575881958
50,200,0.4,20251002,10000,2425.752065658517,2425.752065658517,1.9210014343261719
50,200,0.4,20251003,10000,2425.7520656585048,2425.7520656585048,1.8565747737884521
100,50,0.1,20251001,5000,2425.7520656571814,2425.7520656571814,0.9761486053466797
100,50,0.1,20251002,5000,2425.752065644576,2425.752065644576,0.9725215435028076
100,50,0.1,20251003,5000,2425.752065639863,2425.752065639863,0.9419639110565186
100,50,0.2,20251001,5000,2425.75206565455,2425.75206565455,0.9546084403991699
100,50,0.2,20251002,5000,2425.7520656539677,2425.7520656539677,0.931816816329956
100,50,0.2,20251003,5000,2425.7520656540914,2425.7520656540914,1.0790719985961914
100,50,0.4,20251001,5000,2425.752063101209,2425.752063101209,1.171044111251831
100,50,0.4,20251002,5000,2425.752065254463,2425.752065254463,0.9164950847625732
100,50,0.4,20251003,5000,2425.752064948398,2425.752064948398,0.9642271995544434
100,100,0.1,20251001,10000,2425.7520656571814,2425.7520656571814,1.934704303741455
100,100,0.1,20251002,10000,2425.752065657013,2425.752065657013,1.914597988128662
100,100,0.1,20251003,10000,2425.752065639863,2425.752065639863,1.8631393909454346
100,100,0.2,20251001,10000,2425.7520656585075,2425.7520656585075,1.8829834461212158
100,100,0.2,20251002,10000,2425.7520656585107,2425.7520656585107,1.8278329372406006
100,100,0.2,20251003,10000,2425.7520656540914,2425.7520656540914,1.9125890731811523
100,100,0.4,20251001,10000,2425.7520656470833,2425.7520656470833,1.9247562885284424
100,100,0.4,20251002,10000,2425.752065647559,2425.752065647559,1.8442246913909912
100,100,0.4,20251003,10000,2425.7520656461425,2425.7520656461425,1.8344354629516602
100,200,0.1,20251001,20000,2425.7520656585166,2425.7520656585166,3.8409600257873535
100,200,0.1,20251002,20000,2425.752065658508,2425.752065658508,3.8800265789031982
100,200,0.1,20251003,20000,2425.7520656583033,2425.7520656583033,3.7381582260131836
100,200,0.2,20251001,20000,2425.7520656585166,2425.7520656585166,3.935724973678589
100,200,0.2,20251002,20000,2425.7520656585107,2425.7520656585107,3.8839974403381348
100,200,0.2,20251003,20000,2425.7520656585148,2425.7520656585148,4.013998985290527
100,200,0.4,20251001,20000,2425.752065658468,2425.752065658468,3.8210649490356445
100,200,0.4,20251002,20000,2425.7520656585157,2425.7520656585157,3.811267137527466
100,200,0.4,20251003,20000,2425.752065658412,2425.752065658412,3.7430129051208496
200,50,0.1,20251001,10000,2425.75206565422,2425.75206565422,1.861192226409912
200,50,0.1,20251002,10000,2425.7520656348725,2425.7520656348725,1.9117469787597656
200,50,0.1,20251003,10000,2425.752065653963,2425.752065653963,1.9038236141204834
200,50,0.2,20251001,10000,2425.752065658059,2425.752065658059,1.8785698413848877
200,50,0.2,20251002,10000,2425.752065654678,2425.752065654678,1.9212725162506104
200,50,0.2,20251003,10000,2425.752065656479,2425.752065656479,1.9660069942474365
200,50,0.4,20251001,10000,2425.752065593318,2425.752065593318,1.884366512298584
200,50,0.4,20251002,10000,2425.7520652568473,2425.7520652568473,1.890949010848999
200,50,0.4,20251003,10000,2425.7520650590636,2425.7520650590636,1.887319564819336
200,100,0.1,20251001,20000,2425.75206565422,2425.75206565422,3.798231840133667
200,100,0.1,20251002,20000,2425.7520656583883,2425.7520656583883,3.76369571685791
200,100,0.1,20251003,20000,2425.752065653963,2425.752065653963,3.759899139404297
200,100,0.2,20251001,20000,2425.752065658059,2425.752065658059,3.7938859462738037
200,100,0.2,20251002,20000,2425.752065657176,2425.752065657176,3.8447606563568115
200,100,0.2,20251003,20000,2425.752065656479,2425.752065656479,3.7335073947906494
200,100,0.4,20251001,20000,2425.752065593318,2425.752065593318,3.516869306564331
200,100,0.4,20251002,20000,2425.7520656361044,2425.7520656361044,3.7777225971221924
200,100,0.4,20251003,20000,2425.7520656584875,2425.7520656584875,3.9042351245880127
200,200,0.1,20251001,40000,2425.7520656578236,2425.7520656578236,7.521161079406738
200,200,0.1,20251002,40000,2425.7520656585175,2425.7520656585175,7.494009971618652
200,200,0.1,20251003,40000,2425.752065658517,2425.752065658517,7.627070903778076
200,200,0.2,20251001,40000,2425.7520656584466,2425.7520656584466,7.552651405334473
200,200,0.2,20251002,40000,2425.7520656585166,2425.7520656585166,7.549527406692505
200,200,0.2,20251003,40000,2425.752065658516,2425.752065658516,7.698024034500122
200,200,0.4,20251001,40000,2425.7520656549177,2425.7520656549177,6.864254951477051
200,200,0.4,20251002,40000,2425.7520656584256,2425.7520656584256,7.625072240829468
200,200,0.4,20251003,40000,2425.7520656585157,2425.7520656585157,7.558913230895996
