t_h,Q
0.0,0.0
0.01,5.616085202750905
0.02,11.247349814325624
0.03,16.89388834693824
0.04,22.555796207807767
0.05,28.233169710516442
0.06,33.92610608654882
0.07,39.63470349701507
0.08,45.359061044562104
0.09,51.099278785476
0.1,56.8554577419795
0.11,62.627699914728275
0.12,68.4161082955099
0.13,74.22078688014935
0.14,80.04184068162509
0.15,85.87937574339992
0.16,91.73349915297067
0.17,97.60431905564111
0.18,103.49194466852259
0.19,109.39648629476658
0.2,115.31805533803396
0.21,121.25676431720592
0.22,127.2127268813408
0.23,133.18605782488223
0.24,139.1768731031233
0.25,145.1852898479324
0.26,151.21142638374522
0.27,157.25540224382908
0.28,163.31733818682466
0.29,169.39735621357093
0.3,175.49557958421917
0.31,181.61213283564163
0.32,187.74714179914133
0.33,193.90073361846913
0.34,200.07303676815405
0.35000000000000003,206.2641810721538
0.36,212.4742977228321
0.37,218.70351930026914
0.38,224.95197979191303
0.39,231.21981461257863
0.4,237.50716062480143
0.41000000000000003,243.8141561595539
0.42,250.14094103733217
0.43,256.48765658962066
0.44,262.85444568074297
0.45,269.241452730107
0.46,275.6488237348534
0.47000000000000003,282.07670629291505
0.48,288.5252496264975
0.49,294.9946046059887
0.5,301.4849237743081
0.51,307.99636137170376
0.52,314.52907336100856
0.53,321.083217453364
0.54,327.6589531344236
0.55,334.2564416910452
0.56,340.87584623848386
0.5700000000000001,347.51733174809544
0.58,354.18106507556405
0.59,360.8672149896632
0.6,367.5759522015636
0.61,374.30744939470026
0.62,381.0618812552105
0.63,387.839424502957
0.64,394.6402579231483
0.65,401.46456239857076
0.66,408.3125209424461
0.67,415.18431873192895
0.68,422.0801431422586
0.6900000000000001,429.00018378158086
0.7000000000000001,435.94463252645517
0.71,442.91368355806276
0.72,449.9075333991331
0.73,456.926380951604
0.74,463.9704275350344
0.75,471.03987692578585
0.76,478.1349353969923
0.77,485.2558117593364
0.78,492.40271740265086
0.79,499.57586633836627
0.8,506.7754752428234
0.81,514.0017635014733
0.8200000000000001,521.2549532539845
0.8300000000000001,528.5352694402799
0.84,535.8429398475276
0.85,543.1781951581061
0.86,550.5412689985695
0.87,557.9323979896375
0.88,565.3518217972334
0.89,572.7997831845988
0.9,580.2765280655099
0.91,587.7823055586217
0.92,595.3173680429719
0.93,602.8819712146694
0.9400000000000001,610.4763741447996
0.9500000000000001,618.1008393385766
0.96,625.7556327957732
0.97,633.4410240724619
0.98,641.1572863440999
0.99,648.9046964699913
1.0,656.6835350591637
1.01,664.4940865376941
1.02,672.3366392175213
1.03,680.2114853667842
1.04,688.1189212817237
1.05,696.059247360191
1.06,704.0327681768025
1.07,712.0397925597848
1.08,720.0806336695534
1.09,728.1556090790729
1.1,736.2650408560414
1.11,744.4092556469528
1.12,752.5885847630808
1.1300000000000001,760.8033642684409
1.1400000000000001,769.053935069779
1.1500000000000001,777.3406430086441
1.16,785.663838955598
1.17,794.0238789066209
1.18,802.4211240817724
1.19,810.8559410261671
1.2,819.3287017133291
1.21,827.8397836509897
1.22,836.389569989393
1.23,844.9784496321797
1.24,853.6068173499198
1.25,862.2750738963642
1.26,870.9836261274924
1.27,879.7328871234321
1.28,888.5232763133298
1.29,897.3552196032546
1.3,906.2291495072176
1.31,915.1455052813953
1.32,924.1047330616451
1.33,933.1072860044032
1.34,942.1536244310616
1.35,951.2442159759197
1.36,960.3795357378103
1.37,969.5600664355048
1.3800000000000001,978.7862985669997
1.3900000000000001,988.0587305727985
1.4000000000000001,997.3778690032965
1.41,1006.7442286903859
1.42,1016.1583329234007
1.43,1025.6207136295222
1.44,1035.1319115587708
1.45,1044.6924764737134
1.46,1054.3029673440212
1.47,1063.9639525460104
1.48,1073.6760100673102
1.49,1083.4397277168007
1.5,1093.2557033399673
1.51,1103.124545039828
1.52,1113.0468714035858
1.53,1123.0233117351675
1.54,1133.0545062938172
1.55,1143.1411065389077
1.56,1153.2837753811475
1.57,1163.4831874403594
1.58,1173.7400293100116
1.59,1184.0549998286897
1.6,1194.4288103586987
1.61,1204.8621850719896
1.62,1215.3558612436136
1.6300000000000001,1225.9105895528996
1.6400000000000001,1236.5271343925738
1.6500000000000001,1247.2062741860218
1.6600000000000001,1257.9488017129197
1.67,1268.7555244434445
1.68,1279.6272648812956
1.69,1290.564860915748
1.7,1301.5691661829715
1.71,1312.6410504368446
1.72,1323.7813999295076
1.73,1334.991117801879
1.74,1346.2711244843895
1.75,1357.6223581081624
1.76,1369.045774926891
1.77,1380.5423497496474
1.78,1392.1130763848669
1.79,1403.758968095746
1.8,1415.4810580672897
1.81,1427.28039988524
1.82,1439.1580680271138
1.83,1451.1151583655687
1.84,1463.152788684312
1.85,1475.2720992067523
1.86,1487.4742531375878
1.87,1499.760437217506
1.8800000000000001,1512.1318622911565
1.8900000000000001,1524.5897638885378
1.9000000000000001,1537.1354028199182
1.9100000000000001,1549.7700657843843
1.92,1562.4950659920812
1.93,1575.3117438001784
1.94,1588.221467362553
1.95,1601.225633293143
1.96,1614.3256673428702
1.97,1627.5230250899888
1.98,1640.8191926436366
1.99,1654.2156873603146
2.0,1667.7140585729337
2.0100000000000002,1681.3158883319845
2.02,1695.0227921582891
2.0300000000000002,1708.8364198066838
2.04,1722.7584560398702
2.05,1736.7906214115314
2.06,1750.934673057661
2.07,1765.1924054949025
2.08,1779.5656514244927
2.09,1794.056282540224
2.1,1808.6662103385995
2.11,1823.3973869291224
2.12,1838.2518058423736
2.13,1853.2315028332473
2.14,1868.338556676369
2.15,1883.5750899503596
2.16,1898.943269807206
2.17,1914.4453087225565
