t_h,Q
0.0,0.0
0.01,0.0018669265916107178
0.02,0.0037388991967620116
0.03,0.005615949233667697
0.04,0.007498108418063516
0.05,0.009385408766982925
0.06,0.011277882602592965
0.07,0.01317556255609139
0.08,0.015078481571666212
0.09,0.016986672910518853
0.1,0.01890017015495214
0.11,0.020819007212524374
0.12,0.022743218320270788
0.13,0.024672838048993645
0.14,0.02660790130762237
0.15,0.028548443347645034
0.16,0.03049449976761263
0.17,0.03244610651771753
0.18,0.03440329990444762
0.19,0.03636611659531758
0.2,0.03833459362367883
0.21,0.0403087683936098
0.22,0.042288678684887934
0.23,0.04427436265804528
0.24,0.046265858859509186
0.25,0.04826320622682988
0.26,0.05026644409399669
0.27,0.0522756121968447
0.28,0.054290750678553594
0.29,0.056311900095240716
0.3,0.05833910142165017
0.31,0.06037239605693992
0.32,0.062411825830568965
0.33,0.06445743300828663
0.34,0.06650926029822607
0.35000000000000003,0.06856735085710412
0.36,0.07063174829652986
0.37,0.07270249668942391
0.38,0.07477964057655101
0.39,0.07686322497316815
0.4,0.07895329537579074
0.41000000000000003,0.0810498977690792
0.42,0.08315307863284871
0.43,0.0852628849492046
0.44,0.0873793642098061
0.45,0.08950256442326122
0.46,0.0916325341226556
0.47000000000000003,0.09376932237321808
0.48,0.09591297878012624
0.49,0.09806355349645449
0.5,0.10022109723126837
0.51,0.10238566125786779
0.52,0.10455729742218262
0.53,0.10673605815132417
0.54,0.10892199646229571
0.55,0.1111151659708657
0.56,0.11331562090060729
0.5700000000000001,0.1155234160921079
0.58,0.11773860701235248
0.59,0.11996124976428457
0.6,0.12219140109654895
0.61,0.12442911841342014
0.62,0.12667445978492078
0.63,0.12892748395713452
0.64,0.13118825036271733
0.65,0.13345681913161236
0.66,0.1357332511019725
0.67,0.13801760783129585
0.68,0.14030995160777857
0.6900000000000001,0.14261034546189058
0.7000000000000001,0.14491885317817896
0.71,0.1472355393073045
0.72,0.14956046917831697
0.73,0.15189370891117418
0.74,0.1542353254295114
0.75,0.15658538647366638
0.76,0.1589439606139661
0.77,0.16131111726428196
0.78,0.16368692669585913
0.79,0.1660714600514271
0.8,0.16846478935959794
0.81,0.17086698754955945
0.8200000000000001,0.17327812846606985
0.8300000000000001,0.1756982868847618
0.84,0.17812753852776303
0.85,0.18056596007964135
0.86,0.18301362920368192
0.87,0.185470624558505
0.88,0.1879370258150325
0.89,0.19041291367381205
0.9,0.1928983698827073
0.91,0.1953934772549637
0.92,0.19789831968765884
0.93,0.2004129821805475
0.9400000000000001,0.2029375508553108
0.9500000000000001,0.20547211297521956
0.96,0.20801675696522312
0.97,0.21057157243247338
0.98,0.21313665018729575
0.99,0.21571208226461822
1.0,0.2182979619458702
1.01,0.22089438378136342
1.02,0.22350144361316684
1.03,0.2261192385984888
1.04,0.22874786723357912
1.05,0.2313874293781651
1.06,0.23403802628043469
1.07,0.23669976060258185
1.08,0.23937273644692814
1.09,0.2420570593826361
1.1,0.24475283647302992
1.11,0.24746017630353928
1.12,0.250179189010283
1.1300000000000001,0.2529099863093096
1.1400000000000001,0.2556526815265118
1.1500000000000001,0.25840738962823384
1.16,0.2611742272525889
1.17,0.26395331274150696
1.18,0.2667447661735322
1.19,0.26954870939738956
1.2,0.27236526606634265
1.21,0.2751945616733632
1.22,0.2780367235871348
1.23,0.2808918810889135
1.24,0.28376016541026855
1.25,0.28664170977172765
1.26,0.28953664942235124
1.27,0.29244512168026165
1.28,0.29536726597415325
1.29,0.2983032238858106
1.3,0.301253139193663
1.31,0.3042171579174032
1.32,0.30719542836370145
1.33,0.3101881011730431
1.34,0.3131953293677232
1.35,0.31621726840102954
1.36,0.3192540762076466
1.37,0.3223059132553162
1.3800000000000001,0.32537294259778843
1.3900000000000001,0.3284553299291004
1.4000000000000001,0.33155324363921934
1.41,0.3346668548710882
1.42,0.33779633757911437
1.43,0.3409418685891406
1.44,0.34410362765994124
1.45,0.3472817975462856
1.46,0.35047656406361355
1.47,0.35368811615436824
1.48,0.3569166459560326
1.49,0.36016234887091786
1.5,0.36342542363775293
1.51,0.366706072405126
1.52,0.3700045008068293
1.53,0.37332091803916123
1.54,0.37665553694024034
1.55,0.38000857407138694
1.56,0.3833802498006305
1.57,0.3867707883884017
1.58,0.39018041807546916
1.59,0.39360937117318356
1.6,0.3970578841560917
1.61,0.400526197756986
1.62,0.4040145570644552
1.6300000000000001,0.4075232116230044
1.6400000000000001,0.411052415535813
1.6500000000000001,0.41460242757020144
1.6600000000000001,0.41817351126587826
1.67,0.4217659350460407
1.68,0.4253799723314031
1.69,0.4290159016572284
1.7,0.43267400679343926
1.71,0.4363545768678867
1.72,0.44005790649285426
1.73,0.4437842958948764
1.74,0.4475340510479517
1.75,0.4513074838102301
1.76,0.4551049120642551
1.77,0.45892665986083997
1.78,0.46277305756665976
1.79,0.46664444201563665
1.8,0.470541156664198
1.81,0.4744635517504844
1.82,0.47841198445758254
1.83,0.4823868190808569
1.84,0.48638842719945047
1.85,0.4904171878520219
1.86,0.49447348771678273
1.87,0.4985577212958937
1.8800000000000001,0.5026702911042727
1.8900000000000001,0.5068116078628626
1.9000000000000001,0.5109820906963973
1.9100000000000001,0.5151821673356988
1.92,0.5194122743245252
1.93,0.5236728572309817
