t_h,Q
0.0,0.0
0.01,1.820477484592203
0.02,3.645875142522048
0.03,5.4762236068093975
0.04,7.31155380054466
0.05,9.151896940569817
0.06,10.99728454121804
0.07,12.847748418113024
0.08,14.70332069202915
0.09,16.564033792813674
0.1,18.42992046337213
0.11,20.301013763718128
0.12,22.177347075088857
0.13,24.05895410412751
0.14,25.94586888713396
0.15,27.838125794385025
0.16,29.735759534525666
0.17,31.638805159032508
0.18,33.54729806675115
0.19,35.46127400850865
0.2,37.380769091802755
0.21,39.30581978556932
0.22,41.236462925029585
0.23,43.17273571661873
0.24,45.11467574299757
0.25,47.06232096814883
0.26,49.01570974255991
0.27,50.97488080849374
0.28,52.939873305349536
0.29,54.91072677511547
0.3,56.88748116791482
0.31,58.87017684764777
0.32,60.85885459773074
0.33,62.853555626935226
0.34,64.85432157532824
0.35000000000000003,66.86119452031654
0.36,68.87421698279658
0.37,70.89343193341266
0.38,72.91888279892542
0.39,74.95061346869291
0.4,76.98866830126677
0.41000000000000003,79.0330921311059
0.42,81.08393027541004
0.43,83.14122854107586
0.44,85.2050332317783
0.45,87.27539115517959
0.46,89.35234963026889
0.47000000000000003,91.43595649483535
0.48,93.52626011307736
0.49,95.62330938335108
0.5,97.72715374606123
0.51,99.8378431916971
0.52,101.95542826901733
0.53,104.07996009338633
0.54,106.21149035526587
0.55,108.35007132886533
0.56,110.49575588095402
0.5700000000000001,112.64859747983917
0.58,114.80865020451341
0.59,116.97596875397544
0.6,119.15060845672771
0.61,121.3326252804554
0.62,123.52207584189044
0.63,125.71901741686494
0.64,127.92350795055845
0.65,130.13560606794317
0.66,132.3553710844321
0.67,134.58286301673425
0.68,136.81814259392232
0.6900000000000001,139.06127126871695
0.7000000000000001,141.3123112289935
0.71,143.57132540951596
0.72,145.83837750390316
0.73,148.11353197683331
0.74,150.39685407649213
0.75,152.68840984727004
0.76,154.98826614271508
0.77,157.29649063874677
0.78,159.61315184713774
0.79,161.93831912926925
0.8,164.2720627101673
0.81,166.6144536928259
0.8200000000000001,168.96556407282472
0.8300000000000001,171.325466753248
0.84,173.69423555991204
0.85,176.07194525690903
0.86,178.45867156247473
0.87,180.85449116518805
0.88,183.25948174051064
0.89,185.67372196767482
0.9,188.09729154692886
0.91,190.53027121714788
0.92,192.97274277382002
0.93,195.42478908741685
0.9400000000000001,197.88649412215818
0.9500000000000001,200.35794295518042
0.96,202.83922179611972
0.97,205.33041800711914
0.98,207.83162012327176
0.99,210.34291787351032
1.0,212.8644022019546
1.01,215.3961652897287
1.02,217.9383005772602
1.03,220.49090278707328
1.04,223.05406794708915
1.05,225.62789341444645
1.06,228.2124778998555
1.07,230.80792149250007
1.08,233.4143256855013
1.09,236.03179340195808
1.1,238.66042902157974
1.11,241.3003384079258
1.12,243.95162893626994
1.1300000000000001,246.61440952210356
1.1400000000000001,249.2887906502972
1.1500000000000001,251.9748844049362
1.16,254.67280449984983
1.17,257.3826663098511
1.18,260.1045869027081
1.19,262.8386850718648
1.2,265.58508136993333
1.21,268.34389814297714
1.22,271.1152595656075
1.23,273.8992916769153
1.24,276.69612241726054
1.25,279.505881665944
1.26,282.32870127978384
1.27,285.1647151326235
1.28,288.0140591557955
1.29,290.8768713795684
1.3,293.7532919756028
1.31,296.643463300446
1.32,299.5475299400935
1.33,302.4656387556461
1.34,305.39793893009465
1.35,308.3445820162629
1.36,311.3057219859415
1.37,314.28151528024557
1.3800000000000001,317.2721208612312
1.3900000000000001,320.27770026480573
1.4000000000000001,323.2984176549677
1.41,326.3344398794147
1.42,329.3859365265569
1.43,332.4530799839767
1.44,335.53604549837354
1.45,338.63501123703793
1.46,341.7501583508961
1.47,344.8816710391702
1.48,348.0297366156994
1.49,351.19454557696844
1.5,354.3762916718925
1.51,357.57517197340655
1.52,360.7913869519105
1.53,364.02514055062215
1.54,367.2766402628914
1.55,370.54609721153
1.56,373.83372623021336
1.57,377.1397459470119
1.58,380.4643788701108
1.59,383.80785147577893
1.6,387.1703942986478
1.61,390.55224202436483
1.62,393.95363358468506
1.6300000000000001,397.37481225506673
1.6400000000000001,400.8160257548394
1.6500000000000001,404.2775263500121
1.6600000000000001,407.7595709587918
1.67,411.26242125988404
1.68,414.78634380364736
1.69,418.33161012617563
1.7,421.8984968663827
1.71,425.4872858861648
1.72,429.0982643937175
1.73,432.7317250700842
1.74,436.3879661990133
1.75,440.0672918002032
1.76,443.77001176601215
1.77,447.49644200171264
1.78,451.2469045693669
1.79,455.0217278354017
1.8,458.82124662195923
1.81,462.6458023620988
1.82,466.49574325892286
1.83,470.37142444870017
1.84,474.2732081680536
1.85,478.20146392527903
1.86,482.15656867585784
1.87,486.13890700221947
1.8800000000000001,490.14887129780686
1.8900000000000001,494.18686195549117
1.9000000000000001,498.2532875603734
1.9100000000000001,502.34856508700545
1.92,506.47312010105003
1.93,510.6273869653912
1.94,514.8118090506935
1.95,519.0268389503934
1.96,523.2729387000945
1.97,527.5505800013136
1.98,531.8602444495133
1.99,536.2024237663269
2.0,540.5776200358628
2.0100000000000002,544.9863459449426
2.02,549.4291250270993
2.0300000000000002,553.9064919101259
2.04,558.4189925669262
2.05,562.9671845693779
2.06,567.5516373448662
2.07,572.1729324351005
2.08,576.8316637567586
2.09,581.5284378634465
2.1,586.263874208383
2.11,591.0386054071425
2.12,595.8532774997004
2.13,600.708550210926
2.14,605.6050972085627
2.15,610.5436063576179
2.16,615.5247799699498
2.17,620.5493350476993
2.18,625.6180035190556
2.19,630.7315324646704
2.2,635.8906843328439
2.21,641.0962371413992
2.22,646.3489846639311
2.23,651.6497365978621
2.24,656.9993187114692
2.25,662.3985729667393
2.2600000000000002,667.8483576145866
2.27,673.3495472586083
2.2800000000000002,678.9030328831644
2.29,684.5097218411471
2.3000000000000003,690.1705377963422
2.31,695.8864206147942
2.32,701.6583261990417
2.33,707.487226258512
2.34,713.3741080087416
2.35,719.3199737914082
2.36,725.3258406064492
2.37,731.392739546765
2.38,737.5217151251888
2.39,743.7138244825369
2.4,749.9701364646326
2.41,756.2917305552392
2.42,762.6796956508244
2.43,769.1351286620431
2.44,775.6591329257456
2.45,782.2528164102309
2.46,788.9172896953634
2.47,795.6536637080756
2.48,802.4630471927259
2.49,809.3465438947654
2.5,816.3052494352473
2.5100000000000002,823.340247852907
2.52,830.4526077898995
2.5300000000000002,837.6433782968548
2.54,844.9135842327506
2.5500000000000003,852.2642212352854
2.56,859.6962502380317
2.57,867.2105915117397
2.58,874.8081182088613
2.59,882.4896493927449
2.6,890.2559425361694
2.61,898.1076854780052
2.62,906.0454878319966
2.63,914.0698718480191
2.64,922.181262733841
2.65,930.3799784544973
2.66,938.6662190369719
2.67,947.040055420037
2.68,955.5014179028658
2.69,964.0500842613784
2.7,972.685667618139
2.71,981.4076041698319
2.72,990.2151408956622
2.73,999.1073233901093
2.74,1008.082983983838
2.75,1017.140730336672
2.7600000000000002,1026.2789347056264
2.77,1035.4957241082682
2.7800000000000002,1044.7889716161783
2.79,1054.1562890239957
2.8000000000000003,1063.5950211453694
2.81,1073.1022419870562
2.82,1082.6747530453597
2.83,1092.309083954236
2.84,1102.0014956910218
2.85,1111.7479865134812
2.86,1121.54430076072
2.87,1131.3859406008708
2.88,1141.268180751229
2.89,1151.186086133077
2.9,1161.1345323556625
2.91,1171.1082288539578
2.92,1181.1017444355605
2.93,1191.1095349262105
2.94,1201.125972543744
2.95,1211.1453765796261
2.96,1221.162044927881
2.97,1231.1702859752234
2.98,1241.164450354765
2.99,1251.13896206943
3.0,1261.088348509976
3.0100000000000002,1271.0072689253586
3.02,1280.8905409484937
3.0300000000000002,1290.7331648360814
3.04,1300.530345144494
3.0500000000000003,1310.2775096319535
3.06,1319.9703252474803
3.0700000000000003,1329.6047111366195
