restored_equation,complexity_recomputed,loss
111.56954,0,11765.351
(t) * 9.443697,1,576.34656
((t) * 10.156036) - (C_eth),3,479.7468
(((t) / (C_eth)) - -7.7413583) * (t),4,452.0698
((t) * (14.012966 - sqrt((C_eth)))) - (C_pg),6,431.16254
((t) * ((29.397648 / (C_eth)) + 8.092503)) - (C_pg),6,430.2894
((t) * (31.542995 / log((C_eth) + 7.6781607))) - (C_pg),6,429.66183
((t) * ((-0.35234854 / ((C_eth) + -14.736261)) + 10.483428)) - (C_eth),7,366.18896
((((C_pg) * (-0.024481725 / ((C_eth) + -14.736261))) + 10.491991) * (t)) - (C_eth),7,344.0619
(((11.411566 - (C_pg)) / (19.01006 / ((C_eth) + -13.863576))) + 10.207312) * ((t) + -1.3202623),8,330.40033
((t) + -1.3172867) * (((11.469513 - (C_pg)) / (((C_pg) / ((C_eth) + -13.591569)) + 0.994731)) + 10.142246),11,326.39496
(t) * (((10.156036 - (C_pg)) / (26.857502 / (inv((C_eth) + -14.820697) + ((C_eth) + -15.071985)))) + 9.649984),10,317.75995
(t) * (((11.151648 - (((C_pg) / ((C_eth) + -15.296131)) + (C_pg))) / (19.925339 / ((C_eth) + -15.779506))) + 10.273093),10,291.74292
(((10.483428 - (C_pg)) / (23.345663 / (((C_eth) + inv((C_eth) + -14.813849)) + -15.209062))) + 10.246358) * ((t) + -1.32414),11,242.93799
((t) + -1.3291862) * (((10.932744 - ((C_pg) + ((C_pg) / (-15.288524 + (C_eth))))) / (19.406082 / ((C_eth) + -15.788489))) + 10.93274),11,216.50095
(((((C_pg) / ((C_eth) + -15.258837)) + (9.39352 - (C_pg))) / (((C_pol) / ((C_eth) + -14.604293)) + -2.112254)) + 10.064977) * ((t) + -1.3183082),14,195.5126
(((10.604904 - ((((C_pg) + -7.391829) / (-15.290134 + (C_eth))) + (C_pg))) / ((20.174345 / ((C_eth) + -16.711681)) + -2.455683)) + 10.604904) * (-1.3210942 + (t)),15,194.86449
((((((C_pg) / ((C_eth) + -15.225302)) + 9.266569) - (C_pg)) / ((24.376303 / ((C_eth) + -14.616643)) + -2.276676)) + 10.321513) * ((inv((t)) + (t)) + -1.7712499),15,187.39972
((((((((C_pg) / ((C_eth) + -15.220599)) + (C_eth)) * ((C_pol) * -0.040153116)) + 23.582836) - (C_pg)) / ((C_pol) / ((C_eth) + -15.892022))) + 11.339801) * ((t) + -1.3246373),13,173.95897
((t) * (((20.234722 - (((((C_pg) + ((C_pol) * -0.18404673)) / ((C_eth) + -15.171272)) + ((C_eth) * 0.60644144)) + (C_pg))) / ((C_pg) / ((C_eth) + -15.681594))) + 11.665971)) - (C_pg),15,164.72421
((t) * (((19.271553 - (((((C_eth) + ((((C_pol) * -0.3272755) + (C_pg)) / ((C_eth) + -15.183248))) * (C_pol)) * 0.023550149) + (C_pg))) / ((C_pg) / ((C_eth) + -16.631844))) + 10.830311)) - (C_pg),16,147.16884
((t) + -1.3202816) * (((20.483572 - ((C_pg) + (((C_pol) * 0.025008759) * (((((C_pol) * -0.33074608) + (C_pg)) / ((C_eth) + -15.173751)) + (C_eth))))) / (((C_pg) / ((C_eth) + -16.842707)) + -1.3315462)) + 10.9589815),18,131.13074
((t) + -1.3202811) * (((20.483572 - ((((C_pol) * 0.025478756) * (((((C_pol) * -0.33073434) + (C_pg)) / ((C_eth) + -15.173938)) + (C_eth))) + (C_pg))) / (((C_pg) * -0.08229664) + ((C_pg) / ((C_eth) + -16.76436)))) + 10.9589815),19,126.02368
((inv((t)) - 1.723062) + (t)) * (((20.446007 - (((C_pol) * ((((((C_pol) * -0.33097667) + (C_pg)) / ((C_eth) + -15.172695)) + (C_eth)) * 0.025042731)) + (C_pg))) / (((C_pg) / ((C_eth) + -16.764359)) + -1.1817721)) + 11.088979),20,123.83414
(((t) + inv((t))) - 1.7105602) * (((20.446016 - ((((C_pol) * ((C_eth) + ((((C_pol) * -0.33102357) + (C_pg)) / ((C_eth) + -15.172693)))) * 0.025330327) + (C_pg))) / (((C_pg) / ((C_eth) + -16.764357)) + ((C_pg) * -0.0822702))) + 11.088998),20,118.79092
