expression_id,complexity,loss
111.559890000000,1,11765.351
t*9.44371,3,576.34656
-c_eth + t*10.156036,5,479.7468
t*(7.7414174 + t/c_eth),7,452.06976
-c_pg + t*(14.013348 - sqrt(c_eth)),8,431.16254
-c_pg + t*(8.092497 + 29.397705/c_eth),9,430.2894
-c_pg + 31.54361*t/log(c_eth + 7.6795297),10,429.662
(12.213403 - 0.00959734*c_eth*c_pg)*(t - 1.3167832),11,403.28787
-c_eth + t*(10.497511 + 0.3493817/(14.740568 - c_eth)),12,366.16473
-c_pg + t*(14.444918 - sqrt(c_eth + 1/(15.065559 - c_eth))),13,329.32172
-c_pg + t*((-c_eth + 1/(c_eth - 1*15.137217))*0.16324186 + 12.91285),14,320.97647
-c_pg + t*(14.379279 - sqrt(c_eth + 1/(-c_eth + c_pg + 0.05908474))),15,303.3271
(t - 1.318355)*((-c_pg + 1/(14.90485 - c_eth))*0.009452844*c_eth + 12.58931),16,299.43307
(12.078711 - 0.00045137823*c_pg*(-c_eth + 1/(c_eth - 1*15.163275))**2)*(t - 1.3601705),17,267.63358
(11.5419655 - c_pg*1.03125670116561e-6*(c_eth - 1/(c_eth - 1*15.194765))**4)*(t - 1.3075786),18,240.73415
(11.204288 - 0.00016895279*c_pg**2*(-c_eth + 12.283231 + 1/(c_eth - 1*15.2348175))**2)*(t - 1.318355),19,229.20853
t*(11.275668 - 0.000145026213838489*(c_pg*(12.253546 - c_eth) + 14.81975/(14.81975 - c_eth))**2) - 13.212745,20,220.0249
t*(11.163061 - ((12.226639 - c_eth)*c_pg*0.011946725 + 1/(c_pol*(14.957137 - c_eth)))**2) - 12.773257,21,215.30588
(10.572559 - (c_eth*c_pg*0.00335865 - 1*0.4457108)*(c_eth - 1*16.590517 + 1/(15.171647 - c_eth)))*(t - 1*1.3077048),22,195.84808
(11.271502 - (c_pg*0.03474161 - 1/(c_eth - 1*8.448905))*(c_eth - 1*14.598493 + 1/(15.183686 - c_eth)))*(t - 1*1.3193643),23,191.46507
(10.944244 - (c_pg*0.04220485 - 65.755686384144/c_eth**2)*(c_eth - 1*15.524501 + 1/(15.17277 - c_eth)))*(t - 1.3061633),24,190.29979
(10.967456 - (c_eth - 1*15.065539 + 1/(15.199382 - c_eth))*(c_pg*0.045788318 - 0.1735339 - 1/(c_eth - 1*8.212636)))*(t - 1.2924997),25,187.33678
