complexity,loss,equation,score,sympy_format,lambda_format,restored_equation
1,11765.351,111.56954,0.0,111.569540000000,PySRFunction(X=>111.569540000000),111.56954
3,576.34656,x3 * 9.443697,1.508102494268418,x3*9.443697,PySRFunction(X=>x3*9.443697),(t) * 9.443697
5,479.7468,(x3 * 10.156036) - x1,0.0917253408544361,-x1 + x3*10.156036,PySRFunction(X=>-x1 + x3*10.156036),((t) * 10.156036) - (C_eth)
7,452.0698,((x3 / x1) - -7.7413583) * x3,0.029710936018076,x3*(-1*(-7.7413583) + x3/x1),PySRFunction(X=>x3*(-1*(-7.7413583) + x3/x1)),(((t) / (C_eth)) - -7.7413583) * (t)
8,431.16254,(x3 * (14.012966 - sqrt(x1))) - x2,0.0473514507081219,-x2 + x3*(14.012966 - sqrt(x1)),PySRFunction(X=>-x2 + x3*(14.012966 - sqrt(x1))),((t) * (14.012966 - sqrt((C_eth)))) - (C_pg)
9,430.2894,(x3 * ((29.397648 / x1) + 8.092503)) - x2,0.0020271364157545,-x2 + x3*(8.092503 + 29.397648/x1),PySRFunction(X=>-x2 + x3*(8.092503 + 29.397648/x1)),((t) * ((29.397648 / (C_eth)) + 8.092503)) - (C_pg)
10,429.66183,(x3 * (31.542995 / log(x1 + 7.6781607))) - x2,0.0014595481453252,-x2 + 31.542995*x3/log(x1 + 7.6781607),PySRFunction(X=>-x2 + 31.542995*x3/log(x1 + 7.6781607)),((t) * (31.542995 / log((C_eth) + 7.6781607))) - (C_pg)
11,366.18896,(x3 * ((-0.35234854 / (x1 + -14.736261)) + 10.483428)) - x1,0.1598489730939493,-x1 + x3*(10.483428 - 0.35234854/(x1 - 14.736261)),PySRFunction(X=>-x1 + x3*(10.483428 - 0.35234854/(x1 - 14.736261))),((t) * ((-0.35234854 / ((C_eth) + -14.736261)) + 10.483428)) - (C_eth)
13,344.0619,(((x2 * (-0.024481725 / (x1 + -14.736261))) + 10.491991) * x3) - x1,0.0311639506396468,-x1 + x3*(x2*(-0.024481725)/(x1 - 14.736261) + 10.491991),PySRFunction(X=>-x1 + x3*(x2*(-0.024481725)/(x1 - 14.736261) + 10.491991)),((((C_pg) * (-0.024481725 / ((C_eth) + -14.736261))) + 10.491991) * (t)) - (C_eth)
15,330.40033,(((11.411566 - x2) / (19.01006 / (x1 + -13.863576))) + 10.207312) * (x3 + -1.3202623),0.0202582713052991,(x3 - 1.3202623)*((11.411566 - x2)/((19.01006/(x1 - 13.863576))) + 10.207312),PySRFunction(X=>(x3 - 1.3202623)*((11.411566 - x2)/((19.01006/(x1 - 13.863576))) + 10.207312)),(((11.411566 - (C_pg)) / (19.01006 / ((C_eth) + -13.863576))) + 10.207312) * ((t) + -1.3202623)
17,326.39496,(x3 + -1.3172867) * (((11.469513 - x2) / ((x2 / (x1 + -13.591569)) + 0.994731)) + 10.142246),0.0060984293207026,(x3 - 1.3172867)*((11.469513 - x2)/(x2/(x1 - 13.591569) + 0.994731) + 10.142246),PySRFunction(X=>(x3 - 1.3172867)*((11.469513 - x2)/(x2/(x1 - 13.591569) + 0.994731) + 10.142246)),((t) + -1.3172867) * (((11.469513 - (C_pg)) / (((C_pg) / ((C_eth) + -13.591569)) + 0.994731)) + 10.142246)
18,317.75995,x3 * (((10.156036 - x2) / (26.857502 / (inv(x1 + -14.820697) + (x1 + -15.071985)))) + 9.649984),0.02681195828893,x3*((10.156036 - x2)/((26.857502/(x1 - 15.071985 + 1/(x1 - 14.820697)))) + 9.649984),PySRFunction(X=>x3*((10.156036 - x2)/((26.857502/(x1 - 15.071985 + 1/(x1 - 14.820697)))) + 9.649984)),(t) * (((10.156036 - (C_pg)) / (26.857502 / (inv((C_eth) + -14.820697) + ((C_eth) + -15.071985)))) + 9.649984)
19,291.74292,x3 * (((11.151648 - ((x2 / (x1 + -15.296131)) + x2)) / (19.925339 / (x1 + -15.779506))) + 10.273093),0.0854232199853118,x3*((11.151648 - (x2 + x2/(x1 - 15.296131)))/((19.925339/(x1 - 15.779506))) + 10.273093),PySRFunction(X=>x3*((11.151648 - (x2 + x2/(x1 - 15.296131)))/((19.925339/(x1 - 15.779506))) + 10.273093)),(t) * (((11.151648 - (((C_pg) / ((C_eth) + -15.296131)) + (C_pg))) / (19.925339 / ((C_eth) + -15.779506))) + 10.273093)
20,242.93799,(((10.483428 - x2) / (23.345663 / ((x1 + inv(x1 + -14.813849)) + -15.209062))) + 10.246358) * (x3 + -1.32414),0.1830667779299396,(x3 - 1.32414)*((10.483428 - x2)/((23.345663/(x1 - 15.209062 + 1/(x1 - 14.813849)))) + 10.246358),PySRFunction(X=>(x3 - 1.32414)*((10.483428 - x2)/((23.345663/(x1 - 15.209062 + 1/(x1 - 14.813849)))) + 10.246358)),(((10.483428 - (C_pg)) / (23.345663 / (((C_eth) + inv((C_eth) + -14.813849)) + -15.209062))) + 10.246358) * ((t) + -1.32414)
21,216.50095,(x3 + -1.3291862) * (((10.932744 - (x2 + (x2 / (-15.288524 + x1)))) / (19.406082 / (x1 + -15.788489))) + 10.93274),0.1152112901664042,(x3 - 1.3291862)*((10.932744 - (x2 + x2/(x1 - 15.288524)))/((19.406082/(x1 - 15.788489))) + 10.93274),PySRFunction(X=>(x3 - 1.3291862)*((10.932744 - (x2 + x2/(x1 - 15.288524)))/((19.406082/(x1 - 15.788489))) + 10.93274)),((t) + -1.3291862) * (((10.932744 - ((C_pg) + ((C_pg) / (-15.288524 + (C_eth))))) / (19.406082 / ((C_eth) + -15.788489))) + 10.93274)
23,195.5126,((((x2 / (x1 + -15.258837)) + (9.39352 - x2)) / ((x0 / (x1 + -14.604293)) + -2.112254)) + 10.064977) * (x3 + -1.3183082),0.050985053973601,(10.064977 + (-x2 + x2/(x1 - 15.258837) + 9.39352)/(x0/(x1 - 14.604293) - 2.112254))*(x3 - 1.3183082),PySRFunction(X=>(10.064977 + (-x2 + x2/(x1 - 15.258837) + 9.39352)/(x0/(x1 - 14.604293) - 2.112254))*(x3 - 1.3183082)),(((((C_pg) / ((C_eth) + -15.258837)) + (9.39352 - (C_pg))) / (((C_pol) / ((C_eth) + -14.604293)) + -2.112254)) + 10.064977) * ((t) + -1.3183082)
25,194.86449,(((10.604904 - (((x2 + -7.391829) / (-15.290134 + x1)) + x2)) / ((20.174345 / (x1 + -16.711681)) + -2.455683)) + 10.604904) * (-1.3210942 + x3),0.0016602167803085,(10.604904 + (10.604904 - (x2 + (x2 - 7.391829)/(x1 - 15.290134)))/(-2.455683 + 20.174345/(x1 - 16.711681)))*(x3 - 1.3210942),PySRFunction(X=>(10.604904 + (10.604904 - (x2 + (x2 - 7.391829)/(x1 - 15.290134)))/(-2.455683 + 20.174345/(x1 - 16.711681)))*(x3 - 1.3210942)),(((10.604904 - ((((C_pg) + -7.391829) / (-15.290134 + (C_eth))) + (C_pg))) / ((20.174345 / ((C_eth) + -16.711681)) + -2.455683)) + 10.604904) * (-1.3210942 + (t))
26,187.39972,(((((x2 / (x1 + -15.225302)) + 9.266569) - x2) / ((24.376303 / (x1 + -14.616643)) + -2.276676)) + 10.321513) * ((inv(x3) + x3) + -1.7712499),0.0390605182428574,(10.321513 + (-x2 + x2/(x1 - 15.225302) + 9.266569)/(-2.276676 + 24.376303/(x1 - 14.616643)))*(x3 - 1.7712499 + 1/x3),PySRFunction(X=>(10.321513 + (-x2 + x2/(x1 - 15.225302) + 9.266569)/(-2.276676 + 24.376303/(x1 - 14.616643)))*(x3 - 1.7712499 + 1/x3)),((((((C_pg) / ((C_eth) + -15.225302)) + 9.266569) - (C_pg)) / ((24.376303 / ((C_eth) + -14.616643)) + -2.276676)) + 10.321513) * ((inv((t)) + (t)) + -1.7712499)
27,173.95897,(((((((x2 / (x1 + -15.220599)) + x1) * (x0 * -0.040153116)) + 23.582836) - x2) / (x0 / (x1 + -15.892022))) + 11.339801) * (x3 + -1.3246373),0.0744244088624504,(11.339801 + ((x1 + x2/(x1 - 15.220599))*x0*(-0.040153116) - x2 + 23.582836)/((x0/(x1 - 15.892022))))*(x3 - 1.3246373),PySRFunction(X=>(11.339801 + ((x1 + x2/(x1 - 15.220599))*x0*(-0.040153116) - x2 + 23.582836)/((x0/(x1 - 15.892022))))*(x3 - 1.3246373)),((((((((C_pg) / ((C_eth) + -15.220599)) + (C_eth)) * ((C_pol) * -0.040153116)) + 23.582836) - (C_pg)) / ((C_pol) / ((C_eth) + -15.892022))) + 11.339801) * ((t) + -1.3246373)
