pop_size,ngen,cxpb,tournsize,tree_len_max,init_depth_max,alpha_complexity,seed,size,sec,train_MSE,train_MSE_norm,test_MSE,test_MSE_norm,best_infix
4000,250,0.6,5,25,4,0.0005,4866002,22,12569.47,1451918.89,0.16044621,3092213.624,0.341709141,((((Q)**2 - log(1+exp(((log(1+exp(log(1+exp(((log(1+exp((C1 - C3))) - C3))**2)))) * C2) - C2)))))**2 + (Q - 0.9515037802746804))
4000,250,0.6,5,25,4,0.0005,6695774,15,227.82,1651533.566,0.182504893,3094923.713,0.342008623,(((0.4639894760621509 + (C3 * C2)) / (((Q - C1))**2)**2) - (Q - C2))
4000,250,0.6,5,25,4,0.0005,359928,20,2591.51,1072452.057,0.118512728,2176913.86,0.240562735,(log(1+exp((Q - (C1 - (((Q - (C2 + log(1+exp(C3)))))**2)**2)))) + log(1+exp((Q - (C2 + C3)))))
3000,250,0.6,5,25,4,0.0005,1098051,22,2076.93,1032644.666,0.11411376,1915730.75,0.211700351,log(1+exp((((C1 - C2) - (((C3 * log(1+exp(-1.3269266130225197))) + (Q)**2))**2) + (log(1+exp(Q)) - (Q - (C1 - C2))))))
3000,250,0.6,5,25,4,0.0005,6514572,17,6714.24,1146648.224,0.126711873,1870898.643,0.20674612,((log(1+exp((((Q)**2 - Q))**2)) - Q) - log(1+exp(((-1.652244236782007 / (C3 * C1)) * C2))))
3000,250,0.6,5,25,4,0.0005,8007160,18,4859.19,51467.59354,0.005687494,155700.6361,0.017205904,((Q + log(1+exp(((Q * C1) + Q)))) / (log(1+exp((((Q)**2 + log(1+exp(C2))) + C3))))**2)
4000,250,0.6,5,25,4,0.0005,4799973,15,14030.95,2150528.563,0.237646993,1871403.996,0.206801964,((Q - (log(1+exp((Q)**2)))**2) + ((((0.3233655282789211)**2 / C2) * C1) * C3))
4000,250,0.6,5,25,4,0.0005,6521866,20,3293.31,987760.9796,0.109153829,1871071.038,0.20676517,log(1+exp((((((Q)**2 + (Q - C1)))**2 - (Q + (C1)**2)) - (C2 * (log(1+exp(-2.161601383562915)) * C3)))))
4000,250,0.6,5,25,4,0.0005,1844430,20,6623.42,986909.3182,0.109059715,1870693.769,0.20672348,log(1+exp((Q - ((((C2 * log(1+exp(-0.7359715777486692))) * (C1 - C3)) + (Q - ((Q - (Q)**2))**2)))**2)))
5000,250,0.6,5,25,4,0.0005,6049633,14,16045.66,1003837.125,0.110930344,1871475.3,0.206809844,log(1+exp((log(1+exp(log(1+exp(Q)))) - (((Q)**2 - ((C3 * C2) * C1)))**2)))
5000,250,0.6,5,25,4,0.0005,872855,19,268.65,2277877.864,0.251719895,6225599.052,0.687968026,(((C3 - Q) + -0.8947556005449465) - (((Q + (C2 * (-1.6708427171291147 / (C1 + (C1 + C1))))))**2)**2)
5000,250,0.6,5,25,4,0.0005,5768549,18,15128.16,1216758.388,0.134459489,1871403.996,0.206801964,(Q - (log(1+exp(((Q)**2 + ((log(1+exp((C2 * C3))) - C1) * (log(1+exp(-0.29966289958056014)) * C1))))))**2)
4000,200,0.6,5,25,4,0.0005,8934767,24,8214.57,1887891.43,0.20862393,2177786.055,0.240659118,((((((0.4655884719702087 / C2) * C3) - (((Q - C2))**2 - ((-28.478656932552095 / C1) + C2))))**2 + log(1+exp(C2))) + (Q - C2))
4000,200,0.6,5,25,4,0.0005,8922324,25,8935.45,1047593.425,0.115765692,2176828.068,0.240553254,(log(1+exp(C2)) + (C1 - (((((Q - C3) + log(1+exp((log(1+exp(C1)) - (log(1+exp(C2)))**2)))))**2)**2 + ((Q - C3) + log(1+exp(C1))))))
4000,200,0.6,5,25,4,0.0005,1189008,24,184.23,4667211.116,0.515756314,6897646.403,0.762233505,(C3 - (Q - ((C1 + C2) + (((Q * ((C3)**2 + ((Q / Q) / (Q + 2.665546816345665)))))**2 + log(1+exp(C3))))))
4000,250,0.6,5,25,4,0.0005,4959747,16,5735.67,58067.92886,0.006416873,262614.6702,0.02902058,log(1+exp((log(1+exp((Q + (C1 + Q)))) / ((log(1+exp((Q)**2)))**2 + (C2 + C3)))))
4000,250,0.6,5,25,4,0.0005,776656,20,12322.84,1018528.686,0.112553854,1882466.915,0.208024487,(Q - log(1+exp(((Q)**2 + (((Q - C3) * ((1.7035182686384698 - log(1+exp(C1))) * (Q - log(1+exp(C2))))))**2))))
