rank,size,fitness_total,mse_train_norm,infix
1,7,1e+06,0.182589,((Q - 1.5307003459783883) - (C3 - C2))
2,4,1e+06,0.182425,((C2 * C3))**2
3,7,1e+06,0.182453,((Q - 0.8562860687369112) / log(1+exp((-0.19286883127705412)**2)))
4,3,1e+06,0.163571,(Q + C3)
5,3,1e+06,0.182358,(C1 - C2)
6,5,1e+06,0.182564,((C1)**2 * (0.28901626305111083)**2)
7,12,1e+06,0.182589,(((C3 / Q))**2 * ((1.3738235057860435 * -0.4308452368196769) * (C3 + Q)))
8,3,1e+06,0.181637,(C1 + C3)
9,3,1e+06,0.182589,(Q - Q)
10,7,1e+06,0.181822,((C3 - C2) - (C1 / C1))
11,2,1e+06,0.16899,log(1+exp(Q))
12,3,1e+06,0.182589,(Q * C3)
13,23,1e+06,0.182269,((((Q - C1) + (-1.8859061867304627)**2) - ((C2)**2 + log(1+exp(C2)))) * ((C3)**2 + ((C3 / C2) - (-1.4051699808504101 * C2))))
14,6,1e+06,0.182589,(log(1+exp(1.8813360251436149)) - (Q + C1))
15,4,1e+06,0.18138,log(1+exp((C1 + C1)))
16,7,1e+06,0.182589,((C3 * -0.27144101724820446) * (1.4525502364737943 * C1))
17,28,1e+06,0.149402,((((Q + Q) + (C1 - C2)) * (log(1+exp(C2)) + (C1 - C2))) + (((C1 / Q) + (C3)**2) / (log(1+exp(C2)) + (C3 + 0.7104270309579439))))
18,18,1e+06,0.182589,((((C3 + C1) * (C2 + C1)))**2 - (((C1 * C1) + (-0.01999805548741307)**2) * (C3)**2))
19,3,1e+06,0.181556,(C2 + C3)
20,10,1e+06,0.203304,(((C3 - C1) / (C1 / Q)) + (1.0489127655450603)**2)
